date,A,B,C
1993-01-04,49620.0,49240.0,48860.0
1993-01-05,49808.56,49614.22,49412.12
1993-01-06,50361.43,50720.62,51062.48
1993-01-07,50094.52,50177.91,50245.48
1993-01-08,50019.37,50032.39,50024.4
1993-01-11,50404.52,50797.89,51174.96
1993-01-12,50187.78,50361.03,50509.69
1993-01-13,50729.81,51448.83,52146.2
1993-01-14,51389.3,52786.5,54179.91
1993-01-15,51497.22,53008.2,54521.24
1993-01-18,51569.31,53156.62,54750.23
1993-01-19,51471.33,52954.63,54438.15
1993-01-20,51517.66,53049.95,54585.13
1993-01-21,51764.94,53553.92,55365.7
1993-01-22,51827.06,53687.8,55570.56
1993-01-25,52220.94,54503.86,56832.01
1993-01-26,52236.61,54536.56,56883.16
1993-01-27,51552.31,53107.7,54647.65
1993-01-28,51315.17,52613.8,53888.05
1993-01-29,51438.33,52866.35,54276.04
1993-02-01,52343.44,54198.86,56057.8
1993-02-02,52594.69,54713.75,56859.43
1993-02-03,52857.67,55266.36,57718.0
1993-02-04,52873.52,55293.99,57764.18
1993-02-05,52286.63,54066.47,55840.63
1993-02-08,52098.4,53677.19,55231.97
1993-02-09,51634.72,52721.74,53751.75
1993-02-10,51846.42,53148.78,54407.52
1993-02-11,51908.64,53281.65,54608.83
1993-02-12,51508.94,52466.44,53352.83
1993-02-16,49634.02,48646.89,47521.36
1993-02-17,49187.31,47776.11,46243.04
1993-02-18,49413.57,48215.65,46876.57
1993-02-19,49502.52,48384.4,47125.01
1993-02-22,48665.92,46753.85,44740.49
1993-02-23,48602.66,46632.29,44561.53
1993-02-24,49414.32,48194.47,46798.51
1993-02-25,49760.22,48864.37,47776.6
1993-02-26,50033.9,49406.77,48569.69
1993-03-01,50437.89,49717.12,48794.9
1993-03-02,51058.28,50935.19,50590.56
1993-03-03,51522.91,51867.31,51976.74
1993-03-04,51280.75,51384.94,51249.06
1993-03-05,51326.9,51482.57,51392.56
1993-03-08,51768.31,52368.07,52718.49
1993-03-09,51897.73,52629.91,53119.15
1993-03-10,52193.55,53229.89,54022.18
1993-03-11,52297.94,53448.14,54351.71
1993-03-12,52182.88,53218.31,53998.42
1993-03-15,52365.52,53590.84,54565.41
1993-03-16,52386.47,53628.35,54625.43
1993-03-17,51778.79,52384.17,52724.46
1993-03-18,51778.79,52384.17,52724.46
1993-03-19,51426.69,51671.75,51643.61
1993-03-22,50968.99,50746.82,50259.56
1993-03-23,50851.76,50508.31,49907.75
1993-03-24,50800.91,50407.3,49758.02
1993-03-25,51303.84,51400.32,51230.86
1993-03-26,51344.88,51482.56,51348.69
1993-03-29,51288.4,51364.15,51174.11
1993-03-30,51703.84,52191.11,52412.52
1993-03-31,51998.55,52780.87,53303.53
1993-04-01,52230.81,52742.74,52985.72
1993-04-02,50951.15,50163.62,49096.57
1993-04-05,51017.39,50294.04,49288.04
1993-04-06,50517.42,49308.28,47838.98
1993-04-07,50876.09,50013.39,48862.73
1993-04-08,50682.77,49633.29,48305.7
1993-04-12,51199.73,50645.8,49783.85
1993-04-13,51256.05,50752.16,49943.16
1993-04-14,51266.3,50767.39,49968.13
1993-04-15,50989.46,50224.18,49163.64
1993-04-16,50719.22,49691.8,48386.86
1993-04-19,50435.19,49135.25,47569.12
1993-04-20,50354.49,48978.02,47340.79
1993-04-21,50510.59,49286.58,47785.79
1993-04-22,50470.18,49207.72,47671.1
1993-04-23,50081.56,48449.92,46569.9
1993-04-26,49130.01,46603.98,43910.76
1993-04-27,49636.05,47564.02,45267.6
1993-04-28,50062.92,48386.88,46440.03
1993-04-29,50082.95,48430.43,46500.41
1993-04-30,50308.32,48866.3,47128.16
1993-05-03,51214.79,50156.16,48771.24
1993-05-04,52095.68,51876.52,51282.96
1993-05-05,52486.4,52654.67,52441.95
1993-05-06,52239.71,52159.71,51702.52
1993-05-07,52349.42,52373.57,52023.08
1993-05-10,52454.12,52588.3,52340.42
