date,A,B,C
2004-01-02,996.9,993.8,990.7
2004-01-05,1009.26,1018.45,1027.55
2004-01-06,1010.57,1021.09,1031.56
2004-01-07,1013.0,1025.89,1038.89
2004-01-08,1018.06,1036.05,1054.36
2004-01-09,1009.0,1017.61,1026.21
2004-01-12,1013.85,1027.38,1040.99
2004-01-13,1008.47,1016.38,1024.34
2004-01-14,1016.84,1033.26,1049.84
2004-01-15,1018.27,1036.05,1054.15
2004-01-16,1025.29,1050.24,1075.86
2004-01-20,1024.37,1048.24,1072.85
2004-01-21,1032.36,1064.49,1097.85
2004-01-22,1029.06,1057.68,1087.31
2004-01-23,1026.9,1053.24,1080.46
2004-01-26,1039.32,1078.73,1119.68
2004-01-27,1029.14,1057.58,1086.76
2004-01-28,1015.14,1028.82,1042.42
2004-01-29,1020.22,1039.1,1058.05
2004-01-30,1017.56,1033.6,1049.7
2004-02-02,1121.7,1141.87,1162.34
2004-02-03,1122.48,1143.47,1164.67
2004-02-04,1113.05,1124.37,1135.43
2004-02-05,1115.06,1128.54,1141.68
2004-02-06,1129.11,1156.86,1184.72
2004-02-09,1126.17,1150.85,1175.6
2004-02-10,1131.8,1162.47,1193.35
2004-02-11,1143.91,1187.23,1231.54
2004-02-12,1138.31,1175.59,1213.56
2004-02-13,1132.05,1162.78,1193.65
2004-02-17,1143.14,1185.46,1228.63
2004-02-18,1138.0,1174.9,1212.16
2004-02-19,1133.33,1165.15,1197.13
2004-02-20,1130.38,1159.21,1187.92
2004-02-23,1127.33,1152.84,1178.18
2004-02-24,1125.42,1149.03,1172.28
2004-02-25,1129.92,1158.22,1186.47
2004-02-26,1131.16,1160.77,1190.38
2004-02-27,1131.16,1160.89,1190.5
2004-03-01,1242.98,1285.22,1327.8
2004-03-02,1235.65,1269.93,1304.16
2004-03-03,1237.75,1274.25,1310.68
2004-03-04,1241.83,1282.78,1323.79
2004-03-05,1243.94,1287.14,1330.68
2004-03-08,1233.49,1265.65,1297.28
2004-03-09,1226.34,1251.09,1274.83
2004-03-10,1208.43,1214.44,1218.87
2004-03-11,1190.07,1177.52,1163.17
2004-03-12,1204.94,1206.84,1206.67
2004-03-15,1187.71,1172.2,1154.78
