date,A,B,C
2005-01-03,991.9,983.8,975.6
2005-01-04,980.29,960.88,941.45
2005-01-05,976.77,953.86,931.19
2005-01-06,980.18,960.54,940.97
2005-01-07,978.81,957.75,936.92
2005-01-10,982.14,964.27,946.57
2005-01-11,976.15,952.5,929.25
2005-01-12,980.05,960.12,940.31
2005-01-13,971.63,943.51,915.96
2005-01-14,977.45,954.84,932.44
2005-01-18,986.94,973.26,959.48
2005-01-19,977.56,954.77,932.14
2005-01-20,969.94,939.88,910.42
2005-01-21,963.73,927.85,892.94
2005-01-24,960.35,921.26,883.47
2005-01-25,964.2,928.63,894.08
2005-01-26,968.82,937.64,907.04
2005-01-27,969.21,938.39,908.13
2005-01-28,966.59,933.32,900.77
2005-01-31,974.81,949.09,923.65
2005-02-01,1082.23,1063.57,1044.84
2005-02-02,1085.69,1070.38,1054.77
2005-02-03,1082.65,1064.49,1046.01
2005-02-04,1094.56,1088.02,1080.64
2005-02-07,1093.36,1085.62,1077.07
2005-02-08,1093.9,1086.71,1078.58
2005-02-09,1084.49,1068.02,1050.86
2005-02-10,1089.05,1076.99,1064.1
2005-02-11,1096.56,1091.96,1086.23
2005-02-14,1097.33,1093.49,1088.51
2005-02-15,1100.95,1100.7,1099.29
2005-02-16,1101.17,1101.14,1099.84
2005-02-17,1092.47,1083.75,1073.66
2005-02-18,1093.24,1085.26,1075.92
2005-02-22,1077.39,1053.79,1029.12
2005-02-23,1083.42,1065.59,1046.41
2005-02-24,1091.98,1082.43,1071.2
2005-02-25,1102.13,1102.56,1101.09
2005-02-28,1095.08,1088.45,1079.95
2005-03-01,1201.89,1201.88,1200.01
2005-03-02,1201.53,1201.28,1199.05
2005-03-03,1201.89,1202.0,1200.25
2005-03-04,1213.43,1225.08,1234.94
2005-03-07,1216.59,1231.45,1244.57
2005-03-08,1210.75,1219.63,1226.65
2005-03-09,1198.4,1194.74,1189.11
2005-03-10,1200.67,1199.17,1195.77
2005-03-11,1191.55,1180.94,1168.63
2005-03-14,1198.22,1194.16,1188.38
2005-03-15,1189.23,1176.25,1161.52
2005-03-16,1179.6,1157.2,1133.41
2005-03-17,1181.72,1161.36,1139.53
2005-03-18,1181.13,1160.32,1137.94
2005-03-21,1175.35,1148.83,1121.09
2005-03-22,1163.36,1125.39,1086.79
2005-03-23,1164.17,1126.97,1089.07
2005-03-24,1163.12,1124.83,1086.02
2005-03-28,1165.92,1130.34,1093.95
2005-03-29,1157.05,1113.16,1069.01
2005-03-30,1173.02,1143.77,1113.16
2005-03-31,1172.2,1142.17,1110.82
2005-04-01,1263.93,1226.02,1187.21
2005-04-04,1267.34,1232.76,1196.94
2005-04-05,1273.05,1243.86,1212.98
2005-04-06,1275.98,1249.46,1221.23
2005-04-07,1283.63,1264.33,1243.09
2005-04-08,1272.98,1243.21,1212.01
2005-04-11,1272.98,1243.21,1212.01
2005-04-12,1279.98,1257.01,1232.13
2005-04-13,1264.87,1227.47,1188.64
2005-04-14,1252.23,1202.92,1152.98
2005-04-15,1231.31,1162.74,1095.1
2005-04-18,1234.88,1169.6,1104.74
2005-04-19,1242.17,1183.52,1124.4
2005-04-20,1225.65,1152.16,1079.65
2005-04-21,1249.79,1197.67,1143.57
2005-04-22,1241.3,1181.5,1120.35
2005-04-25,1252.1,1201.94,1149.48
2005-04-26,1241.08,1180.67,1119.02
2005-04-27,1246.04,1189.99,1132.34
2005-04-28,1231.84,1162.86,1093.72
2005-04-29,1246.5,1190.54,1132.88
2005-05-02,1352.69,1302.41,1249.89
2005-05-03,1351.47,1300.2,1246.64
2005-05-04,1368.37,1332.57,1293.27
2005-05-05,1364.81,1325.78,1283.31
2005-05-06,1363.31,1322.86,1279.07
2005-05-09,1372.03,1339.79,1303.63
2005-05-10,1357.35,1311.12,1261.78
2005-05-11,1363.05,1322.13,1277.68
2005-05-12,1349.42,1295.56,1239.22
2005-05-13,1343.21,1283.64,1222.25
2005-05-16,1356.78,1309.57,1259.28
2005-05-17,1366.28,1327.77,1285.6
2005-05-18,1379.94,1354.33,1324.3
2005-05-19,1386.43,1366.92,1342.84
2005-05-20,1384.35,1362.82,1336.79
2005-05-23,1389.75,1373.32,1352.3
2005-05-24,1390.02,1373.86,1352.98
2005-05-25,1385.3,1364.52,1339.18
2005-05-26,1394.16,1381.99,1364.89
2005-05-27,1395.56,1384.61,1368.85
2005-05-31,1387.04,1367.86,1343.93
2005-06-01,1500.43,1494.28,1482.92
2005-06-02,1502.98,1499.36,1490.63
2005-06-03,1492.61,1478.82,1459.92
2005-06-06,1494.4,1482.52,1465.33
2005-06-07,1494.1,1481.93,1464.45
2005-06-08,1490.81,1475.55,1454.93
2005-06-09,1498.57,1491.05,1477.77
2005-06-10,1495.12,1484.04,1467.43
2005-06-13,1498.56,1490.72,1477.41
2005-06-14,1502.45,1498.32,1488.78
2005-06-15,1505.76,1504.91,1498.76
2005-06-16,1511.18,1515.9,1515.09
2005-06-17,1518.74,1530.91,1537.67
2005-06-20,1517.67,1528.76,1534.44
2005-06-21,1514.64,1522.49,1525.08
2005-06-22,1514.94,1523.1,1526.15
2005-06-23,1498.58,1490.05,1476.55
2005-06-24,1487.19,1467.25,1442.73
2005-06-27,1486.15,1465.05,1439.56
2005-06-28,1499.67,1491.86,1479.0
2005-06-29,1497.57,1487.54,1472.64
2005-06-30,1486.94,1466.41,1441.28
2005-07-01,1591.07,1574.56,1553.3
2005-07-05,1605.07,1602.43,1594.46
2005-07-06,1591.75,1575.67,1554.6
