Nasdaq-composite 3x, 1971-2025
Date, Close-price
1972-01-05,147.924283
1972-01-06,151.363784
1972-01-07,152.658721
1972-01-10,152.856040
1972-01-11,154.988915
1972-01-12,156.025363
1972-01-13,154.103408
1972-01-14,155.374146
1972-01-17,156.132783
1972-01-18,159.057018
1972-01-19,158.205361
1972-01-20,157.680030
1972-01-21,157.236505
1972-01-24,154.338878
1972-01-25,153.583679
1972-01-26,153.940236
1972-01-27,157.828751
1972-01-28,162.145274
1972-01-31,163.911294
1972-02-01,166.848377
1972-02-02,170.573792
1972-02-03,171.380857
1972-02-04,173.852286
1972-02-07,173.422101
1972-02-08,174.323999
1972-02-09,177.814789
1972-02-10,180.216511
1972-02-11,180.877398
1972-02-14,178.227395
1972-02-15,179.758057
1972-02-16,183.012791
1972-02-17,183.413387
1972-02-18,183.235084
1972-02-22,182.789618
1972-02-23,184.168323
1972-02-24,185.911523
1972-02-25,189.644747
1972-02-28,190.146091
1972-02-29,192.154998
1972-03-01,196.338944
1972-03-02,197.691504
1972-03-03,200.549582
1972-03-06,203.813499
1972-03-07,203.574431
1972-03-08,206.297675
1972-03-09,208.466692
1972-03-10,207.010581
1972-03-13,201.165008
1972-03-14,203.013312
1972-03-15,204.968267
1972-03-16,203.192749
1972-03-17,204.337766
1972-03-20,202.039146
1972-03-21,193.484207
1972-03-22,196.392702
1972-03-23,201.148651
1972-03-24,201.954003
1972-03-27,202.001503
1972-03-28,202.761622
1972-03-29,201.856720
1972-03-30,204.753276
1972-04-03,204.369783
1972-04-04,207.816907
1972-04-05,213.723180
1972-04-06,218.260688
1972-04-07,222.661912
1972-04-10,222.459184
1972-04-11,226.055405
1972-04-12,229.638982
1972-04-13,229.069928
1972-04-14,233.304950
1972-04-17,232.573040
1972-04-18,234.451154
1972-04-19,227.003265
1972-04-20,227.927155
1972-04-21,228.699150
1972-04-24,222.973504
1972-04-25,217.597797
1972-04-26,217.996937
1972-04-27,218.446518
1972-04-28,220.047225
1972-05-01,214.166118
1972-05-02,210.118418
1972-05-03,207.340449
1972-05-04,208.065022
1972-05-05,210.534301
1972-05-08,206.581598
1972-05-09,192.897294
1972-05-10,197.452111
1972-05-11,202.965880
1972-05-12,210.056599
1972-05-15,214.438188
1972-05-16,214.536901
1972-05-17,211.574593
1972-05-18,216.759606
1972-05-19,223.420465
1972-05-22,224.536215
1972-05-23,226.266287
1972-05-24,230.102176
1972-05-25,231.808935
1972-05-26,232.588561
1972-05-30,229.983986
1972-05-31,225.227480
1972-06-01,228.286481
1972-06-02,230.292755
1972-06-05,226.256767
1972-06-06,222.472753
1972-06-07,217.416554
1972-06-08,217.765085
1972-06-09,215.272923
1972-06-12,214.333154
1972-06-13,216.305848
1972-06-14,219.630322
1972-06-15,218.828325
1972-06-16,218.778322
1972-06-19,216.178580
1972-06-20,217.716100
1972-06-21,219.260892
1972-06-22,216.306928
1972-06-23,213.478846
1972-06-26,209.003364
1972-06-27,211.330832
1972-06-28,210.305033
1972-06-29,209.185181
1972-06-30,212.726855
1972-07-03,215.228947
1972-07-05,218.640570
