SP-500 2x, 1927-2025
Date,Close
1928-12-03,31.612530
1928-12-04,31.771586
1928-12-05,31.505825
1928-12-06,29.124033
1928-12-07,27.725675
1928-12-10,27.601675
1928-12-11,28.665658
1928-12-12,28.111003
1928-12-13,28.011139
1928-12-14,28.135747
1928-12-17,27.910960
1928-12-18,28.557739
1928-12-19,29.262244
1928-12-20,29.491453
1928-12-21,30.156193
1928-12-24,30.699085
1928-12-26,30.438259
1928-12-27,30.957680
1928-12-28,31.848172
1928-12-31,32.830979
1929-01-02,34.071408
1929-01-03,34.208740
1929-01-04,34.181218
1929-01-07,32.530615
1929-01-08,32.315981
1929-01-09,33.305384
1929-01-10,33.413956
1929-01-11,33.305207
1929-01-14,33.440923
1929-01-15,32.461765
1929-01-16,33.345989
1929-01-17,33.699004
1929-01-18,33.917385
1929-01-21,34.163858
1929-01-22,34.741041
1929-01-23,35.156768
1929-01-24,34.710687
1929-01-25,35.874174
1929-01-28,35.508114
1929-01-29,35.536128
1929-01-30,35.788357
1929-01-31,36.603963
1929-02-01,36.888377
1929-02-04,36.317348
1929-02-05,36.487323
1929-02-06,35.891030
1929-02-07,33.694480
1929-02-08,32.958141
1929-02-11,34.414554
1929-02-13,34.331896
1929-02-14,34.056690
1929-02-15,32.686199
1929-02-18,32.793585
1929-02-19,32.766693
1929-02-20,33.331175
1929-02-21,34.063134
1929-02-25,34.200152
1929-02-26,34.309990
1929-02-27,35.135078
1929-02-28,36.081290
1929-03-01,36.758078
1929-03-04,35.790385
1929-03-05,35.312993
1929-03-06,34.197260
1929-03-07,34.828508
1929-03-08,35.271653
1929-03-11,34.268275
1929-03-12,34.323210
1929-03-13,35.065484
1929-03-14,36.426980
1929-03-15,37.417999
1929-03-18,37.303222
1929-03-19,37.274571
1929-03-20,37.245931
1929-03-21,36.902384
1929-03-22,35.905021
1929-03-25,32.982032
1929-03-26,32.551422
1929-03-27,34.529906
1929-03-28,35.741001
1929-04-01,33.921047
1929-04-02,34.711814
1929-04-03,33.856777
1929-04-04,35.055243
1929-04-05,34.362451
1929-04-08,33.758881
1929-04-09,33.215039
1929-04-10,33.619611
1929-04-11,34.379373
1929-04-12,34.626312
1929-04-15,34.213276
1929-04-16,34.377498
1929-04-17,35.090839
1929-04-18,35.395737
1929-04-19,35.340060
1929-04-22,36.146723
1929-04-23,36.568668
1929-04-24,36.285737
1929-04-25,35.947538
1929-04-26,35.807284
1929-04-29,35.667305
1929-04-30,36.812905
1929-05-01,36.954819
1929-05-02,37.296074
1929-05-03,38.038853
1929-05-06,37.894599
1929-05-07,37.174717
1929-05-08,37.488430
1929-05-09,37.030206
1929-05-10,37.941018
1929-05-13,35.924409
1929-05-14,36.793099
1929-05-15,36.481172
1929-05-16,36.848240
1929-05-17,37.188773
1929-05-20,35.193206
1929-05-21,36.052595
1929-05-22,33.415283
1929-05-23,34.899805
1929-05-24,34.375829
1929-05-27,31.857854
1929-05-28,32.884676
1929-05-29,32.964917
1929-05-31,33.527273
1929-06-03,34.715514
1929-06-04,35.732111
1929-06-05,35.592753
1929-06-06,35.731839
1929-06-07,35.425251
1929-06-10,34.703702
1929-06-11,35.143163
1929-06-12,35.198442
1929-06-13,36.277214
1929-06-14,36.529920
1929-06-17,37.882357
1929-06-18,37.911045
1929-06-19,37.624057
1929-06-20,38.052901
1929-06-21,38.484181
1929-06-24,38.484181
1929-06-25,39.293762
1929-06-26,39.761197
1929-06-27,39.908137
1929-06-28,40.791384
1929-07-01,41.862885
1929-07-02,42.737224
1929-07-03,43.102763
1929-07-05,43.531035
1929-07-08,43.684750
1929-07-09,43.407582
1929-07-10,43.161994
1929-07-11,43.345661
1929-07-12,44.296625
1929-07-15,43.924519
1929-07-16,44.542083
1929-07-17,44.759740
1929-07-18,44.572723
1929-07-19,44.883769
1929-07-22,43.853752
1929-07-23,45.087764
1929-07-24,44.493474
1929-07-25,44.897398
1929-07-26,44.554073
1929-07-29,43.061684
1929-07-30,44.039663
1929-07-31,45.214051
1929-08-01,45.840287
1929-08-02,47.353582
1929-08-05,47.289509
1929-08-06,46.937317
1929-08-07,45.980386
1929-08-08,47.053735
1929-08-09,43.573004
1929-08-12,46.305916
1929-08-13,47.128571
1929-08-14,47.415843
1929-08-15,47.575921
1929-08-16,49.339772
1929-08-19,50.254078
1929-08-20,50.847242
1929-08-21,50.416330
1929-08-22,51.208474
1929-08-23,52.206363
1929-08-26,52.139194
1929-08-27,52.072067
1929-08-28,51.870824
1929-08-29,52.875104
1929-08-30,54.294563
1929-09-03,54.671254
1929-09-04,54.327625
