SP500 1927-DANES,LEVERAGE 3.0x
Date,Close,Change (%)
1929-06-25,54.9287612428227,3.15%
1929-06-26,55.901000316820664,1.77%
1929-06-27,56.2028657185315,0.54%
1929-06-28,58.074421146958606,3.33%
1929-07-01,60.35674589803407,3.93%
1929-07-02,62.23987637005273,3.12%
1929-07-03,63.0427707752264,1.29%
1929-07-05,63.98841233685479,1.50%
1929-07-08,64.33394976347381,0.54%
1929-07-09,63.71634384574446,-0.96%
1929-07-10,63.18112655744021,-0.84%
1929-07-11,63.579167654752084,0.63%
1929-07-12,65.6772801873589,3.30%
1929-07-15,64.84974645699819,-1.26%
1929-07-16,66.21159113259515,2.10%
1929-07-17,66.68831458874983,0.72%
1929-07-18,66.26817820684072,-0.63%
1929-07-19,66.96399407801255,1.05%
1929-07-22,64.65373628232112,-3.45%
1929-07-23,67.3885893270633,4.23%
1929-07-24,66.05429525838744,-1.98%
1929-07-25,66.94602824437568,1.35%
1929-07-26,66.1828435223898,-1.14%
1929-07-29,62.86708306191807,-5.01%
1929-07-30,65.01713730263567,3.42%
1929-07-31,67.61132108101084,3.99%
1929-08-01,69.01087542738776,2.07%
1929-08-02,72.42691376104347,4.95%
1929-08-05,72.27481724214528,-0.21%
1929-08-06,71.47256677075747,-1.11%
1929-08-07,69.2855062275723,-3.06%
1929-08-08,71.71742749616008,3.51%
1929-08-09,63.756793044086315,-11.10%
1929-08-12,69.76268294883926,9.42%
1929-08-13,71.62534658357326,2.67%
1929-08-14,72.26997470282541,0.90%
1929-08-15,72.63855157380982,0.51%
1929-08-16,76.66999118615627,5.55%
1929-08-19,78.80908394025003,2.79%
1929-08-20,80.20400472599246,1.77%
1929-08-21,79.19343426644497,-1.26%
1929-08-22,81.07031865855971,2.37%
1929-08-23,83.4294649315238,2.91%
1929-08-26,83.27929189464705,-0.18%
1929-08-27,83.12938916923667,-0.18%
1929-08-28,82.65555165097201,-0.57%
1929-08-29,85.0608282040153,2.91%
1929-08-30,88.48027349781671,4.02%
1929-09-03,89.40931636954379,1.05%
1929-09-04,88.57780972730703,-0.93%
1929-09-05,82.70510094238657,-6.63%
1929-09-06,89.18091034617544,7.83%
1929-09-09,87.84319669098281,-1.50%
1929-09-10,83.09966406966973,-5.40%
1929-09-11,86.53999016215407,4.14%
1929-09-12,83.5803224986084,-3.42%
1929-09-13,85.26028698083043,2.01%
1929-09-16,89.17373415325055,4.59%
1929-09-17,86.98006029308058,-2.46%
1929-09-18,87.63241074527869,0.75%
1929-09-19,88.05304631685603,0.48%
1929-09-20,85.22654353008494,-3.21%
1929-09-23,85.14983964090786,-0.09%
1929-09-24,80.42402354083747,-5.55%
1929-09-25,80.81005885383348,0.48%
1929-09-26,83.01617346054314,2.73%
1929-09-27,76.14243429801017,-8.28%
1929-09-30,75.32009600759166,-1.08%
1929-10-01,73.964334279455,-1.80%
1929-10-02,75.58415320017507,2.19%
1929-10-03,66.19660137271333,-12.42%
1929-10-04,64.13126740988467,-3.12%
1929-10-07,76.15588004923805,18.75%
1929-10-08,75.4019368367506,-0.99%
1929-10-09,74.88166347257702,-0.69%
1929-10-10,78.88034430201262,5.34%
1929-10-11,78.50171864936296,-0.48%
1929-10-14,76.90028358891595,-2.04%
1929-10-15,75.00853661262863,-2.46%
1929-10-16,67.13264026830262,-10.50%
1929-10-17,70.23416824869821,4.62%
1929-10-18,64.2080766129599,-8.58%
1929-10-21,56.79204376416303,-11.55%
1929-10-22,60.11437832436657,5.85%
1929-10-23,49.45609904745638,-17.73%
1929-10-24,44.70831353890057,-9.60%
1929-10-25,46.63971268378107,4.32%
1929-10-28,28.534176219937258,-38.82%
1929-10-29,19.836959308100383,-30.48%
1929-10-30,27.293672312015318,37.59%
1929-10-31,31.428663667285637,15.15%
1929-11-04,26.469220540587965,-15.78%
1929-11-06,18.59198050770899,-29.76%
1929-11-07,20.650112749912374,11.07%
1929-11-08,20.098754739489713,-2.67%
1929-11-11,16.342297478679086,-18.69%
1929-11-12,13.552667299068565,-17.07%
1929-11-13,11.231095390738119,-17.13%
1929-11-14,14.246644503151304,26.85%
1929-11-15,16.601614839522213,16.53%
1929-11-18,16.088624940980978,-3.09%
1929-11-19,17.555907535598443,9.12%
1929-11-20,19.004269907285316,8.25%
1929-11-21,19.916474862835013,4.80%
1929-11-22,19.695401991857544,-1.11%
1929-11-25,19.0100020025409,-3.48%
1929-11-26,17.350428827719078,-8.73%
1929-11-27,18.00627503740686,3.78%
1929-12-02,18.081901392563967,0.42%
1929-12-03,19.89370791209888,10.02%
1929-12-04,20.997808701220368,5.55%
1929-12-05,20.481262607170347,-2.46%
1929-12-06,22.10952298444039,7.95%
1929-12-09,21.963600132743082,-0.66%
1929-12-10,22.464370215769623,2.28%
1929-12-11,21.89826808633223,-2.52%
1929-12-12,18.34417917592051,-16.23%
1929-12-13,19.719992614114545,7.50%
1929-12-16,18.70835699301047,-5.13%
1929-12-17,19.314507759584007,3.24%
1929-12-18,18.93787485827212,-1.95%
1929-12-19,17.426632444582005,-7.98%
1929-12-20,15.696167842835013,-9.93%
1929-12-23,15.931610360477537,1.50%
1929-12-24,16.237497279398706,1.92%
1929-12-26,17.314043349022842,6.63%
1929-12-27,17.262101218975776,-0.30%
1929-12-30,17.43817465140933,1.02%
1929-12-31,18.84020389338264,8.04%
1930-01-02,18.128044186212776,-3.78%
1930-01-03,18.25856610435351,0.72%
1930-01-06,18.95421747292938,3.81%
1930-01-07,18.453826131644043,-2.64%
1930-01-08,18.404000801088603,-0.27%
1930-01-09,19.259786838339224,4.65%
1930-01-10,19.074892884691167,-0.96%
1930-01-13,18.994778334575464,-0.42%
1930-01-14,19.103048571082546,0.57%
1930-01-15,19.343746983078184,1.26%
1930-01-16,18.943331420528466,-2.07%
1930-01-17,18.443227471026514,-2.64%
1930-01-20,18.93566164450292,2.67%
