NASDAQ100,LEVERAGE 2.0x,1986-2025
Date,Close-Price,Change (%)
1986-01-02,131.25,0.00%
1986-01-03,129.85875,-1.06%
1986-01-06,129.46917374999998,-0.30%
1986-01-07,134.31132084825,3.74%
1986-01-08,131.00726235538306,-2.46%
1986-01-09,126.29100091058926,-3.60%
1986-01-10,127.78123472133422,1.18%
1986-01-13,126.86120983134062,-0.72%
1986-01-14,127.0388155251045,0.14%
1986-01-15,131.6630284102183,3.64%
1986-01-16,134.71761066933536,2.32%
1986-01-17,134.1248531823903,-0.44%
1986-01-20,131.76425576638024,-1.76%
1986-01-21,130.7364945714025,-0.78%
1986-01-22,127.80799709300308,-2.24%
1986-01-23,127.11783390870087,-0.54%
1986-01-24,128.94833071698616,1.44%
1986-01-27,130.10886569343901,0.90%
1986-01-28,132.50286882219828,1.84%
1986-01-29,134.64941529711788,1.62%
1986-01-30,132.89897289825535,-1.30%
1986-01-31,134.38744139471584,1.12%
1986-02-03,137.0483127343312,1.98%
1986-02-04,137.7883736230966,0.54%
1986-02-05,140.07566062523998,1.66%
1986-02-06,141.98068960974325,1.36%
1986-02-07,143.59926947129435,1.14%
1986-02-10,145.09270187379582,1.04%
1986-02-11,145.35386873716865,0.18%
1986-02-12,146.19692117584424,0.58%
1986-02-13,147.24953900831034,0.72%
1986-02-14,149.36993237003,1.44%
1986-02-18,150.59476581546426,0.82%
1986-02-19,148.24548746874302,-1.56%
1986-02-20,148.86811851611174,0.42%
1986-02-21,151.42865015458887,1.72%
1986-02-24,149.3995062425174,-1.34%
1986-02-25,147.6963518713527,-1.14%
1986-02-26,146.6033988675047,-0.74%
1986-02-27,150.09255976055132,2.38%
1986-02-28,149.88243017688657,-0.14%
1986-03-03,148.4135823611531,-0.98%
1986-03-04,150.10549720007023,1.14%
1986-03-05,149.47505411182993,-0.42%
1986-03-06,150.64095953390222,0.78%
1986-03-07,150.0685238876734,-0.38%
1986-03-10,154.15038773741813,2.72%
1986-03-11,160.43972355710477,4.08%
1986-03-12,163.26346269170983,1.76%
1986-03-13,164.14508539024507,0.54%
1986-03-14,164.112256373167,-0.02%
1986-03-17,162.70089096835778,-0.86%
1986-03-18,165.49934629301356,1.72%
1986-03-19,165.13524773116893,-0.22%
1986-03-20,165.86184282118606,0.44%
1986-03-21,166.32625598108535,0.28%
1986-03-24,164.2970756581161,-1.22%
1986-03-25,165.18427986666995,0.54%
1986-03-26,164.6556901710966,-0.32%
1986-03-27,167.1913877997315,1.54%
1986-03-31,168.26141268164977,0.64%
1986-04-01,167.31914877063252,-0.56%
1986-04-02,168.38999132276456,0.64%
1986-04-03,167.91849934706082,-0.28%
1986-04-04,164.12354126181725,-2.26%
1986-04-07,161.95711051716125,-1.32%
1986-04-08,168.30582924943397,3.92%
1986-04-09,168.60877974208296,0.18%
1986-04-10,174.71241756874636,3.62%
1986-04-11,176.7740240960576,1.18%
1986-04-14,179.70847289605214,1.66%
1986-04-15,182.0087413491216,1.28%
1986-04-16,191.36399065446645,5.14%
1986-04-17,191.74671863577538,0.20%
1986-04-18,188.37197638778574,-1.76%
1986-04-21,190.44406812805136,1.10%
1986-04-22,188.84433795577573,-0.84%
1986-04-23,187.90011626599684,-0.50%
1986-04-24,193.61227980048315,3.04%
1986-04-25,195.08373312696682,0.76%
1986-04-28,193.71814699507806,-0.70%
1986-04-29,189.72755316697945,-2.06%
1986-04-30,181.7210504233329,-4.22%
1986-05-01,180.0855609695229,-0.90%
1986-05-02,181.95845080360593,1.04%
1986-05-05,186.94411235562475,2.74%
1986-05-06,186.90672353315364,-0.02%
1986-05-07,184.81336822958232,-1.12%
1986-05-08,186.9572033010455,1.16%
