NASDAQ100,LEVERAGE 3.0x,1986-2025
Date,Close-Price,Change (%)
1986-05-09,224.17352310519203,1.44%
1986-05-12,223.50100253587647,-0.30%
1986-05-13,220.5507893024029,-1.32%
1986-05-14,220.35229359203075,-0.09%
1986-05-15,215.1299442338996,-2.37%
1986-05-16,211.96753405366127,-1.47%
1986-05-19,213.23933925798323,0.60%
1986-05-20,220.21226565171926,3.27%
1986-05-21,221.9959850034982,0.81%
1986-05-22,231.25321757814407,4.17%
1986-05-23,233.5426244321677,0.99%
1986-05-27,238.02664282126537,1.92%
1986-05-28,238.5979067640364,0.24%
1986-05-29,239.9579148325914,0.57%
1986-05-30,246.79671540532024,2.85%
1986-06-02,241.6880233964301,-2.07%
1986-06-03,242.05055543152477,0.15%
1986-06-04,240.74348243219455,-0.54%
1986-06-05,243.1268429082733,0.99%
1986-06-06,240.93870132209884,-0.90%
1986-06-09,226.33781602197965,-6.06%
1986-06-10,224.16497298816864,-0.96%
1986-06-11,232.3694109995356,3.66%
1986-06-12,233.83333828883266,0.63%
1986-06-13,242.46178847169057,3.69%
1986-06-16,235.5516275002474,-2.85%
1986-06-17,225.7291246334871,-4.17%
1986-06-18,225.3228122091468,-0.18%
1986-06-19,228.702654392284,1.50%
1986-06-20,230.00625952232002,0.57%
1986-06-23,229.8682557666066,-0.06%
1986-06-24,235.24717295154522,2.34%
1986-06-25,240.540234342955,2.25%
1986-06-26,239.3134791478059,-0.51%
1986-06-27,238.88271488533985,-0.18%
1986-06-30,243.32593338220715,1.86%
1986-07-01,246.4648379228376,1.29%
1986-07-02,249.34847652653482,1.17%
1986-07-03,251.89183098710546,1.02%
1986-07-07,220.30459538132246,-12.54%
1986-07-08,201.99728350513456,-8.31%
1986-07-09,210.48116941235023,4.20%
1986-07-10,205.93477615304346,-2.16%
1986-07-11,200.18919589837353,-2.79%
1986-07-14,186.1359143463077,-7.02%
1986-07-15,174.80023716261755,-6.09%
1986-07-16,178.94300278337158,2.37%
1986-07-17,182.86185454432743,2.19%
1986-07-18,180.22864383888913,-1.44%
1986-07-21,177.6874199607608,-1.41%
1986-07-22,178.91346315849003,0.69%
1986-07-23,178.0546785353293,-0.48%
1986-07-24,178.42859336025347,0.21%
1986-07-25,182.01500808679458,2.01%
1986-07-28,171.85857063555144,-5.58%
1986-07-29,167.26994679958224,-2.67%
1986-07-30,168.3237474644196,0.63%
1986-07-31,168.3237474644196,0.00%
1986-08-01,167.1623136069151,-0.69%
1986-08-04,161.39521378747654,-3.45%
1986-08-05,159.1195412730731,-1.41%
1986-08-06,154.68010607155438,-2.79%
1986-08-07,155.19055042159053,0.33%
1986-08-08,160.49806724600893,3.42%
1986-08-11,171.13908910441933,6.63%
1986-08-12,176.83802077159652,3.33%
1986-08-13,183.25724092560546,3.63%
1986-08-14,187.54546036326465,2.34%
1986-08-15,185.91381485810425,-0.87%
1986-08-18,184.073268091009,-0.99%
1986-08-19,182.3061647173353,-0.96%
1986-08-20,186.57212897172096,2.34%
1986-08-21,187.52364682947675,0.51%
1986-08-22,191.011586660505,1.86%
1986-08-25,187.1149502926307,-2.04%
1986-08-26,191.7741125549172,2.49%
1986-08-27,195.05344987960626,1.71%
1986-08-28,195.11196591457013,0.03%
1986-08-29,193.82422693953396,-0.66%
1986-09-02,184.75325311876378,-4.68%
1986-09-03,186.52688434870393,0.96%
1986-09-04,192.40248120568813,3.15%
1986-09-05,185.8223163484536,-3.42%
1986-09-08,174.2270038083101,-6.24%
1986-09-09,171.40452634661546,-1.62%
1986-09-10,167.80503129333653,-2.10%
1986-09-11,145.9568162189441,-13.02%
1986-09-12,135.09762909225466,-7.44%
1986-09-15,134.81392407116093,-0.21%
1986-09-16,135.6228076155879,0.60%
1986-09-17,139.16256289435475,2.61%
1986-09-18,144.50640530949798,3.84%
1986-09-19,145.54685142772638,0.72%
1986-09-22,150.78653807912454,3.60%
1986-09-23,148.97709962217505,-1.20%
1986-09-24,147.94915763478204,-0.69%
1986-09-25,142.80052694909165,-3.48%
1986-09-26,142.7148466329222,-0.06%
1986-09-29,136.29267853444068,-4.50%
1986-09-30,142.22141005068886,4.35%
1986-10-01,144.5680633165252,1.65%
1986-10-02,144.43795205954035,-0.09%
1986-10-03,145.5212366999869,0.75%
1986-10-06,147.26749154038674,1.20%
1986-10-07,144.48413595027344,-1.89%
1986-10-08,147.64833852758443,2.19%
1986-10-09,147.3382770166765,-0.21%
1986-10-10,149.59255265503165,1.53%
1986-10-13,152.19546307122923,1.74%
1986-10-14,153.15429448857796,0.63%
1986-10-15,156.82999755630382,2.40%
1986-10-16,156.12426256730046,-0.45%
1986-10-17,153.82923590756113,-1.47%
1986-10-20,150.27578055809647,-2.31%
1986-10-21,149.7347877480873,-0.36%
1986-10-22,150.9027190925224,0.78%
1986-10-23,156.8784667685863,3.96%
1986-10-24,156.2666407481888,-0.39%
1986-10-27,155.56344086482196,-0.45%
1986-10-28,157.99023054231318,1.56%
1986-10-29,160.07570158547173,1.32%
1986-10-30,165.5983132901705,3.45%
1986-10-31,164.55504391644243,-0.63%
1986-11-03,165.69047371946587,0.69%
1986-11-04,169.66704508873306,2.40%
1986-11-05,170.37964667810573,0.42%
1986-11-06,167.67061029592384,-1.59%
1986-11-07,165.9603700709054,-1.02%
1986-11-10,163.81948129699072,-1.29%
1986-11-11,167.40712793739482,2.19%
1986-11-12,168.2106821514943,0.48%
1986-11-13,160.6916646593225,-4.47%
1986-11-14,160.98090965570927,0.18%
1986-11-17,153.20553171933852,-4.83%
1986-11-18,151.45898865773808,-1.14%
1986-11-19,147.82397292995236,-2.40%
1986-11-20,153.45606629858355,3.81%
1986-11-21,158.65822694610554,3.39%
1986-11-24,163.9891433714947,3.36%
1986-11-25,168.31845675650214,2.64%
1986-11-26,172.10562203352345,2.25%
1986-11-28,175.87473515605762,2.19%
1986-12-01,171.97031603559316,-2.22%
1986-12-02,178.98670492984536,4.08%
1986-12-03,183.44347388259848,2.49%
1986-12-04,183.05824258744502,-0.21%
