SP500 1927-DANES,LEVERAGE 2.0x
Date,Close,Change (%)
1927-12-30,17.65999984741211,0.00%
1928-01-03,17.861323845672608,1.14%
1928-01-04,17.779161755982514,-0.46%
1928-01-05,17.43780185026765,-1.92%
1928-01-06,17.657518153581023,1.26%
1928-01-09,17.33615132318585,-1.82%
1928-01-10,17.079576283602698,-1.48%
1928-01-11,17.03858530052205,-0.24%
1928-01-12,17.273717777669255,1.38%
1928-01-13,17.491366621667886,1.26%
1928-01-16,16.914151523152846,-3.30%
1928-01-17,16.93444850498063,0.12%
1928-01-18,16.85655004185772,-0.46%
1928-01-19,17.09254174244373,1.40%
1928-01-20,17.290815226656076,1.16%
1928-01-23,17.608966226826546,1.84%
1928-01-24,17.74983795664116,0.80%
1928-01-25,17.369991424369037,-2.14%
1928-01-26,17.588853316316087,1.26%
1928-01-27,17.708457518867036,0.68%
1928-01-30,17.30824637894064,-2.26%
1928-01-31,17.467482245626897,0.92%
1928-02-01,17.38713182729701,-0.46%
1928-02-02,17.5853451301282,1.14%
1928-02-03,17.128126156744866,-2.60%
1928-02-06,17.227469288453985,0.58%
1928-02-07,17.20679632530784,-0.12%
1928-02-08,17.306595743994627,0.58%
1928-02-09,17.42428059505379,0.68%
1928-02-10,17.403371458339727,-0.12%
1928-02-14,17.204973023714654,-1.14%
1928-02-15,17.125830147805566,-0.46%
1928-02-16,17.02650033294829,-0.58%
1928-02-17,16.41695162102874,-3.58%
1928-02-20,16.242931933845835,-1.06%
1928-02-21,16.548299054202136,1.88%
1928-02-23,16.58801497193222,0.24%
1928-02-24,16.68422545876943,0.58%
1928-02-27,16.54741481000752,-0.82%
1928-02-28,16.643389815905564,0.58%
1928-02-29,16.83645313777007,1.16%
1928-03-01,16.913900822203814,0.46%
1928-03-02,16.913900822203814,0.00%
1928-03-05,17.441614527856572,3.12%
1928-03-06,17.64044893347414,1.14%
1928-03-07,17.460516354352706,-1.02%
1928-03-08,17.5792478655623,0.68%
1928-03-09,18.155847195552745,3.28%
1928-03-12,18.29746280367806,0.78%
1928-03-13,18.13644513100569,-0.88%
1928-03-14,18.158208865162898,0.12%
1928-03-15,18.44147692345944,1.56%
1928-03-16,18.828747938852086,2.10%
1928-03-19,19.035864166179458,1.10%
1928-03-20,19.241451499174193,1.08%
1928-03-21,19.63782540005718,2.06%
1928-03-22,19.53178114289687,-0.54%
1928-03-23,19.91069769706907,1.94%
1928-03-26,20.48412579074466,2.88%
1928-03-27,20.24650993157202,-1.16%
1928-03-28,20.141228079927846,-0.52%
1928-03-29,20.270131939639384,0.64%
1928-03-30,20.975532531138832,3.48%
1928-04-02,20.1700720819431,-3.84%
1928-04-03,20.404044918093643,1.16%
1928-04-04,20.338751974355745,-0.32%
1928-04-05,20.851288524109506,2.52%
1928-04-09,20.938863935910767,0.42%
1928-04-10,20.57033993063874,-1.76%
1928-04-11,21.30264403216948,3.56%
1928-04-12,21.23873610007297,-0.30%
1928-04-13,21.939614391375375,3.30%
1928-04-16,21.829916319418498,-0.50%
1928-04-17,21.476271675043918,-1.62%
1928-04-18,21.476271675043918,0.00%
1928-04-19,21.71680591780441,1.12%
1928-04-20,21.073988462637402,-2.96%
1928-04-23,20.66093828876971,-1.96%
1928-04-24,20.875812046972914,1.04%
1928-04-25,21.051168868167487,0.84%
1928-04-26,21.354305699869098,1.44%
1928-04-27,21.815558702986273,2.16%
1928-04-30,21.972630725647775,0.72%
1928-05-01,22.038548617824716,0.30%
1928-05-02,22.14874136091384,0.50%
1928-05-03,22.370228774522978,1.00%
1928-05-04,23.06817991228809,3.12%
1928-05-07,23.45572533481453,1.68%
1928-05-08,23.13203632519409,-1.38%
1928-05-09,23.062640216218508,-0.30%
1928-05-10,22.993452295569853,-0.30%
1928-05-11,23.333755389544283,1.48%
1928-05-14,23.515758681582728,0.78%
1928-05-15,23.40288303991113,-0.48%
1928-05-16,22.6212267463781,-3.34%
1928-05-17,22.779575333602743,0.70%
1928-05-18,22.328539741997407,-1.98%
1928-05-21,21.676546381531082,-2.92%
1928-05-22,21.078273701400825,-2.76%
1928-05-23,21.92562030419714,4.02%
1928-05-24,22.193112871908344,1.22%
1928-05-25,22.259692210524065,0.30%
1928-05-28,21.520670429134665,-3.32%
1928-05-29,22.071599592120513,2.56%
1928-05-31,22.473302704697108,1.82%
1928-06-01,22.630615823629984,0.70%
1928-06-04,22.019589196391973,-2.70%
1928-06-05,22.129687142373932,0.50%
1928-06-06,21.704797149240353,-1.92%
1928-06-07,21.59627316349415,-0.50%
1928-06-08,21.069324098304893,-2.44%
1928-06-11,19.569188222505584,-7.12%
1928-06-12,18.85686977120638,-3.64%
1928-06-13,19.988281957478765,6.00%
1928-06-14,20.328082750755904,1.70%
1928-06-15,19.665387253081263,-3.26%
1928-06-18,18.953500234519723,-3.62%
1928-06-19,18.828407132971893,-0.66%
1928-06-20,19.29911731129619,2.50%
1928-06-21,19.279818193984894,-0.10%
1928-06-22,19.237402593958127,-0.22%
1928-06-25,19.091198334244044,-0.76%
1928-06-26,19.526477656264806,2.28%
1928-06-27,19.901386027265094,1.92%
1928-06-28,20.34319679707038,2.22%
1928-06-29,20.4937364533687,0.74%
1928-07-02,20.149441680952105,-1.68%
1928-07-03,20.806313479751143,3.26%
1928-07-05,21.21411722395427,1.96%
1928-07-06,21.01894734549389,-0.92%
1928-07-09,21.170283766381445,0.72%
1928-07-10,21.1067729150823,-0.30%
1928-07-11,20.064098333077233,-4.94%
1928-07-12,19.76714967774769,-1.48%
1928-07-13,20.08342407259165,1.60%
1928-07-16,19.53313825300264,-2.74%
1928-07-17,19.740189518484467,1.06%
1928-07-18,20.221850142735487,2.44%
1928-07-19,20.136918372135998,-0.42%
1928-07-20,20.22149342929897,0.42%
1928-07-23,20.411575467534384,0.94%
1928-07-24,20.346258426038276,-0.32%
1928-07-25,20.58227502378032,1.16%
1928-07-26,20.668720578880198,0.42%
1928-07-27,21.057292525763145,1.88%
1928-07-30,21.166790446897117,0.52%
1928-07-31,21.07788992702015,-0.42%
1928-08-01,21.056812037093128,-0.10%
1928-08-02,20.863089366351872,-0.92%
1928-08-03,20.929851252324198,0.32%
1928-08-06,21.40705186087719,2.28%
1928-08-07,21.210106983757118,-0.92%
1928-08-08,20.688338351956695,-2.46%
1928-08-09,20.79591771138687,0.52%
1928-08-10,20.68777893928766,-0.52%
1928-08-13,20.77466761083267,0.42%
1928-08-14,20.429808128492848,-1.66%
1928-08-15,21.157109297867194,3.56%
1928-08-16,21.46177167175648,1.44%
1928-08-17,21.52615698677175,0.30%
1928-08-20,21.810302258997137,1.32%
1928-08-21,22.359921875923863,2.52%
1928-08-22,22.315202032172014,-0.20%
1928-08-23,22.359832436236356,0.20%
1928-08-24,23.07534707419592,3.20%
1928-08-27,23.167648462492703,0.40%
1928-08-28,23.53369730820009,1.58%
1928-08-29,23.62312535797125,0.38%
1928-08-30,23.693994734045162,0.30%
1928-08-31,24.291083401343098,2.52%
1928-09-04,24.524277801995993,0.96%
1928-09-05,24.759710868895155,0.96%
1928-09-06,24.452690454120855,-1.24%
1928-09-07,24.804809196660194,1.44%
1928-09-10,24.4029712876743,-1.62%
1928-09-11,24.77389645124695,1.52%
1928-09-12,24.96217806427643,0.76%
1928-09-13,24.91724614376073,-0.18%
1928-09-14,24.91724614376073,0.00%
1928-09-17,25.365756574348424,1.80%
1928-09-18,25.010635982307544,-1.40%
1928-09-19,25.010635982307544,0.00%
1928-09-20,25.105676399040313,0.38%
1928-09-21,25.43707132750765,1.32%
1928-09-24,25.604955998269197,0.66%
1928-09-25,25.55886707747231,-0.18%
1928-09-26,25.53330821039484,-0.10%
1928-09-27,24.889868843492888,-2.52%
1928-09-28,24.91475871233638,0.10%
1928-10-01,25.432985693552975,2.08%
1928-10-02,25.19391562803358,-0.94%
1928-10-03,25.027635784888556,-0.66%
1928-10-04,25.19281818106882,0.66%
1928-10-05,25.09708547198076,-0.38%
1928-10-08,24.83607578307216,-1.04%
1928-10-09,24.999993883240435,0.66%
1928-10-10,25.544993749895077,2.18%
1928-10-11,25.785116691144093,0.94%
1928-10-15,26.120323208128966,1.30%
1928-10-16,26.28749327666099,0.64%
1928-10-17,26.45573323363162,0.64%
1928-10-18,26.577429606506325,0.46%
1928-10-19,26.86978133217789,1.10%
1928-10-22,26.50435230606027,-1.36%
1928-10-23,26.84360801557784,1.28%
1928-10-24,26.94024500443392,0.36%
1928-10-25,26.746275240401996,-0.72%
1928-10-26,26.109713889680428,-2.38%
1928-10-29,26.955668619706074,3.24%
1928-10-30,26.368035043796482,-2.18%
1928-10-31,26.172911584472388,-0.74%
1928-11-01,26.921456855788296,2.86%
1928-11-02,26.824539611107458,-0.36%
1928-11-05,27.532707456840694,2.64%
1928-11-07,27.532707456840694,0.00%
1928-11-08,27.90164573676236,1.34%
1928-11-09,28.297849106224387,1.42%
1928-11-12,29.027933613164976,2.58%
1928-11-13,29.207906801566597,0.62%
1928-11-14,29.207906801566597,0.00%
1928-11-15,29.51166903230289,1.04%
1928-11-16,30.38521443565906,2.96%
1928-11-19,30.38521443565906,0.00%
1928-11-20,30.907840123952397,1.72%
1928-11-21,29.992968056283406,-2.96%
1928-11-22,30.76678663213552,2.58%
1928-11-23,31.24059514627041,1.54%
1928-11-26,31.503016145499082,0.84%
1928-11-27,31.792843894037677,0.92%
1928-11-28,32.53679644115816,2.34%
1928-11-30,32.77756873482273,0.74%
1928-12-03,31.617242801610004,-3.54%
1928-12-04,31.775329015618052,0.50%
1928-12-05,31.50841625188686,-0.84%
1928-12-06,29.126379983244213,-7.56%
1928-12-07,27.72831374404849,-4.80%
1928-12-10,27.606309163574675,-0.44%
1928-12-11,28.671912697288658,3.86%
1928-12-12,28.11567759096126,-1.94%
1928-12-13,28.014461151633796,-0.36%
1928-12-14,28.137724780700985,0.44%
1928-12-17,27.912622982455378,-0.80%
1928-12-18,28.560195835648347,2.32%
1928-12-19,29.262776653205297,2.46%
1928-12-20,29.4910263111003,0.78%
1928-12-21,30.157523505731163,2.26%
1928-12-24,30.700358928834323,1.80%
1928-12-26,30.442475913832116,-0.84%
1928-12-27,30.959998004367257,1.70%
1928-12-28,31.851645946893033,2.88%
1928-12-31,32.832676642057336,3.08%
1929-01-02,34.073751819127104,3.78%
1929-01-03,34.21004682640361,0.40%
1929-01-04,34.18267878894249,-0.08%
1929-01-07,32.53507367131546,-4.82%
1929-01-08,32.320342185084776,-0.66%
1929-01-09,33.30934465594837,3.06%
1929-01-10,33.41593455884741,0.32%
1929-01-11,33.3090035682591,-0.32%
1929-01-14,33.44223958253214,0.40%
1929-01-15,32.4657261867222,-2.92%
1929-01-16,33.34879393900105,2.72%
1929-01-17,33.702291154754455,1.06%
1929-01-18,33.917985818144885,0.64%
1929-01-21,34.16219531603553,0.72%
1929-01-22,34.736120197344924,1.68%
1929-01-23,35.15295363971306,1.20%
1929-01-24,34.71002642385268,-1.26%
1929-01-25,35.87628331169414,3.36%
1929-01-28,35.51034522191486,-1.02%
1929-01-29,35.53875349809239,0.08%
1929-01-30,35.78752477257903,0.70%
1929-01-31,36.60348033739383,2.28%
1929-02-01,36.888987484025506,0.78%
1929-02-04,36.320897076771516,-1.54%
1929-02-05,36.487973203324664,0.46%
1929-02-06,35.88957044279014,-1.64%
1929-02-07,33.69312873169138,-6.12%
1929-02-08,32.958618525340505,-2.18%
1929-02-11,34.415389464160555,4.42%
1929-02-13,34.33279252944657,-0.24%
1929-02-14,34.058130189211,-0.80%
1929-02-15,32.688993355604715,-4.02%
1929-02-18,32.79359813434265,0.32%
1929-02-19,32.76736325583518,-0.08%
1929-02-20,33.330961903835544,1.72%
1929-02-21,34.06424306571993,2.20%
1929-02-25,34.200500037982806,0.40%
1929-02-26,34.309941638104355,0.32%
1929-02-27,35.13338023741886,2.40%
1929-02-28,36.08198150382917,2.70%
1929-03-01,36.760322756101154,1.88%
1929-03-04,35.78985023534008,-2.64%
1929-03-05,35.31026624218653,-1.34%
1929-03-06,34.194461828933434,-3.16%
1929-03-07,34.823639926585805,1.84%
1929-03-08,35.2693825176461,1.28%
1929-03-11,34.26773205414495,-2.84%
1929-03-12,34.32256042543158,0.16%
1929-03-13,35.063927730620904,2.16%
1929-03-14,36.42440812656899,3.88%
1929-03-15,37.415152027611676,2.72%
1929-03-18,37.302906571528844,-0.30%
1929-03-19,37.27306424627162,-0.08%
1929-03-20,37.2432457948746,-0.08%
1929-03-21,36.90060793356176,-0.92%
1929-03-22,35.90429151935559,-2.70%
1929-03-25,32.98168218968004,-8.14%
1929-03-26,32.5529203212142,-1.30%
1929-03-27,34.532137876744024,6.08%
1929-03-28,35.74076270243006,3.50%
1929-04-01,33.91798380460612,-5.10%
1929-04-02,34.71166462563391,2.34%
1929-04-03,33.85775767584332,-2.46%
1929-04-04,35.05632229756817,3.54%
1929-04-05,34.36220711607632,-1.98%
1929-04-08,33.75743227083338,-1.76%
1929-04-09,33.21056186804588,-1.62%
1929-04-10,33.61573072283604,1.22%
1929-04-11,34.375446237172135,2.26%
1929-04-12,34.62294945007978,0.72%
1929-04-15,34.20747405667882,-1.20%
1929-04-16,34.37166993215087,0.48%
1929-04-17,35.086600666739606,2.08%
1929-04-18,35.388345432473564,0.86%
1929-04-19,35.3317240797816,-0.16%
1929-04-22,36.13728738880062,2.28%
1929-04-23,36.55647992251071,1.16%
1929-04-24,36.271339379115126,-0.78%
1929-04-25,35.93038878895145,-0.94%
1929-04-26,35.78666723379564,-0.40%
1929-04-29,35.64352056486046,-0.40%
1929-04-30,36.791241927048965,3.22%
1929-05-01,36.93104864637175,0.38%
1929-05-02,37.27081429391837,0.92%
1929-05-03,38.01623057979674,2.00%
1929-05-06,37.87176890359351,-0.38%
1929-05-07,37.15220529442524,-1.90%
1929-05-08,37.46428381889841,0.84%
1929-05-09,37.007219556307845,-1.22%
1929-05-10,37.91759715739302,2.46%
1929-05-13,35.90038098861971,-5.32%
1929-05-14,36.7691702085443,2.42%
1929-05-15,36.460309178792535,-0.84%
1929-05-16,36.82491227058046,1.00%
1929-05-17,37.163701463469806,0.92%
1929-05-20,35.171727065027824,-5.36%
1929-05-21,36.0299172054145,2.44%
1929-05-22,33.39252726597815,-7.32%
1929-05-23,34.87515547658758,4.44%
1929-05-24,34.35202814443876,-1.50%
1929-05-27,31.837459684265845,-7.32%
1929-05-28,32.8626258860992,3.22%
1929-05-29,32.94149618822584,0.24%
1929-05-31,33.501501623425675,1.70%
1929-06-03,34.687454780894946,3.54%
1929-06-04,35.700328460497076,2.92%
1929-06-05,35.55752714665509,-0.40%
1929-06-06,35.699757255241714,0.40%
1929-06-07,35.39273934284663,-0.86%
1929-06-10,34.670727460252564,-2.04%
1929-06-11,35.107578626251744,1.26%
1929-06-12,35.16375075205375,0.16%
1929-06-13,36.2397615250666,3.06%
1929-06-14,36.49343985574206,0.70%
1929-06-17,37.843697130404514,3.70%
1929-06-18,37.873972088108836,0.08%
1929-06-19,37.58612990023921,-0.76%
1929-06-20,38.014611781101934,1.14%
1929-06-21,38.4479783554065,1.14%
1929-06-24,38.4479783554065,0.00%
