SP-500 2x, 1927-2026
Date,Close,Daily Return
1927-12-30,17.65999984741211,0.0
1928-01-03,17.864111626709484,0.01155785849722336
1928-01-04,17.78572008011811,-0.004388214103754564
1928-01-05,17.446529060164924,-0.019070974828416035
1928-01-06,17.667263873147295,0.01265207607892448
1928-01-09,17.353301614963854,-0.017770847848185257
1928-01-10,17.097502608739692,-0.014740653502131515
1928-01-11,17.06011925936915,-0.002186480109172982
1928-01-12,17.298092961973797,0.013949123038747657
1928-01-13,17.5179427356341,0.012709480411719206
1928-01-16,16.94610902627941,-0.032642743385129215
1928-01-17,16.96768035928792,0.0012729372255933843
1928-01-18,16.89119396631936,-0.004507769556531862
1928-01-19,17.12802965534832,0.014021252109306707
1928-01-20,17.32712446341444,0.011623917757752516
1928-01-23,17.650375823390252,0.018655799504317595
1928-01-24,17.792511953336927,0.008052867053307563
1928-01-25,17.412815181883122,-0.021340256645582503
1928-01-26,17.63349340746912,0.01267332268107919
1928-01-27,17.75557236146847,0.0069231292505906915
1928-01-30,17.360288039673772,-0.02226255024324134
1928-01-31,17.52112189799643,0.009264469457828085
1928-02-01,17.44338577097324,-0.004436709445647886
1928-02-02,17.64442483934429,0.011525232028382204
1928-02-03,17.186103057751307,-0.025975444695198843
1928-02-06,17.290877076927792,0.006096438431935768
1928-02-07,17.273071544756863,-0.0010297645452981223
1928-02-08,17.374123344138262,0.005850250728109395
1928-02-09,17.495349481598193,0.006977395927192674
1928-02-10,17.477451450960842,-0.0010230164682435462
1928-02-14,17.28630095448013,-0.010936977683334051
1928-02-15,17.20901619556235,-0.004470867371873948
1928-02-16,17.112118327235464,-0.0056306454259641234
1928-02-17,16.502611803240583,-0.03561841452585072
1928-02-20,16.334050540336584,-0.010214217295646515
1928-02-21,16.64432286437364,0.018995430635582032
1928-02-23,16.687105956204025,0.002570431502621301
1928-02-24,16.78646497262298,0.005954238960292204
1928-02-27,16.655533995827557,-0.0077997944778102945
1928-02-28,16.7548149593152,0.0059608394130453365
1928-02-29,16.952043420198425,0.011771449661613252
1928-03-01,17.032587200636517,0.00475127266026966
1928-03-02,17.034569682097572,0.00011639344262295082
1928-03-05,17.57223363546497,0.03156310745744574
1928-03-06,17.774305120303318,0.011499476334671575
1928-03-07,17.595311095734182,-0.010070380999855378
1928-03-08,17.71746251864123,0.006942271281390799
1928-03-09,18.30207352791092,0.03299631697567285
1928-03-12,18.451368829726185,0.008157288931638617
1928-03-13,18.28950443710423,-0.008772486969160904
1928-03-14,18.312046075950214,0.0012324904112903858
1928-03-15,18.600142367070976,0.01573261065016248
1928-03-16,18.993456946718734,0.021145783289490797
1928-03-19,19.208123361659283,0.011302124491752144
1928-03-20,19.419594678152787,0.011009473050116767
1928-03-21,19.821609438329954,0.020701501078672652
1928-03-22,19.717636075111702,-0.005245455145392644
1928-03-23,20.101563383824175,0.01947126456994903
1928-03-26,20.686579555091335,0.029103018511382396
1928-03-27,20.450090013232654,-0.011432027282658162
1928-03-28,20.34449478121634,-0.005163558299644939
1928-03-29,20.47610548551231,0.006469106542644787
1928-03-30,21.191640535195198,0.03494488003049012
1928-04-02,20.385666328033388,-0.038032648101181295
1928-04-03,20.625208388572315,0.011750514144809673
1928-04-04,20.562543791096555,-0.0030382528164166482
1928-04-05,21.08468498922224,0.02539283093718038
1928-04-09,21.18221927344278,0.0046258354948341945
1928-04-10,20.810945377246462,-0.017527620283952144
1928-04-11,21.554281191100017,0.035718502950196476
1928-04-12,21.490262888037748,-0.002970096868213056
1928-04-13,22.201355416183436,0.033089056743996814
1928-04-16,22.0965835307322,-0.004719166171938479
1928-04-17,21.739861735230463,-0.01614375339995915
1928-04-18,21.74239211257997,0.00011639344262295082
1928-04-19,21.98996734146507,0.01138675209255628
1928-04-20,21.342799983665444,-0.02943011909705316
1928-04-23,20.930899484743687,-0.01929927184985112
1928-04-24,21.151936014862763,0.010560297720611051
1928-04-25,21.330206093194118,0.008428073827667224
1928-04-26,21.641660940985062,0.01460158642772422
1928-04-27,22.111028416659448,0.021688144775685685
1928-04-30,22.2760423659634,0.0074629703419685
1928-05-01,22.346310752915887,0.0031544376598895644
1928-05-02,22.461884259924773,0.005171927853630365
1928-05-03,22.691044011631114,0.010202160649327097
1928-05-04,23.399576863287603,0.03122522045672757
1928-05-07,23.800823611986278,0.01714760702909145
1928-05-08,23.47707737950354,-0.01360231216199162
1928-05-09,23.41031529274394,-0.0028437137076477007
1928-05-10,23.34364034288708,-0.002848101318717693
1928-05-11,23.69287711539116,0.014960681683501583
1928-05-14,23.887341587529487,0.008207718766751235
1928-05-15,23.773253582318684,-0.004776086313027059
1928-05-16,22.983189825156092,-0.03323330373887916
1928-05-17,23.146349722931706,0.007099097166966256
1928-05-18,22.68887607159255,-0.019764397272798655
1928-05-21,22.036176612118812,-0.02876737734448408
1928-05-22,21.432553399480806,-0.027392374968806615
1928-05-23,22.298548264445028,0.04040558531794893
1928-05-24,22.572115264728573,0.012268377162460766
1928-05-25,22.642899116416242,0.0031358980253957296
1928-05-28,21.899835207118677,-0.03281664178589399
1928-05-29,22.461909895405046,0.025665704009665915
1928-05-31,22.875125685843614,0.018396289200817217
1928-06-01,23.03791338218009,0.007116362925044826
1928-06-04,22.426102536271408,-0.02655669529437157
1928-06-05,22.54197852842483,0.0051670142846268535
1928-06-06,22.113066964460195,-0.019027236825010247
1928-06-07,22.003165044350112,-0.00496999897330903
1928-06-08,21.46714836218977,-0.024360889948329262
1928-06-11,19.945233509927185,-0.07089506377769052
1928-06-12,19.22149693943831,-0.03628619189284781
1928-06-13,20.376603177525592,0.06009449949328643
1928-06-14,20.724157887879173,0.017056557823971145
1928-06-15,20.052084150560248,-0.03242948355030614
1928-06-18,19.331475297756302,-0.03593685561028385
1928-06-19,19.207651635392132,-0.0064052877732794266
1928-06-20,19.69164857200121,0.025198131754808704
1928-06-21,19.672732042851617,-0.00096063714931865
1928-06-22,19.632626762221822,-0.0020386228279040417
1928-06-25,19.491228015878715,-0.007202232694363355
1928-06-26,19.936721070616283,0.022856079379639113
1928-06-27,20.323261683240712,0.019388374409979137
1928-06-28,20.778211081012056,0.022385648763579732
1928-06-29,20.933169482169482,0.007457735439940433
1928-07-02,20.59049941070701,-0.016369717531516267
1928-07-03,21.265507521727663,0.032782503112559175
1928-07-05,21.689370972078017,0.019931969642261363
1928-07-06,21.491479995950645,-0.009123868847193814
1928-07-09,21.654156867130254,0.007569365683994782
1928-07-10,21.589914853447496,-0.0029667289323222104
1928-07-11,20.525711454359715,-0.049291690417104565
1928-07-12,20.224815435036863,-0.01465946844239302
1928-07-13,20.549733499239537,0.016065316652521453
1928-07-16,19.99331238726314,-0.027076804280551245
1928-07-17,20.209468424222226,0.010811416976448196
1928-07-18,20.706310803777363,0.02458463375313932
1928-07-19,20.62167186949555,-0.004087591222013955
1928-07-20,20.710947901450695,0.004329233464683512
1928-07-23,20.91407974695199,0.009807945366279927
1928-07-24,20.850882552058362,-0.003021753558285933
1928-07-25,21.09360383090078,0.011640815597920892
1928-07-26,21.183946821257997,0.004282956629007661
1928-07-27,21.582786395837463,0.018827444099285225
1928-07-30,21.701457886157606,0.005498432322113439
1928-07-31,21.614817196520484,-0.003992390285096242
1928-08-01,21.595083599453233,-0.0009129661790721725
1928-08-02,21.397436382892902,-0.009152417292116197
1928-08-03,21.46634571291701,0.0032204479448389983
1928-08-06,21.96171129394229,0.02307638140418093
1928-08-07,21.76237194917802,-0.009076676316169171
1928-08-08,21.228941442399794,-0.0245115977258341
1928-08-09,21.341690884520165,0.005311119370991457
1928-08-10,21.233597891073423,-0.0050648748513712335
1928-08-13,21.329257789184,0.004505119603437034
1928-08-14,20.97790745506749,-0.016472693873795987
