Nasdaq-composite 2x, 1971-2025
Date, Close-price
1972-01-05,130.838577
1972-01-06,132.866729
1972-01-07,133.624524
1972-01-10,133.739668
1972-01-11,134.983758
1972-01-12,135.585537
1972-01-13,134.472089
1972-01-14,135.211327
1972-01-17,135.651453
1972-01-18,137.345211
1972-01-19,136.854943
1972-01-20,136.551986
1972-01-21,136.295922
1972-01-24,134.621439
1972-01-25,134.182293
1972-01-26,134.389970
1972-01-27,136.653088
1972-01-28,139.144675
1972-01-31,140.155013
1972-02-01,141.829280
1972-02-02,143.940471
1972-02-03,144.394504
1972-02-04,145.782682
1972-02-07,145.542196
1972-02-08,146.046800
1972-02-09,147.996498
1972-02-10,149.329145
1972-02-11,149.694223
1972-02-14,148.232127
1972-02-15,149.080831
1972-02-16,150.880355
1972-02-17,151.100529
1972-02-18,151.002602
1972-02-22,150.757865
1972-02-23,151.515934
1972-02-24,152.472025
1972-02-25,154.513183
1972-02-28,154.785497
1972-02-29,155.875710
1972-03-01,158.138382
1972-03-02,158.864649
1972-03-03,160.395814
1972-03-06,162.136094
1972-03-07,162.009306
1972-03-08,163.454120
1972-03-09,164.599827
1972-03-10,163.833355
1972-03-13,160.749133
1972-03-14,161.733775
1972-03-15,162.772072
1972-03-16,161.832075
1972-03-17,162.440037
1972-03-20,161.221832
1972-03-21,156.670757
1972-03-22,158.240829
1972-03-23,160.795524
1972-03-24,161.224716
1972-03-27,161.249997
1972-03-28,161.654512
1972-03-29,161.173548
1972-03-30,162.715395
1972-04-03,162.512223
1972-04-04,164.339629
1972-04-05,167.453379
1972-04-06,169.823488
1972-04-07,172.106480
1972-04-10,172.002015
1972-04-11,173.855710
1972-04-12,175.693092
1972-04-13,175.402843
1972-04-14,177.564730
1972-04-17,177.193366
1972-04-18,178.147301
1972-04-19,174.374457
1972-04-20,174.847587
1972-04-21,175.242395
1972-04-24,172.317517
1972-04-25,169.547895
1972-04-26,169.755229
1972-04-27,169.988623
1972-04-28,170.819039
1972-05-01,167.775434
1972-05-02,165.661485
1972-05-03,164.201348
1972-05-04,164.583894
1972-05-05,165.886062
1972-05-08,163.809763
1972-05-09,156.575744
1972-05-10,159.040524
1972-05-11,162.001285
1972-05-12,165.774351
1972-05-15,168.079618
1972-05-16,168.131200
1972-05-17,166.583506
1972-05-18,169.305123
1972-05-19,172.773536
1972-05-22,173.348750
1972-05-23,174.239195
1972-05-24,176.208445
1972-05-25,177.079784
1972-05-26,177.476823
1972-05-30,176.151875
1972-05-31,173.723104
1972-06-01,175.296090
1972-06-02,176.323138
1972-06-05,174.263041
1972-06-06,172.320075
1972-06-07,169.709165
1972-06-08,169.890534
1972-06-09,168.594352
1972-06-12,168.103689
1972-06-13,169.135158
