Nasdaq-100 2x, 1986-2026
Date,Close,Daily Return
1986-01-02,131.25,0.0
1986-01-03,129.82792123287675,-0.010834885844748685
1986-01-06,129.36461501485198,-0.0035686177027646456
1986-01-07,134.185962889895,0.03726944863933243
1986-01-08,130.86911929074148,-0.02471826059686366
1986-01-09,126.13757239734308,-0.03615480045286086
1986-01-10,127.60493368551425,0.011633023057942511
1986-01-13,126.61472153723435,-0.007759983252060698
1986-01-14,126.76997104392105,0.0012261568386503733
1986-01-15,131.36096099807816,0.03621512189638745
1986-01-16,134.39493093121845,0.023096435273373767
1986-01-17,133.7865042481476,-0.004527154996509849
1986-01-20,131.36107253892382,-0.01812912089193304
1986-01-21,130.32082695664852,-0.007918979056501506
1986-01-22,127.37615499960944,-0.022595559173505166
1986-01-23,126.66684555067951,-0.005568620350740644
1986-01-24,128.4680822983282,0.014220270030550566
1986-01-27,129.56755357714104,0.008558322496475443
1986-01-28,131.92332590519953,0.01818180758237376
1986-01-29,134.04005286134455,0.016045130318091655
1986-01-30,132.26468879125832,-0.013245026633365591
1986-01-31,133.72327555015693,0.011027786571218195
1986-02-03,136.29142625256878,0.01920496407110966
1986-02-04,136.99950230303003,0.00519530883145275
1986-02-05,139.25638864136675,0.01647368275356721
1986-02-06,141.12090701238168,0.013389104724069113
1986-02-07,142.7083256656125,0.011248642648615718
1986-02-10,144.11095260919072,0.0098286272860126
1986-02-11,144.3579682394009,0.001714065626087727
1986-02-12,145.16896852393162,0.005617980735124893
1986-02-13,146.1914902530425,0.007043666008705636
1986-02-14,148.26795423865494,0.014203726783400993
1986-02-18,149.3952916876091,0.007603378995433969
1986-02-19,147.03486394701733,-0.01579988039735209
1986-02-20,147.64190384162976,0.004128543927045442
1986-02-21,150.17025763260207,0.017124906447185895
1986-02-24,148.07305268037084,-0.013965514778313414
1986-02-25,146.35829456450384,-0.011580487366384375
1986-02-26,145.2417616214172,-0.007628764371769569
1986-02-27,148.66849430234728,0.023593301559245078
1986-02-28,148.43190283830586,-0.001591402839933673
1986-03-03,146.8983611806898,-0.010331617585517639
1986-03-04,148.55561211642464,0.011281616230533564
1986-03-05,147.91754227160544,-0.0042951581278472695
1986-03-06,149.05279729066456,0.007674918076819932
1986-03-07,148.456072398368,-0.004003446450809609
1986-03-10,152.4166058266617,0.02667815040711821
1986-03-11,158.597202837374,0.040550680007539905
1986-03-12,161.36403440584877,0.017445651745269963
1986-03-13,162.19532629335322,0.005151655327442108
1986-03-14,162.14597603862396,-0.00030426434507751057
1986-03-17,160.67432519840867,-0.009076086105675086
1986-03-18,163.41356915227237,0.017048423576580523
1986-03-19,163.03186768956112,-0.0023358002930316817
1986-03-20,163.73408953215343,0.004307267361553158
1986-03-21,164.14966969987205,0.0025381407677904553
1986-03-24,162.04823304276147,-0.012801954831543828
1986-03-25,162.90232896256742,0.005270627786361424
1986-03-26,162.34476689047963,-0.0034226771074334574
1986-03-27,164.8091325870405,0.015179828360118086
1986-03-31,165.7645307881272,0.005796997933850208
1986-04-01,164.82352687456032,-0.005676750684195653
1986-04-02,165.8394791788406,0.006163879171530458
1986-04-03,165.3438636858517,-0.0029885253827555674
1986-04-04,161.5802189865001,-0.02276253025332941
1986-04-07,159.36669219384638,-0.013699243673129781
1986-04-08,165.60282226861264,0.0391306990746907
1986-04-09,165.8640718878493,0.0015775674330773522
1986-04-10,171.84493186332364,0.03605880349735037
1986-04-11,173.85424827064716,0.011692613715961109
1986-04-14,176.65914727583672,0.016133623613401926
1986-04-15,178.90179460591253,0.012694770492547063
1986-04-16,188.06391707008086,0.05121313894223821
1986-04-17,188.41101272651073,0.0018456260075691185
1986-04-18,185.0626401736271,-0.017771639271128913
1986-04-21,187.0116736203669,0.01053174992484266
1986-04-22,185.39946880109449,-0.008620877980832302
1986-04-23,184.42871704216086,-0.005236000756696224
1986-04-24,189.99637967397913,0.030188696864087074
1986-04-25,191.41450048589726,0.007463935967366838
1986-04-28,189.98184138611035,-0.007484590227752773
1986-04-29,186.02905680206652,-0.02080611786476144
1986-04-30,178.14516220271716,-0.042379909541431365
1986-05-01,176.50520686030262,-0.009205724826523076
1986-05-02,178.30683837175852,0.010207242854211212
