SP500 osnoven more padet 4.0% da kupimo 2x,in osnoven more padet 5.0% da kupimo 3x
Datum od kdaj do kdaj,Zacetna investicija,vse mesecne investicije,skupaj vse investicije,koliko smo v plusu oz minusu,koliko imamo vse skupaj
1927-12-30-1942-12-30,30000,72000.0,102000.0,-59048.25,42951.75
1928-01-03-1943-01-04,30000,72000.0,102000.0,-57382.24,44617.76
1929-01-02-1944-01-03,30000,72000.0,102000.0,-43402.7,58597.3
1930-01-02-1945-01-02,30000,72000.0,102000.0,-13987.16,88012.84
1931-01-02-1946-01-02,30000,72000.0,102000.0,81744.64,183744.64
1932-01-04-1947-01-06,30000,72000.0,102000.0,54080.36,156080.36
1933-01-03-1948-01-05,30000,72000.0,102000.0,55471.67,157471.67
1934-01-02-1949-01-03,30000,72000.0,102000.0,25676.89,127676.89
1935-01-02-1950-01-03,30000,72000.0,102000.0,63126.16,165126.16
1936-01-02-1951-01-02,30000,72000.0,102000.0,139335.69,241335.69
1937-01-04-1952-01-04,30000,72000.0,102000.0,222917.24,324917.24
1938-01-03-1953-01-05,30000,72000.0,102000.0,345535.99,447535.99
1939-01-03-1954-01-04,30000,72000.0,102000.0,237209.59,339209.59
1940-01-02-1955-01-03,30000,72000.0,102000.0,759022.12,861022.12
1941-01-02-1956-01-03,30000,72000.0,102000.0,1126056.8,1228056.8
1942-01-02-1957-01-02,30000,72000.0,102000.0,882262.83,984262.83
1943-01-04-1958-01-06,30000,72000.0,102000.0,425292.68,527292.68
1944-01-03-1959-01-05,30000,72000.0,102000.0,788660.93,890660.93
1945-01-02-1960-01-04,30000,72000.0,102000.0,910133.03,1012133.03
1946-01-02-1961-01-03,30000,72000.0,102000.0,739392.1,841392.1
1947-01-02-1962-01-02,30000,72000.0,102000.0,958114.54,1060114.54
1948-01-02-1963-01-02,30000,72000.0,102000.0,507233.32,609233.32
1949-01-03-1964-01-03,30000,72000.0,102000.0,503481.69,605481.69
1950-01-03-1965-01-04,30000,72000.0,102000.0,453373.96,555373.96
1951-01-02-1966-01-03,30000,72000.0,102000.0,450769.61,552769.61
1952-01-02-1967-01-03,30000,72000.0,102000.0,252649.0,354649.0
1953-01-02-1968-01-02,30000,72000.0,102000.0,350216.89,452216.89
1954-01-04-1969-01-06,30000,72000.0,102000.0,249042.26,351042.26
1955-01-03-1970-01-05,30000,72000.0,102000.0,145855.57,247855.57
1956-01-03-1971-01-04,30000,72000.0,102000.0,102804.39,204804.39
1957-01-02-1972-01-03,30000,72000.0,102000.0,128763.62,230763.62
1958-01-02-1973-01-02,30000,72000.0,102000.0,164952.42,266952.42
1959-01-02-1974-01-02,30000,72000.0,102000.0,54514.69,156514.69
1960-01-04-1975-01-06,30000,72000.0,102000.0,-18526.73,83473.27
1961-01-03-1976-01-05,30000,72000.0,102000.0,20890.01,122890.01
1962-01-02-1977-01-03,30000,72000.0,102000.0,40782.22,142782.22
1963-01-02-1978-01-03,30000,72000.0,102000.0,8858.93,110858.93
1964-01-02-1979-01-02,30000,72000.0,102000.0,3911.76,105911.76
1965-01-04-1980-01-04,30000,72000.0,102000.0,17105.6,119105.6
1966-01-03-1981-01-05,30000,72000.0,102000.0,92346.12,194346.12
1967-01-03-1982-01-04,30000,72000.0,102000.0,45257.09,147257.09
1968-01-02-1983-01-03,30000,72000.0,102000.0,69576.69,171576.69
1969-01-02-1984-01-03,30000,72000.0,102000.0,137535.13,239535.13
1970-01-02-1985-01-02,30000,72000.0,102000.0,134628.83,236628.83
1971-01-04-1986-01-06,30000,72000.0,102000.0,290041.33,392041.33
1972-01-03-1987-01-05,30000,72000.0,102000.0,458149.5,560149.5
1973-01-02-1988-01-04,30000,72000.0,102000.0,293812.24,395812.24
1974-01-02-1989-01-03,30000,72000.0,102000.0,314242.27,416242.27
1975-01-02-1990-01-02,30000,72000.0,102000.0,548866.4,650866.4
1976-01-02-1991-01-02,30000,72000.0,102000.0,330322.1,432322.1
1977-01-03-1992-01-03,30000,72000.0,102000.0,581544.31,683544.31
1978-01-03-1993-01-04,30000,72000.0,102000.0,507325.33,609325.33
1979-01-02-1994-01-03,30000,72000.0,102000.0,458960.91,560960.91
1980-01-02-1995-01-03,30000,72000.0,102000.0,379006.57,481006.57
1981-01-02-1996-01-02,30000,72000.0,102000.0,683585.71,785585.71
1982-01-04-1997-01-06,30000,72000.0,102000.0,790248.08,892248.08
1983-01-03-1998-01-05,30000,72000.0,102000.0,995949.74,1097949.74
1984-01-03-1999-01-04,30000,72000.0,102000.0,1310235.65,1412235.65
1985-01-02-2000-01-03,30000,72000.0,102000.0,1389667.27,1491667.27
1986-01-02-2001-01-02,30000,72000.0,102000.0,802875.58,904875.58
1987-01-02-2002-01-02,30000,72000.0,102000.0,501393.35,603393.35
1988-01-04-2003-01-06,30000,72000.0,102000.0,167408.2,269408.2
1989-01-03-2004-01-05,30000,72000.0,102000.0,208637.58,310637.58
1990-01-02-2005-01-03,30000,72000.0,102000.0,195104.9,297104.9
1991-01-02-2006-01-03,30000,72000.0,102000.0,159630.87,261630.87
1992-01-02-2007-01-03,30000,72000.0,102000.0,163221.39,265221.39
1993-01-04-2008-01-04,30000,72000.0,102000.0,139146.69,241146.69
1994-01-03-2009-01-05,30000,72000.0,102000.0,4605.67,106605.67
1995-01-03-2010-01-04,30000,72000.0,102000.0,29372.35,131372.35
1996-01-02-2011-01-03,30000,72000.0,102000.0,23927.18,125927.18
1997-01-02-2012-01-03,30000,72000.0,102000.0,3492.47,105492.47
1998-01-02-2013-01-02,30000,72000.0,102000.0,13579.38,115579.38
1999-01-04-2014-01-06,30000,72000.0,102000.0,66714.6,168714.6
2000-01-03-2015-01-05,30000,72000.0,102000.0,97641.66,199641.66
2001-01-02-2016-01-04,30000,72000.0,102000.0,93780.28,195780.28
2002-01-02-2017-01-03,30000,72000.0,102000.0,156167.82,258167.82
2003-01-02-2018-01-02,30000,72000.0,102000.0,276887.56,378887.56
2004-01-02-2019-01-02,30000,72000.0,102000.0,180950.2,282950.2
2005-01-03-2020-01-03,30000,72000.0,102000.0,360673.1,462673.1
2006-01-03-2021-01-04,30000,72000.0,102000.0,378905.3,480905.3
2007-01-03-2022-01-03,30000,72000.0,102000.0,741462.76,843462.76
2008-01-02-2023-01-03,30000,72000.0,102000.0,298942.51,400942.51
2009-01-02-2024-01-02,30000,72000.0,102000.0,415624.13,517624.13
2010-01-04-2025-01-06,30000,72000.0,102000.0,491108.82,593108.82
