SP500 osnoven more padet 2.0% da kupimo 2x,in osnoven more padet 3.0% da kupimo 3x
Datum od kdaj do kdaj,Zacetna investicija,vse mesecne investicije,skupaj vse investicije,koliko smo v plusu oz minusu,koliko imamo vse skupaj
1927-12-30-1942-12-30,30000,72000.0,102000.0,-59295.97,42704.03
1928-01-03-1943-01-04,30000,72000.0,102000.0,-57634.36,44365.64
1929-01-02-1944-01-03,30000,72000.0,102000.0,-43442.0,58558.0
1930-01-02-1945-01-02,30000,72000.0,102000.0,-13987.16,88012.84
1931-01-02-1946-01-02,30000,72000.0,102000.0,81370.18,183370.18
1932-01-04-1947-01-06,30000,72000.0,102000.0,53101.26,155101.26
1933-01-03-1948-01-05,30000,72000.0,102000.0,54456.33,156456.33
1934-01-02-1949-01-03,30000,72000.0,102000.0,24271.05,126271.05
1935-01-02-1950-01-03,30000,72000.0,102000.0,60644.35,162644.35
1936-01-02-1951-01-02,30000,72000.0,102000.0,138501.22,240501.22
1937-01-04-1952-01-04,30000,72000.0,102000.0,223835.07,325835.07
1938-01-03-1953-01-05,30000,72000.0,102000.0,350762.84,452762.84
1939-01-03-1954-01-04,30000,72000.0,102000.0,244869.36,346869.36
1940-01-02-1955-01-03,30000,72000.0,102000.0,811362.89,913362.89
1941-01-02-1956-01-03,30000,72000.0,102000.0,1241569.83,1343569.83
1942-01-02-1957-01-02,30000,72000.0,102000.0,988794.25,1090794.25
1943-01-04-1958-01-06,30000,72000.0,102000.0,475045.84,577045.84
1944-01-03-1959-01-05,30000,72000.0,102000.0,930753.2,1032753.2
1945-01-02-1960-01-04,30000,72000.0,102000.0,990935.24,1092935.24
1946-01-02-1961-01-03,30000,72000.0,102000.0,787439.57,889439.57
1947-01-02-1962-01-02,30000,72000.0,102000.0,1144892.59,1246892.59
1948-01-02-1963-01-02,30000,72000.0,102000.0,569404.43,671404.43
1949-01-03-1964-01-03,30000,72000.0,102000.0,630079.64,732079.64
1950-01-03-1965-01-04,30000,72000.0,102000.0,569714.99,671714.99
1951-01-02-1966-01-03,30000,72000.0,102000.0,556599.88,658599.88
1952-01-02-1967-01-03,30000,72000.0,102000.0,286798.94,388798.94
1953-01-02-1968-01-02,30000,72000.0,102000.0,379554.69,481554.69
1954-01-04-1969-01-06,30000,72000.0,102000.0,278099.56,380099.56
1955-01-03-1970-01-05,30000,72000.0,102000.0,156734.15,258734.15
1956-01-03-1971-01-04,30000,72000.0,102000.0,110203.51,212203.51
1957-01-02-1972-01-03,30000,72000.0,102000.0,136471.15,238471.15
1958-01-02-1973-01-02,30000,72000.0,102000.0,179782.35,281782.35
1959-01-02-1974-01-02,30000,72000.0,102000.0,55552.59,157552.59
1960-01-04-1975-01-06,30000,72000.0,102000.0,-22219.16,79780.84
1961-01-03-1976-01-05,30000,72000.0,102000.0,18571.5,120571.5
1962-01-02-1977-01-03,30000,72000.0,102000.0,40015.77,142015.77
1963-01-02-1978-01-03,30000,72000.0,102000.0,6708.0,108708.0
1964-01-02-1979-01-02,30000,72000.0,102000.0,1550.84,103550.84
1965-01-04-1980-01-04,30000,72000.0,102000.0,15228.74,117228.74
1966-01-03-1981-01-05,30000,72000.0,102000.0,92617.99,194617.99
1967-01-03-1982-01-04,30000,72000.0,102000.0,43907.73,145907.73
1968-01-02-1983-01-03,30000,72000.0,102000.0,68772.05,170772.05
1969-01-02-1984-01-03,30000,72000.0,102000.0,139557.55,241557.55
1970-01-02-1985-01-02,30000,72000.0,102000.0,136648.49,238648.49
1971-01-04-1986-01-06,30000,72000.0,102000.0,299624.27,401624.27
1972-01-03-1987-01-05,30000,72000.0,102000.0,476178.37,578178.37
1973-01-02-1988-01-04,30000,72000.0,102000.0,298860.69,400860.69
1974-01-02-1989-01-03,30000,72000.0,102000.0,335309.94,437309.94
1975-01-02-1990-01-02,30000,72000.0,102000.0,619815.65,721815.65
1976-01-02-1991-01-02,30000,72000.0,102000.0,365224.44,467224.44
1977-01-03-1992-01-03,30000,72000.0,102000.0,651004.35,753004.35
1978-01-03-1993-01-04,30000,72000.0,102000.0,584309.94,686309.94
1979-01-02-1994-01-03,30000,72000.0,102000.0,532390.12,634390.12
1980-01-02-1995-01-03,30000,72000.0,102000.0,425984.34,527984.34
1981-01-02-1996-01-02,30000,72000.0,102000.0,802151.81,904151.81
1982-01-04-1997-01-06,30000,72000.0,102000.0,1038929.53,1140929.53
1983-01-03-1998-01-05,30000,72000.0,102000.0,1269350.18,1371350.18
1984-01-03-1999-01-04,30000,72000.0,102000.0,1658462.86,1760462.86
1985-01-02-2000-01-03,30000,72000.0,102000.0,1689926.44,1791926.44
1986-01-02-2001-01-02,30000,72000.0,102000.0,927612.68,1029612.68
1987-01-02-2002-01-02,30000,72000.0,102000.0,554235.31,656235.31
1988-01-04-2003-01-06,30000,72000.0,102000.0,190716.58,292716.58
1989-01-03-2004-01-05,30000,72000.0,102000.0,233655.47,335655.47
1990-01-02-2005-01-03,30000,72000.0,102000.0,218908.81,320908.81
1991-01-02-2006-01-03,30000,72000.0,102000.0,182172.88,284172.88
1992-01-02-2007-01-03,30000,72000.0,102000.0,186367.77,288367.77
1993-01-04-2008-01-04,30000,72000.0,102000.0,150264.44,252264.44
1994-01-03-2009-01-05,30000,72000.0,102000.0,536.09,102536.09
1995-01-03-2010-01-04,30000,72000.0,102000.0,25887.06,127887.06
1996-01-02-2011-01-03,30000,72000.0,102000.0,20318.34,122318.34
1997-01-02-2012-01-03,30000,72000.0,102000.0,471.45,102471.45
1998-01-02-2013-01-02,30000,72000.0,102000.0,11269.53,113269.53
1999-01-04-2014-01-06,30000,72000.0,102000.0,65085.82,167085.82
2000-01-03-2015-01-05,30000,72000.0,102000.0,96960.39,198960.39
2001-01-02-2016-01-04,30000,72000.0,102000.0,93009.9,195009.9
2002-01-02-2017-01-03,30000,72000.0,102000.0,155600.36,257600.36
2003-01-02-2018-01-02,30000,72000.0,102000.0,286936.5,388936.5
2004-01-02-2019-01-02,30000,72000.0,102000.0,183616.67,285616.67
2005-01-03-2020-01-03,30000,72000.0,102000.0,372591.61,474591.61
2006-01-03-2021-01-04,30000,72000.0,102000.0,388503.32,490503.32
2007-01-03-2022-01-03,30000,72000.0,102000.0,770040.11,872040.11
2008-01-02-2023-01-03,30000,72000.0,102000.0,309345.61,411345.61
2009-01-02-2024-01-02,30000,72000.0,102000.0,482179.81,584179.81
2010-01-04-2025-01-06,30000,72000.0,102000.0,588728.74,690728.74
