SP500 osnoven more padet 5.0% da kupimo 2x,in osnoven more padet 6.0% da kupimo 3x
Datum od kdaj do kdaj,Zacetna investicija,vse mesecne investicije,skupaj vse investicije,koliko smo v plusu oz minusu,koliko imamo vse skupaj
1927-12-30-1942-12-30,30000,72000.0,102000.0,-58579.51,43420.49
1928-01-03-1943-01-04,30000,72000.0,102000.0,-56906.51,45093.49
1929-01-02-1944-01-03,30000,72000.0,102000.0,-43058.53,58941.47
1930-01-02-1945-01-02,30000,72000.0,102000.0,-13956.5,88043.5
1931-01-02-1946-01-02,30000,72000.0,102000.0,82184.65,184184.65
1932-01-04-1947-01-06,30000,72000.0,102000.0,55158.59,157158.59
1933-01-03-1948-01-05,30000,72000.0,102000.0,56169.42,158169.42
1934-01-02-1949-01-03,30000,72000.0,102000.0,26381.12,128381.12
1935-01-02-1950-01-03,30000,72000.0,102000.0,64000.7,166000.7
1936-01-02-1951-01-02,30000,72000.0,102000.0,139559.03,241559.03
1937-01-04-1952-01-04,30000,72000.0,102000.0,222785.83,324785.83
1938-01-03-1953-01-05,30000,72000.0,102000.0,341788.91,443788.91
1939-01-03-1954-01-04,30000,72000.0,102000.0,235387.46,337387.46
1940-01-02-1955-01-03,30000,72000.0,102000.0,741103.1,843103.1
1941-01-02-1956-01-03,30000,72000.0,102000.0,1083250.74,1185250.74
1942-01-02-1957-01-02,30000,72000.0,102000.0,801913.84,903913.84
1943-01-04-1958-01-06,30000,72000.0,102000.0,404571.68,506571.68
1944-01-03-1959-01-05,30000,72000.0,102000.0,767412.07,869412.07
1945-01-02-1960-01-04,30000,72000.0,102000.0,883796.87,985796.87
1946-01-02-1961-01-03,30000,72000.0,102000.0,724096.62,826096.62
1947-01-02-1962-01-02,30000,72000.0,102000.0,852115.98,954115.98
1948-01-02-1963-01-02,30000,72000.0,102000.0,465857.39,567857.39
1949-01-03-1964-01-03,30000,72000.0,102000.0,431217.3,533217.3
1950-01-03-1965-01-04,30000,72000.0,102000.0,419585.5,521585.5
1951-01-02-1966-01-03,30000,72000.0,102000.0,411793.09,513793.09
1952-01-02-1967-01-03,30000,72000.0,102000.0,238030.07,340030.07
1953-01-02-1968-01-02,30000,72000.0,102000.0,336270.35,438270.35
1954-01-04-1969-01-06,30000,72000.0,102000.0,241376.5,343376.5
1955-01-03-1970-01-05,30000,72000.0,102000.0,141540.88,243540.88
1956-01-03-1971-01-04,30000,72000.0,102000.0,100498.8,202498.8
1957-01-02-1972-01-03,30000,72000.0,102000.0,124451.22,226451.22
1958-01-02-1973-01-02,30000,72000.0,102000.0,158544.12,260544.12
1959-01-02-1974-01-02,30000,72000.0,102000.0,53784.97,155784.97
1960-01-04-1975-01-06,30000,72000.0,102000.0,-16344.08,85655.92
1961-01-03-1976-01-05,30000,72000.0,102000.0,22176.72,124176.72
1962-01-02-1977-01-03,30000,72000.0,102000.0,41606.7,143606.7
1963-01-02-1978-01-03,30000,72000.0,102000.0,10200.92,112200.92
1964-01-02-1979-01-02,30000,72000.0,102000.0,5264.07,107264.07
1965-01-04-1980-01-04,30000,72000.0,102000.0,18230.22,120230.22
1966-01-03-1981-01-05,30000,72000.0,102000.0,91839.53,193839.53
1967-01-03-1982-01-04,30000,72000.0,102000.0,45952.77,147952.77
1968-01-02-1983-01-03,30000,72000.0,102000.0,69461.22,171461.22
1969-01-02-1984-01-03,30000,72000.0,102000.0,136923.54,238923.54
1970-01-02-1985-01-02,30000,72000.0,102000.0,133575.21,235575.21
1971-01-04-1986-01-06,30000,72000.0,102000.0,285376.92,387376.92
1972-01-03-1987-01-05,30000,72000.0,102000.0,451797.06,553797.06
1973-01-02-1988-01-04,30000,72000.0,102000.0,291177.61,393177.61
1974-01-02-1989-01-03,30000,72000.0,102000.0,301989.34,403989.34
1975-01-02-1990-01-02,30000,72000.0,102000.0,517074.61,619074.61
1976-01-02-1991-01-02,30000,72000.0,102000.0,314803.12,416803.12
1977-01-03-1992-01-03,30000,72000.0,102000.0,542385.78,644385.78
1978-01-03-1993-01-04,30000,72000.0,102000.0,459006.81,561006.81
1979-01-02-1994-01-03,30000,72000.0,102000.0,423674.97,525674.97
1980-01-02-1995-01-03,30000,72000.0,102000.0,361116.77,463116.77
1981-01-02-1996-01-02,30000,72000.0,102000.0,632949.01,734949.01
1982-01-04-1997-01-06,30000,72000.0,102000.0,709212.67,811212.67
1983-01-03-1998-01-05,30000,72000.0,102000.0,856951.1,958951.1
1984-01-03-1999-01-04,30000,72000.0,102000.0,1216023.37,1318023.37
1985-01-02-2000-01-03,30000,72000.0,102000.0,1282125.84,1384125.84
1986-01-02-2001-01-02,30000,72000.0,102000.0,764565.47,866565.47
1987-01-02-2002-01-02,30000,72000.0,102000.0,478544.66,580544.66
1988-01-04-2003-01-06,30000,72000.0,102000.0,160829.43,262829.43
1989-01-03-2004-01-05,30000,72000.0,102000.0,199535.09,301535.09
1990-01-02-2005-01-03,30000,72000.0,102000.0,188481.65,290481.65
1991-01-02-2006-01-03,30000,72000.0,102000.0,154084.66,256084.66
1992-01-02-2007-01-03,30000,72000.0,102000.0,157531.31,259531.31
1993-01-04-2008-01-04,30000,72000.0,102000.0,134176.39,236176.39
1994-01-03-2009-01-05,30000,72000.0,102000.0,5762.51,107762.51
1995-01-03-2010-01-04,30000,72000.0,102000.0,30754.89,132754.89
1996-01-02-2011-01-03,30000,72000.0,102000.0,25373.63,127373.63
1997-01-02-2012-01-03,30000,72000.0,102000.0,5047.64,107047.64
1998-01-02-2013-01-02,30000,72000.0,102000.0,15155.94,117155.94
1999-01-04-2014-01-06,30000,72000.0,102000.0,68484.63,170484.63
2000-01-03-2015-01-05,30000,72000.0,102000.0,99123.78,201123.78
2001-01-02-2016-01-04,30000,72000.0,102000.0,94338.59,196338.59
2002-01-02-2017-01-03,30000,72000.0,102000.0,156386.96,258386.96
2003-01-02-2018-01-02,30000,72000.0,102000.0,274702.5,376702.5
2004-01-02-2019-01-02,30000,72000.0,102000.0,180143.81,282143.81
2005-01-03-2020-01-03,30000,72000.0,102000.0,357640.5,459640.5
2006-01-03-2021-01-04,30000,72000.0,102000.0,376884.84,478884.84
2007-01-03-2022-01-03,30000,72000.0,102000.0,735280.62,837280.62
2008-01-02-2023-01-03,30000,72000.0,102000.0,294205.83,396205.83
2009-01-02-2024-01-02,30000,72000.0,102000.0,397064.5,499064.5
2010-01-04-2025-01-06,30000,72000.0,102000.0,457282.33,559282.33
