Nasdaq-composite 3x, 1971-2026
Date,Close,Daily Return
1971-02-05,100.0,0.0
1971-02-08,102.44323287671233,0.024432328767123392
1971-02-09,102.17320292878595,-0.002635898344318631
1971-02-10,101.93411244434486,-0.0023400507920627363
1971-02-11,104.21619986362154,0.02238786765836293
1971-02-12,106.03861187584768,0.017486839998109432
1971-02-16,106.36649046903857,0.0030920679495010004
1971-02-17,104.93409800000735,-0.013466576388060465
1971-02-18,103.91710744701592,-0.009691707198849405
1971-02-19,101.67733372394088,-0.02155346485386954
1971-02-22,98.5095804375089,-0.031154960210036473
1971-02-23,98.60296376817294,0.0009479619164886893
1971-02-24,101.30681544830668,0.027421606580617562
1971-02-25,103.06261958261129,0.017331549970599228
1971-02-26,103.37222100895659,0.003004012779794808
1971-03-01,104.63933573973853,0.012257787618514576
1971-03-02,104.79761633052247,0.0015126299270250497
1971-03-03,105.4808384634724,0.00651944344607143
1971-03-04,107.65502441369543,0.020612141331962857
1971-03-05,109.92135182654067,0.02105175699125954
1971-03-08,112.13075756544752,0.02009987779620257
1971-03-09,112.68299701998701,0.0049249596322146335
1971-03-10,111.7799816233224,-0.008013768008890023
1971-03-11,112.13778873547567,0.00320099455159164
1971-03-12,112.88349628170387,0.006649921981137631
1971-03-15,114.83846382561573,0.017318453169037032
1971-03-16,116.21820568491651,0.012014631799637698
1971-03-17,115.99029228025199,-0.0019610817713227426
1971-03-18,117.2139662937499,0.010549796792832435
1971-03-19,116.81864738379647,-0.0033726263384239426
1971-03-22,115.40361805369852,-0.012113043266534408
1971-03-23,114.51981365249848,-0.007658376887185679
1971-03-24,113.15039524208319,-0.011957916859441349
1971-03-25,112.79722797406174,-0.003121219923853131
1971-03-26,114.28886225119174,0.013224033107205501
1971-03-29,114.6253446553143,0.002944139940626943
1971-03-30,115.38052119104385,0.0065882160529192775
1971-03-31,117.09089616308542,0.0148237757498909
1971-04-01,118.28742136111362,0.01021877222941114
1971-04-02,119.99242053927878,0.014414036239407731
1971-04-05,120.94459694875515,0.00793530462338388
1971-04-06,122.23402888842517,0.010661343889684947
1971-04-07,123.90739004651368,0.013689814311986428
1971-04-08,124.9764708075928,0.00862806294828577
1971-04-12,126.54365405999711,0.012539826435145998
1971-04-13,126.44153251864917,-0.0008070064208792742
1971-04-14,127.21069004332453,0.006083108210998028
1971-04-15,129.31231079032202,0.01652078725680786
1971-04-16,130.23412092555355,0.00712855666717026
1971-04-19,130.84477027928008,0.004688858414267782
1971-04-20,128.56640259264603,-0.01741275315605682
1971-04-21,128.49828965878575,-0.0005297879732707397
1971-04-22,130.1197415279699,0.012618470436374887
1971-04-23,132.57077513846176,0.0188367543749308
1971-04-26,134.0499369110506,0.011157525261838197
1971-04-27,136.04212536030823,0.014861539625934887
1971-04-28,138.49210116275594,0.01800894977168968
1971-04-29,138.78942793397073,0.002146886130822422
1971-04-30,138.16153420077745,-0.004524074654245315
1971-05-03,134.54914589787484,-0.02614612181168356
1971-05-04,136.03722997121318,0.011059780895731758
1971-05-05,135.6737976066296,-0.0026715654579300735
1971-05-06,133.3794698149282,-0.0169106182046553
1971-05-07,131.9041780794268,-0.011060860697290769
1971-05-10,129.97919418135373,-0.01459380533734059
1971-05-11,130.58314450870594,0.004646515399299632
1971-05-12,130.69175778889326,0.0008317557414930017
1971-05-13,131.29774194169687,0.004636743456939781
1971-05-14,131.94112025425008,0.004900147580899922
1971-05-17,126.1566186237608,-0.04384153794770395
1971-05-18,123.52376473861968,-0.02086972458411511
1971-05-19,123.25285738546954,-0.0021931597836528354
1971-05-20,124.5524899800373,0.010544441906958586
1971-05-21,124.96741244432623,0.0033313060570321408
1971-05-24,123.39046834036371,-0.012618842569578393
1971-05-25,120.21779730965318,-0.0257124482416175
1971-05-26,120.28768218630779,0.000581318891366709
1971-05-27,120.49181675265378,0.0016970529536833312
1971-05-28,122.64461827768379,0.017866786168966906
1971-06-01,124.62641873115994,0.016158886393116013
1971-06-02,126.96411273010474,0.018757611931284075
1971-06-03,129.22615598889416,0.017816398745667508
1971-06-04,130.74070688932906,0.011720157493232651
1971-06-07,130.99477994034385,0.0019433354542733475
1971-06-08,128.33568711992433,-0.020299227355704545
1971-06-09,127.49797882325883,-0.006527477395143319
1971-06-10,128.40599784213353,0.007121830692966663
1971-06-11,128.86315014660897,0.0035602098979635173
1971-06-14,126.55414073325362,-0.017918306441588407
1971-06-15,125.7941021956551,-0.006005639429850766
1971-06-16,126.03797875302587,0.001938696275215153
1971-06-17,126.00572684284633,-0.0002558904109589041
1971-06-18,121.55222961218813,-0.035343609709204554
1971-06-21,115.86230038133621,-0.04681057064116065
1971-06-22,112.53628829065867,-0.028706594636311162
1971-06-23,114.10768502433854,0.013963466874091812
1971-06-24,115.30579760385021,0.01049984126184069
1971-06-25,115.89417580130599,0.005102763344799234
1971-06-28,115.44630066358718,-0.003864518079723543
1971-06-29,117.92198174458595,0.021444438381901482
1971-06-30,119.80548177764936,0.01597242520179986
1971-07-01,122.0086745958257,0.018389749663252648
1971-07-02,122.98978717579664,0.008041334628222358
1971-07-06,124.4243105639084,0.011663760228004267
1971-07-07,127.05797452128546,0.02116679566429518
1971-07-08,128.44607162725092,0.010924911334336885
1971-07-09,130.12318109742344,0.013056915240191109
1971-07-12,131.18478913288612,0.008158485110104037
1971-07-13,129.4530352306894,-0.013200874229728855
1971-07-14,127.94725844363886,-0.011631838406625256
1971-07-15,129.23643091458194,0.010075811601003995
1971-07-16,126.61209540818774,-0.02030646844564085
1971-07-19,124.40815103976242,-0.017407060212691207
1971-07-20,125.80956360672634,0.01126463624168812
1971-07-21,125.60548350273741,-0.00162213505983434
1971-07-22,124.88659823167221,-0.005723358973014361
1971-07-23,125.16246805775198,0.002208962610768023
1971-07-26,124.10737254461829,-0.008429807509443377
1971-07-27,121.41981903158562,-0.021655067365691446
1971-07-28,117.63107554793713,-0.03120366603958533
1971-07-29,112.21479627319573,-0.04604462935930699
1971-07-30,110.46802119194801,-0.015566352560094324
1971-08-02,111.39062094201005,0.008351736005652994
1971-08-03,107.62764610056963,-0.03378179248501915
1971-08-04,104.04378514282314,-0.033298702402147246
1971-08-05,103.56374565397284,-0.0046138218461711554
1971-08-06,105.55608988640381,0.01923785413370219
1971-08-09,103.64425233067017,-0.018112053580149626
1971-08-10,103.195840995094,-0.0043264467203212
1971-08-11,106.29415295682742,0.030023612694630924
1971-08-12,109.72907069784479,0.0323152087435375
1971-08-13,110.42062955619923,0.006302421536574714
1971-08-16,117.93880070021731,0.06808665350156946
1971-08-17,121.41857447438284,0.029504910627424392
