SP-500 3x, 1927-2025
Date,Close
1928-12-03,41.121754
1928-12-04,41.432104
1928-12-05,40.912251
1928-12-06,36.272897
1928-12-07,33.660492
1928-12-10,33.434678
1928-12-11,35.367927
1928-12-12,34.341420
1928-12-13,34.158424
1928-12-14,34.386355
1928-12-17,33.974267
1928-12-18,35.155192
1928-12-19,36.456083
1928-12-20,36.884419
1928-12-21,38.131488
1928-12-24,39.161190
1928-12-26,38.662108
1928-12-27,39.651746
1928-12-28,41.362609
1928-12-31,43.277230
1929-01-02,45.729898
1929-01-03,46.006384
1929-01-04,45.950865
1929-01-07,42.622430
1929-01-08,42.200600
1929-01-09,44.138654
1929-01-10,44.354486
1929-01-11,44.137952
1929-01-14,44.407740
1929-01-15,42.457335
1929-01-16,44.192075
1929-01-17,44.893828
1929-01-18,45.330220
1929-01-21,45.824333
1929-01-22,46.985604
1929-01-23,47.828981
1929-01-24,46.918677
1929-01-25,49.277717
1929-01-28,48.523471
1929-01-29,48.580896
1929-01-30,49.098123
1929-01-31,50.776520
1929-02-01,51.368324
1929-02-04,50.175556
1929-02-05,50.527811
1929-02-06,49.289185
1929-02-07,44.764399
1929-02-08,43.297019
1929-02-11,46.166947
1929-02-13,46.000620
1929-02-14,45.447504
1929-02-15,42.704194
1929-02-18,42.914640
1929-02-19,42.861854
1929-02-20,43.969446
1929-02-21,45.417811
1929-02-25,45.691849
1929-02-26,45.911967
1929-02-27,47.568106
1929-02-28,49.489670
1929-03-01,50.882109
1929-03-04,48.872827
1929-03-05,47.894986
1929-03-06,45.625084
1929-03-07,46.888376
1929-03-08,47.783263
1929-03-11,45.744316
1929-03-12,45.854315
1929-03-13,47.341782
1929-03-14,50.099008
1929-03-15,52.143470
1929-03-18,51.903552
1929-03-19,51.843754
1929-03-20,51.784002
1929-03-21,51.067539
1929-03-22,48.997231
1929-03-25,43.014013
1929-03-26,42.171634
1929-03-27,46.016439
1929-03-28,48.437395
1929-04-01,44.737702
1929-04-02,46.302089
1929-04-03,44.591287
1929-04-04,46.958959
1929-04-05,45.566895
1929-04-08,44.366334
1929-04-09,43.294247
1929-04-10,44.085259
1929-04-11,45.579668
1929-04-12,46.070750
1929-04-15,45.246425
1929-04-16,45.572196
1929-04-17,46.990646
1929-04-18,47.603086
1929-04-19,47.490768
1929-04-22,49.116786
1929-04-23,49.976805
1929-04-24,49.396801
1929-04-25,48.706200
1929-04-26,48.421151
1929-04-29,48.137216
1929-04-30,50.456399
1929-05-01,50.748162
1929-05-02,51.451105
1929-05-03,52.988136
1929-05-06,52.686718
1929-05-07,51.185387
1929-05-08,51.833306
1929-05-09,50.882964
1929-05-10,52.760274
1929-05-13,48.553869
1929-05-14,50.314996
1929-05-15,49.675149
1929-05-16,50.424885
1929-05-17,51.123887
1929-05-20,47.008890
1929-05-21,48.730767
1929-05-22,43.383653
1929-05-23,46.274724
1929-05-24,45.232591
1929-05-27,40.262768
1929-05-28,42.209353
1929-05-29,42.363844
1929-05-31,43.447885
1929-06-03,45.757643
1929-06-04,47.767569
1929-06-05,47.488122
1929-06-06,47.766477
1929-06-07,47.151705
1929-06-10,45.711111
1929-06-11,46.579386
1929-06-12,46.689289
1929-06-13,48.835709
1929-06-14,49.345990
1929-06-17,52.086374
1929-06-18,52.145542
1929-06-19,51.553425
1929-06-20,52.434845
1929-06-21,53.326267
1929-06-24,53.326267
1929-06-25,55.008981
1929-06-26,55.990553
1929-06-27,56.300929
1929-06-28,58.170007
1929-07-01,60.462007
1929-07-02,62.356201
1929-07-03,63.156215
1929-07-05,64.097503
1929-07-08,64.437010
1929-07-09,63.823756
1929-07-10,63.282112
1929-07-11,63.686037
1929-07-12,65.781858
1929-07-15,64.952973
1929-07-16,66.322799
1929-07-17,66.808933
1929-07-18,66.390218
1929-07-19,67.085163
1929-07-22,64.775904
1929-07-23,67.510023
1929-07-24,66.175274
1929-07-25,67.076411
1929-07-26,66.307022
1929-07-29,62.975479
1929-07-30,65.120844
1929-07-31,67.725672
1929-08-01,69.132721
1929-08-02,72.556071
1929-08-05,72.408809
1929-08-06,71.599905
1929-08-07,69.410297
1929-08-08,71.840731
1929-08-09,63.869261
1929-08-12,69.878111
1929-08-13,71.740256
1929-08-14,72.396196
1929-08-15,72.762815
1929-08-16,76.809275
1929-08-19,78.944284
1929-08-20,80.341988
1929-08-21,79.320683
1929-08-22,81.190120
1929-08-23,83.563323
1929-08-26,83.402052
1929-08-27,83.240989
1929-08-28,82.758436
1929-08-29,85.161885
1929-08-30,88.591208
1929-09-03,89.513165
1929-09-04,88.669229
1929-09-05,82.798955
1929-09-06,89.285136
1929-09-09,87.938707
1929-09-10,83.190519
1929-09-11,86.641190
