SP500 osnoven more padet 3.0% da kupimo 2x,in osnoven more padet 5.0% da kupimo 3x
Datum od kdaj do kdaj,Zacetna investicija,vse mesecne investicije,skupaj vse investicije,koliko smo v plusu oz minusu,koliko imamo vse skupaj
1927-12-30-1942-12-30,30000,72000.0,102000.0,-75568.05,26431.95
1928-01-03-1943-01-04,30000,72000.0,102000.0,-74170.88,27829.12
1929-01-02-1944-01-03,30000,72000.0,102000.0,-57728.59,44271.41
1930-01-02-1945-01-02,30000,72000.0,102000.0,-32498.05,69501.95
1931-01-02-1946-01-02,30000,72000.0,102000.0,48682.06,150682.06
1932-01-04-1947-01-06,30000,72000.0,102000.0,3067.17,105067.17
1933-01-03-1948-01-05,30000,72000.0,102000.0,10953.73,112953.73
1934-01-02-1949-01-03,30000,72000.0,102000.0,-7442.7,94557.3
1935-01-02-1950-01-03,30000,72000.0,102000.0,33463.4,135463.4
1936-01-02-1951-01-02,30000,72000.0,102000.0,112056.22,214056.22
1937-01-04-1952-01-04,30000,72000.0,102000.0,196787.92,298787.92
1938-01-03-1953-01-05,30000,72000.0,102000.0,388771.63,490771.63
1939-01-03-1954-01-04,30000,72000.0,102000.0,252866.12,354866.12
1940-01-02-1955-01-03,30000,72000.0,102000.0,991612.21,1093612.21
1941-01-02-1956-01-03,30000,72000.0,102000.0,2027234.26,2129234.26
1942-01-02-1957-01-02,30000,72000.0,102000.0,2728058.71,2830058.71
1943-01-04-1958-01-06,30000,72000.0,102000.0,1271721.18,1373721.18
1944-01-03-1959-01-05,30000,72000.0,102000.0,2158886.4,2260886.4
1945-01-02-1960-01-04,30000,72000.0,102000.0,2040556.24,2142556.24
1946-01-02-1961-01-03,30000,72000.0,102000.0,1157721.33,1259721.33
1947-01-02-1962-01-02,30000,72000.0,102000.0,2423549.89,2525549.89
1948-01-02-1963-01-02,30000,72000.0,102000.0,1461674.39,1563674.39
1949-01-03-1964-01-03,30000,72000.0,102000.0,2377051.06,2479051.06
1950-01-03-1965-01-04,30000,72000.0,102000.0,2453227.85,2555227.85
1951-01-02-1966-01-03,30000,72000.0,102000.0,1972964.94,2074964.94
1952-01-02-1967-01-03,30000,72000.0,102000.0,841426.16,943426.16
1953-01-02-1968-01-02,30000,72000.0,102000.0,1080724.1,1182724.1
1954-01-04-1969-01-06,30000,72000.0,102000.0,1377084.31,1479084.31
1955-01-03-1970-01-05,30000,72000.0,102000.0,380146.21,482146.21
1956-01-03-1971-01-04,30000,72000.0,102000.0,187964.25,289964.25
1957-01-02-1972-01-03,30000,72000.0,102000.0,251499.67,353499.67
1958-01-02-1973-01-02,30000,72000.0,102000.0,570587.36,672587.36
1959-01-02-1974-01-02,30000,72000.0,102000.0,100078.02,202078.02
1960-01-04-1975-01-06,30000,72000.0,102000.0,-28703.8,73296.2
1961-01-03-1976-01-05,30000,72000.0,102000.0,33904.71,135904.71
1962-01-02-1977-01-03,30000,72000.0,102000.0,46224.9,148224.9
1963-01-02-1978-01-03,30000,72000.0,102000.0,16324.95,118324.95
