SP500 osnoven more padet 5.0% da kupimo 2x,in osnoven more padet 7.000000000000001% da kupimo 3x
Datum od kdaj do kdaj,Zacetna investicija,vse mesecne investicije,skupaj vse investicije,koliko smo v plusu oz minusu,koliko imamo vse skupaj
1927-12-30-1942-12-30,30000,72000.0,102000.0,-75099.31,26900.69
1928-01-03-1943-01-04,30000,72000.0,102000.0,-73695.16,28304.84
1929-01-02-1944-01-03,30000,72000.0,102000.0,-57384.41,44615.59
1930-01-02-1945-01-02,30000,72000.0,102000.0,-32437.85,69562.15
1931-01-02-1946-01-02,30000,72000.0,102000.0,49549.24,151549.24
1932-01-04-1947-01-06,30000,72000.0,102000.0,5313.83,107313.83
1933-01-03-1948-01-05,30000,72000.0,102000.0,12495.61,114495.61
1934-01-02-1949-01-03,30000,72000.0,102000.0,-5722.65,96277.35
1935-01-02-1950-01-03,30000,72000.0,102000.0,35173.24,137173.24
1936-01-02-1951-01-02,30000,72000.0,102000.0,112590.49,214590.49
1937-01-04-1952-01-04,30000,72000.0,102000.0,196284.13,298284.13
1938-01-03-1953-01-05,30000,72000.0,102000.0,384001.43,486001.43
1939-01-03-1954-01-04,30000,72000.0,102000.0,246713.89,348713.89
1940-01-02-1955-01-03,30000,72000.0,102000.0,946677.92,1048677.92
1941-01-02-1956-01-03,30000,72000.0,102000.0,1926003.81,2028003.81
1942-01-02-1957-01-02,30000,72000.0,102000.0,2583112.58,2685112.58
1943-01-04-1958-01-06,30000,72000.0,102000.0,1223411.8,1325411.8
1944-01-03-1959-01-05,30000,72000.0,102000.0,2095984.2,2197984.2
1945-01-02-1960-01-04,30000,72000.0,102000.0,1988027.76,2090027.76
1946-01-02-1961-01-03,30000,72000.0,102000.0,1120467.08,1222467.08
1947-01-02-1962-01-02,30000,72000.0,102000.0,2233407.29,2335407.29
1948-01-02-1963-01-02,30000,72000.0,102000.0,1402513.76,1504513.76
1949-01-03-1964-01-03,30000,72000.0,102000.0,2265399.82,2367399.82
1950-01-03-1965-01-04,30000,72000.0,102000.0,2372483.98,2474483.98
1951-01-02-1966-01-03,30000,72000.0,102000.0,1877782.97,1979782.97
1952-01-02-1967-01-03,30000,72000.0,102000.0,801519.11,903519.11
1953-01-02-1968-01-02,30000,72000.0,102000.0,1037676.89,1139676.89
1954-01-04-1969-01-06,30000,72000.0,102000.0,1355345.87,1457345.87
1955-01-03-1970-01-05,30000,72000.0,102000.0,368707.28,470707.28
1956-01-03-1971-01-04,30000,72000.0,102000.0,180886.79,282886.79
1957-01-02-1972-01-03,30000,72000.0,102000.0,242923.79,344923.79
1958-01-02-1973-01-02,30000,72000.0,102000.0,557224.22,659224.22
1959-01-02-1974-01-02,30000,72000.0,102000.0,98158.11,200158.11
1960-01-04-1975-01-06,30000,72000.0,102000.0,-25415.03,76584.97
1961-01-03-1976-01-05,30000,72000.0,102000.0,35726.05,137726.05
1962-01-02-1977-01-03,30000,72000.0,102000.0,47088.24,149088.24
1963-01-02-1978-01-03,30000,72000.0,102000.0,18293.55,120293.55
1964-01-02-1979-01-02,30000,72000.0,102000.0,277.42,102277.42
1965-01-04-1980-01-04,30000,72000.0,102000.0,10874.6,112874.6
1966-01-03-1981-01-05,30000,72000.0,102000.0,94068.99,196068.99
1967-01-03-1982-01-04,30000,72000.0,102000.0,50138.35,152138.35
1968-01-02-1983-01-03,30000,72000.0,102000.0,64711.06,166711.06
1969-01-02-1984-01-03,30000,72000.0,102000.0,138738.92,240738.92
1970-01-02-1985-01-02,30000,72000.0,102000.0,150798.98,252798.98
1971-01-04-1986-01-06,30000,72000.0,102000.0,368476.98,470476.98
