SP500 osnoven more padet 3.0% da kupimo 2x,in osnoven more padet 7.000000000000001% da kupimo 3x
Datum od kdaj do kdaj,Zacetna investicija,vse mesecne investicije,skupaj vse investicije,koliko smo v plusu oz minusu,koliko imamo vse skupaj
1927-12-30-1942-12-30,30000,72000.0,102000.0,-75558.08,26441.92
1928-01-03-1943-01-04,30000,72000.0,102000.0,-74160.59,27839.41
1929-01-02-1944-01-03,30000,72000.0,102000.0,-57714.65,44285.35
1930-01-02-1945-01-02,30000,72000.0,102000.0,-32437.85,69562.15
1931-01-02-1946-01-02,30000,72000.0,102000.0,49271.89,151271.89
1932-01-04-1947-01-06,30000,72000.0,102000.0,4727.36,106727.36
1933-01-03-1948-01-05,30000,72000.0,102000.0,11875.86,113875.86
1934-01-02-1949-01-03,30000,72000.0,102000.0,-6510.85,95489.15
1935-01-02-1950-01-03,30000,72000.0,102000.0,34326.7,136326.7
1936-01-02-1951-01-02,30000,72000.0,102000.0,112277.86,214277.86
1937-01-04-1952-01-04,30000,72000.0,102000.0,196765.57,298765.57
1938-01-03-1953-01-05,30000,72000.0,102000.0,387468.33,489468.33
1939-01-03-1954-01-04,30000,72000.0,102000.0,251546.71,353546.71
1940-01-02-1955-01-03,30000,72000.0,102000.0,968426.26,1070426.26
1941-01-02-1956-01-03,30000,72000.0,102000.0,1967286.35,2069286.35
1942-01-02-1957-01-02,30000,72000.0,102000.0,2618709.56,2720709.56
1943-01-04-1958-01-06,30000,72000.0,102000.0,1243502.99,1345502.99
1944-01-03-1959-01-05,30000,72000.0,102000.0,2138525.45,2240525.45
1945-01-02-1960-01-04,30000,72000.0,102000.0,2014362.62,2116362.62
1946-01-02-1961-01-03,30000,72000.0,102000.0,1136625.92,1238625.92
1947-01-02-1962-01-02,30000,72000.0,102000.0,2286800.06,2388800.06
1948-01-02-1963-01-02,30000,72000.0,102000.0,1421393.15,1523393.15
1949-01-03-1964-01-03,30000,72000.0,102000.0,2302970.11,2404970.11
1950-01-03-1965-01-04,30000,72000.0,102000.0,2406054.4,2508054.4
1951-01-02-1966-01-03,30000,72000.0,102000.0,1908111.28,2010111.28
1952-01-02-1967-01-03,30000,72000.0,102000.0,812901.39,914901.39
1953-01-02-1968-01-02,30000,72000.0,102000.0,1046421.95,1148421.95
1954-01-04-1969-01-06,30000,72000.0,102000.0,1366145.41,1468145.41
1955-01-03-1970-01-05,30000,72000.0,102000.0,374050.31,476050.31
1956-01-03-1971-01-04,30000,72000.0,102000.0,185193.94,287193.94
1957-01-02-1972-01-03,30000,72000.0,102000.0,246522.11,348522.11
1958-01-02-1973-01-02,30000,72000.0,102000.0,563778.3,665778.3
1959-01-02-1974-01-02,30000,72000.0,102000.0,99159.9,201159.9
1960-01-04-1975-01-06,30000,72000.0,102000.0,-27298.74,74701.26
1961-01-03-1976-01-05,30000,72000.0,102000.0,35057.23,137057.23
1962-01-02-1977-01-03,30000,72000.0,102000.0,46933.63,148933.63
1963-01-02-1978-01-03,30000,72000.0,102000.0,17394.51,119394.51
1964-01-02-1979-01-02,30000,72000.0,102000.0,-683.84,101316.16
1965-01-04-1980-01-04,30000,72000.0,102000.0,10304.34,112304.34
1966-01-03-1981-01-05,30000,72000.0,102000.0,95279.49,197279.49
1967-01-03-1982-01-04,30000,72000.0,102000.0,50037.99,152037.99
1968-01-02-1983-01-03,30000,72000.0,102000.0,65132.7,167132.7
1969-01-02-1984-01-03,30000,72000.0,102000.0,139887.71,241887.71
1970-01-02-1985-01-02,30000,72000.0,102000.0,152521.36,254521.36
1971-01-04-1986-01-06,30000,72000.0,102000.0,373200.79,475200.79
