SP500 osnoven more padet 6.0% da kupimo 2x,in osnoven more padet 10.0% da kupimo 3x
Datum od kdaj do kdaj,Zacetna investicija,vse mesecne investicije,skupaj vse investicije,koliko smo v plusu oz minusu,koliko imamo vse skupaj
1927-12-30-1942-12-30,30000,72000.0,102000.0,-74956.43,27043.57
1928-01-03-1943-01-04,30000,72000.0,102000.0,-73549.72,28450.28
1929-01-02-1944-01-03,30000,72000.0,102000.0,-57244.01,44755.99
1930-01-02-1945-01-02,30000,72000.0,102000.0,-32252.03,69747.97
1931-01-02-1946-01-02,30000,72000.0,102000.0,50207.83,152207.83
1932-01-04-1947-01-06,30000,72000.0,102000.0,7955.3,109955.3
1933-01-03-1948-01-05,30000,72000.0,102000.0,14642.99,116642.99
1934-01-02-1949-01-03,30000,72000.0,102000.0,-4237.0,97763.0
1935-01-02-1950-01-03,30000,72000.0,102000.0,36427.36,138427.36
1936-01-02-1951-01-02,30000,72000.0,102000.0,113013.72,215013.72
1937-01-04-1952-01-04,30000,72000.0,102000.0,195667.83,297667.83
1938-01-03-1953-01-05,30000,72000.0,102000.0,376613.82,478613.82
1939-01-03-1954-01-04,30000,72000.0,102000.0,241660.16,343660.16
1940-01-02-1955-01-03,30000,72000.0,102000.0,909522.32,1011522.32
1941-01-02-1956-01-03,30000,72000.0,102000.0,1840015.97,1942015.97
1942-01-02-1957-01-02,30000,72000.0,102000.0,2480291.46,2582291.46
1943-01-04-1958-01-06,30000,72000.0,102000.0,1197766.83,1299766.83
1944-01-03-1959-01-05,30000,72000.0,102000.0,2057994.75,2159994.75
1945-01-02-1960-01-04,30000,72000.0,102000.0,1939956.47,2041956.47
1946-01-02-1961-01-03,30000,72000.0,102000.0,1080863.54,1182863.54
1947-01-02-1962-01-02,30000,72000.0,102000.0,2072748.75,2174748.75
1948-01-02-1963-01-02,30000,72000.0,102000.0,1320076.97,1422076.97
1949-01-03-1964-01-03,30000,72000.0,102000.0,2139350.65,2241350.65
1950-01-03-1965-01-04,30000,72000.0,102000.0,2278154.47,2380154.47
1951-01-02-1966-01-03,30000,72000.0,102000.0,1796650.03,1898650.03
1952-01-02-1967-01-03,30000,72000.0,102000.0,766476.31,868476.31
