date,A,B,C
1960-01-04,10003.0,10007.0,10010.0
1960-01-05,10083.02,10167.11,10250.24
1960-01-06,10039.67,10079.67,10118.01
1960-01-07,9966.38,9932.51,9895.42
1960-01-08,9934.49,9868.94,9801.41
1960-01-11,9812.29,9627.15,9440.72
1960-01-12,9752.44,9508.74,9267.01
1960-01-13,9697.82,9401.29,9110.4
1960-01-14,9751.16,9504.71,9260.72
1960-01-15,9748.23,9498.05,9251.46
1960-01-18,9666.35,9338.49,9018.32
1960-01-19,9562.92,9138.64,8728.83
1960-01-20,9529.45,9074.67,8637.18
1960-01-21,9553.27,9119.14,8701.09
1960-01-22,9581.93,9172.94,8778.53
1960-01-25,9481.32,8981.23,8502.89
1960-01-26,9494.6,9006.37,8538.6
1960-01-27,9470.86,8962.24,8475.41
1960-01-28,9372.36,8775.83,8210.98
1960-01-29,9285.2,8613.47,7982.72
1960-02-01,9444.33,8823.26,8235.48
1960-02-02,9589.77,9094.14,8615.14
1960-02-03,9505.38,8934.08,8387.7
1960-02-04,9496.82,8918.0,8365.05
1960-02-05,9447.44,8826.14,8235.39
1960-02-08,9335.96,8617.85,7943.86
1960-02-09,9423.72,8779.86,8167.87
1960-02-10,9364.35,8670.11,8014.32
1960-02-11,9311.91,8573.01,7879.68
1960-02-12,9359.4,8659.6,7999.45
1960-02-15,9310.73,8568.67,7873.86
1960-02-16,9236.25,8431.57,7685.67
1960-02-17,9287.05,8524.32,7811.72
1960-02-18,9417.06,8763.0,8139.81
1960-02-19,9491.46,8901.46,8332.72
1960-02-23,9441.15,8806.21,8199.4
1960-02-24,9407.17,8742.81,8111.67
1960-02-25,9439.15,8802.26,8194.4
1960-02-26,9477.85,8874.44,8295.2
1960-02-29,9471.22,8862.01,8277.78
1960-03-01,9552.07,8927.06,8328.35
1960-03-02,9485.21,8802.97,8154.28
1960-03-03,9341.98,8537.12,7784.9
1960-03-04,9306.48,8471.39,7695.37
1960-03-07,9212.49,8300.27,7462.97
1960-03-08,9118.52,8130.94,7235.35
1960-03-09,9216.09,8304.13,7466.88
1960-03-10,9180.15,8239.36,7379.52
1960-03-11,9249.91,8364.6,7547.77
1960-03-14,9263.79,8388.85,7580.98
1960-03-15,9335.12,8518.88,7756.86
1960-03-16,9386.46,8612.59,7884.07
1960-03-17,9372.38,8587.61,7849.38
1960-03-18,9380.82,8603.07,7870.58
1960-03-21,9391.14,8622.0,7896.55
1960-03-22,9428.7,8690.97,7991.31
1960-03-23,9505.08,8832.63,8186.29
1960-03-24,9545.95,8908.59,8291.9
1960-03-25,9545.95,8908.59,8291.9
1960-03-28,9525.9,8870.29,8238.83
1960-03-29,9512.56,8844.56,8203.4
1960-03-30,9491.64,8806.53,8150.08
1960-03-31,9437.53,8705.26,8009.9
1960-04-01,9552.79,8834.31,8149.64
1960-04-04,9571.9,8869.65,8198.54
1960-04-05,9542.23,8815.55,8123.11
1960-04-06,9738.8,9178.75,8625.12
1960-04-07,9740.74,9182.42,8629.43
1960-04-08,9718.34,9140.18,8569.89
1960-04-11,9680.44,9068.89,8469.62
1960-04-12,9702.7,9110.6,8528.06
1960-04-13,9702.7,9110.6,8528.06
1960-04-14,9725.02,9152.51,8586.9
1960-04-18,9752.25,9204.68,8659.89
1960-04-19,9673.26,9054.65,8448.59
1960-04-20,9554.28,8831.9,8136.84
1960-04-21,9580.07,8879.59,8202.75
1960-04-22,9550.37,8825.43,8127.28
1960-04-25,9453.92,8647.15,7881.02
1960-04-26,9485.11,8704.23,7958.26
1960-04-27,9485.11,8704.23,7958.26
1960-04-28,9402.59,8552.77,7749.75
1960-04-29,9369.68,8492.9,7669.15
1960-05-02,9428.02,8517.28,7666.6
1960-05-03,9549.64,8737.88,7964.07
1960-05-04,9585.93,8805.16,8055.65
1960-05-05,9554.29,8747.93,7976.71
1960-05-06,9535.19,8712.94,7928.85
1960-05-09,9543.77,8728.62,7950.25
1960-05-10,9477.92,8607.29,7784.89
1960-05-11,9504.45,8654.63,7849.5
1960-05-12,9552.93,8743.78,7970.39
1960-05-13,9631.26,8887.18,8166.46
1960-05-16,9622.59,8871.18,8144.41
1960-05-17,9659.16,8938.6,8237.25
1960-05-18,9655.29,8932.34,8228.19
1960-05-19,9696.81,9010.05,8335.16
1960-05-20,9705.54,9026.27,8357.66
1960-05-23,9710.39,9036.2,8371.04
1960-05-24,9699.71,9016.32,8344.25
1960-05-25,9694.86,9006.4,8330.9
1960-05-26,9701.65,9019.01,8349.23
1960-05-27,9706.5,9028.93,8362.59
1960-05-31,9722.03,9057.83,8402.73
1960-06-01,9832.83,9177.06,8529.93
1960-06-02,9875.11,9255.98,8639.97
1960-06-03,9892.89,9289.3,8685.76
1960-06-06,10008.64,9507.6,8991.5
1960-06-07,10103.72,9688.24,9247.76
1960-06-08,10184.55,9843.26,9469.71
1960-06-09,10203.9,9880.66,9523.68
1960-06-10,10198.8,9870.78,9508.45
1960-06-13,10201.86,9877.69,9517.95
1960-06-14,10187.57,9850.03,9478.93
1960-06-15,10127.47,9734.79,9312.1
1960-06-16,10115.31,9711.42,9278.58
1960-06-17,10105.2,9691.03,9249.81
1960-06-20,10055.68,9597.03,9114.77
1960-06-21,10046.63,9580.71,9091.07
1960-06-22,10076.77,9638.2,9171.98
1960-06-23,10131.19,9742.29,9320.56
1960-06-24,10147.4,9772.49,9364.37
1960-06-27,10085.5,9654.24,9193.94
1960-06-28,10016.92,9522.94,9006.38
1960-06-29,10016.92,9522.94,9006.38
1960-06-30,10012.91,9516.28,8996.48
1960-07-01,10138.19,9663.4,9163.79
1960-07-05,10131.1,9649.87,9144.55
1960-07-06,10116.91,9622.85,9106.14
1960-07-07,10170.53,9723.89,9250.02
1960-07-08,10194.94,9771.54,9317.54
1960-07-11,10104.21,9597.6,9068.76
1960-07-12,9994.07,9388.38,8772.21
1960-07-13,9967.09,9338.62,8702.04
1960-07-14,9971.07,9345.15,8711.61
1960-07-15,9959.11,9321.79,8679.38
1960-07-18,9897.36,9205.27,8517.07
1960-07-19,9897.36,9205.27,8517.07
1960-07-20,9881.53,9175.81,8476.19
1960-07-21,9790.62,9007.89,8243.09
1960-07-22,9723.06,8883.59,8072.46
1960-07-25,9626.8,8708.58,7833.52
1960-07-26,9685.52,8814.82,7976.87
1960-07-27,9625.47,8704.64,7827.7
1960-07-28,9696.7,8833.47,8001.48
1960-07-29,9863.49,9138.22,8415.15
1960-08-01,9967.47,9244.69,8524.52
1960-08-02,9879.76,9081.98,8298.62
1960-08-03,9822.46,8976.63,8154.23
1960-08-04,9852.91,9032.29,8230.06
1960-08-05,9951.43,9212.93,8477.78
1960-08-08,9965.37,9239.65,8514.24
1960-08-09,10023.17,9345.9,8661.54
1960-08-10,10064.26,9422.54,8768.94
1960-08-11,10101.5,9493.21,8867.15
1960-08-12,10170.19,9621.37,9047.15
1960-08-15,10161.04,9604.05,9023.63
1960-08-16,10180.34,9641.51,9075.97
1960-08-17,10201.72,9682.0,9133.15
1960-08-18,10196.62,9671.35,9118.53
1960-08-19,10232.31,9739.05,9215.19
1960-08-22,10265.05,9800.41,9302.73
1960-08-23,10365.65,9992.49,9576.24
1960-08-24,10422.66,10103.41,9735.2
1960-08-25,10372.63,10006.42,9594.04
1960-08-26,10338.4,9940.38,9499.06
1960-08-29,10309.45,9884.71,9420.22
1960-08-30,10202.23,9678.12,9125.36
1960-08-31,10223.66,9718.77,9182.85
1960-09-01,10347.4,9863.93,9345.98
1960-09-02,10330.85,9832.37,9302.05
1960-09-06,10238.9,9656.37,9052.76
1960-09-07,10111.94,9416.89,8715.99
1960-09-08,10102.84,9399.94,8692.46
1960-09-09,10169.52,9524.96,8865.44
1960-09-12,10098.33,9392.56,8680.15
1960-09-13,10118.53,9429.19,8731.37
1960-09-14,10047.7,9297.19,8548.01
1960-09-15,10007.51,9223.74,8446.29
1960-09-16,9987.49,9186.84,8395.61
1960-09-19,9760.78,8769.76,7824.71
1960-09-20,9788.11,8818.87,7890.43
1960-09-21,9889.9,9001.42,8135.83
1960-09-22,9852.32,8932.11,8042.26
1960-09-23,9768.58,8781.16,7837.99
1960-09-26,9616.19,8507.19,7471.17
1960-09-27,9594.07,8468.9,7420.37
1960-09-28,9510.6,8321.54,7226.7
1960-09-29,9536.28,8365.65,7284.51
1960-09-30,9699.35,8651.75,7658.21
1960-10-03,9769.95,8699.24,7688.38
1960-10-04,9702.54,8578.32,7528.46
1960-10-05,9775.31,8707.86,7698.61
1960-10-06,9835.92,8815.83,7841.03
1960-10-07,9892.96,8917.22,7976.68
1960-10-10,9912.75,8953.78,8025.34
1960-10-11,9927.62,8980.64,8060.65
1960-10-12,9914.71,8957.29,8029.21
1960-10-13,9992.05,9096.13,8216.3
1960-10-14,10045.01,9192.54,8346.93
1960-10-17,10002.82,9115.33,8241.76
1960-10-18,9951.8,9021.44,8114.84
1960-10-19,9933.89,8988.06,8070.21
1960-10-20,9862.37,8858.63,7895.89
1960-10-21,9836.72,8812.57,7834.3
1960-10-24,9649.83,8477.69,7387.75
1960-10-25,9558.15,8316.61,7177.2
1960-10-26,9713.95,8587.74,7528.16
1960-10-27,9817.89,8772.37,7770.57
1960-10-28,9779.6,8703.95,7679.65
1960-10-31,9775.69,8697.85,7671.21
1960-11-01,9977.41,8979.09,8011.34
1960-11-02,10029.29,9072.47,8136.31
1960-11-03,10068.4,9142.33,8230.69
1960-11-04,10154.99,9300.49,8443.87
1960-11-07,10193.58,9372.11,8540.97
1960-11-09,10238.43,9453.64,8652.86
1960-11-10,10438.08,9822.34,9159.05
1960-11-11,10334.75,9627.85,8886.11
1960-11-14,10283.07,9531.58,8752.82
1960-11-15,10324.2,9606.87,8856.98
1960-11-16,10303.56,9569.41,8804.72
1960-11-17,10275.74,9517.73,8733.41
1960-11-18,10326.09,9610.06,8860.91
1960-11-21,10346.74,9647.53,8913.19
1960-11-22,10307.42,9575.18,8812.47
1960-11-23,10321.85,9602.95,8850.37
1960-11-25,10382.75,9716.26,9007.02
1960-11-28,10364.06,9681.28,8959.28
1960-11-29,10326.75,9612.55,8863.42
1960-11-30,10273.05,9512.57,8725.15
1960-12-01,10328.45,9529.91,8710.42
1960-12-02,10344.97,9561.36,8753.1
1960-12-05,10330.49,9533.63,8715.46
1960-12-06,10360.45,9588.92,8791.29
1960-12-07,10463.02,9778.78,9052.39
1960-12-08,10487.08,9823.77,9115.76
1960-12-09,10580.42,9998.63,9359.15
1960-12-12,10617.45,10069.62,9458.35
1960-12-13,10622.76,10080.7,9473.49
1960-12-14,10615.32,10066.58,9453.59
1960-12-15,10585.6,10010.21,9374.18
1960-12-16,10682.99,10193.4,9631.97
1960-12-19,10670.17,10168.93,9596.33
1960-12-20,10662.7,10154.7,9576.18
1960-12-21,10749.07,10318.19,9807.93
1960-12-22,10718.97,10260.4,9726.52
1960-12-23,10728.62,10277.85,9751.81
1960-12-27,10743.64,10306.63,9792.77
1960-12-28,10791.98,10399.38,9925.95
1960-12-29,10842.7,10496.1,10064.91
1960-12-30,10853.55,10518.14,10096.11
1961-01-03,10851.68,10420.64,9911.64
1961-01-04,11000.35,10706.17,10320.0
1961-01-05,11039.95,10783.25,10431.46
1961-01-06,11007.93,10720.71,10340.7
1961-01-09,11084.99,10870.8,10558.89
1961-01-10,11114.92,10929.5,10645.47
1961-01-11,11147.15,10992.89,10737.03
1961-01-12,11180.59,11059.95,10834.73
1961-01-13,11233.14,11163.91,10988.59
1961-01-16,11229.77,11156.1,10977.6
1961-01-17,11241.0,11178.41,11010.53
1961-01-18,11248.87,11192.94,11032.55
1961-01-19,11265.74,11226.52,11082.2
1961-01-20,11301.79,11298.37,11187.48
1961-01-23,11363.95,11422.65,11372.07
1961-01-24,11394.64,11483.19,11463.05
1961-01-25,11409.45,11513.05,11508.9
1961-01-26,11426.56,11547.59,11560.69
1961-01-27,11543.11,11784.32,11915.6
1961-01-30,11680.48,12064.78,12342.18
1961-01-31,11644.27,11991.19,12228.63
1961-02-01,11766.58,12138.34,12400.14
1961-02-02,11843.06,12294.93,12640.7
1961-02-03,11827.67,12262.96,12591.4
1961-02-06,11740.14,12081.47,12311.88
1961-02-07,11719.01,12037.98,12246.62
1961-02-08,11825.65,12257.07,12580.96
1961-02-09,11789.0,12182.3,12465.21
1961-02-10,11689.97,11977.64,12151.09
1961-02-13,11621.0,11837.5,11937.23
1961-02-14,11672.13,11941.67,12094.8
1961-02-15,11769.01,12139.9,12395.96
1961-02-16,11840.8,12289.22,12624.05
1961-02-17,11802.91,12210.57,12502.86
1961-02-20,11844.22,12297.26,12635.39
1961-02-21,11851.32,12313.25,12659.39
1961-02-23,11895.17,12404.37,12799.91
1961-02-24,11942.76,12503.6,12953.51
1961-02-27,12029.94,12686.16,13238.49
1961-02-28,12056.4,12741.97,13325.86
1961-03-01,12153.97,12838.12,13419.15
1961-03-02,12234.19,13007.59,13686.19
1961-03-03,12253.76,13047.91,13750.52
1961-03-06,12273.37,13088.36,13815.14
1961-03-07,12161.68,12851.46,13439.37
1961-03-08,12155.6,12839.89,13420.56
1961-03-09,12166.54,12864.29,13458.13
1961-03-10,12162.89,12856.57,13446.02
1961-03-13,12196.95,12929.85,13560.31
1961-03-14,12143.28,12816.07,13381.32
1961-03-15,12179.71,12892.97,13501.75
1961-03-16,12302.73,13152.11,13909.5
1961-03-17,12262.13,13066.63,13773.19
1961-03-20,12426.44,13418.12,14328.25
1961-03-21,12402.83,13368.47,14248.01
1961-03-22,12395.39,13352.43,14220.94
1961-03-23,12363.16,13281.66,14108.59
1961-03-24,12342.14,13236.5,14036.64
1961-03-27,12328.56,13207.38,13990.32
1961-03-28,12334.73,13219.27,14009.9
1961-03-29,12439.57,13445.32,14368.56
1961-03-30,12464.45,13499.1,14454.77
1961-04-03,12668.74,13824.84,14917.18
1961-04-04,12680.14,13849.73,14957.46
1961-04-05,12642.1,13765.25,14821.35
1961-04-06,12671.18,13828.57,14923.61
1961-04-07,12738.33,13976.53,15162.39
1961-04-10,12847.88,14218.33,15555.1
1961-04-11,12865.87,14256.72,15618.87
1961-04-12,12805.4,14124.13,15400.21
1961-04-13,12795.16,14102.94,15364.79
1961-04-14,12816.91,14149.48,15441.61
1961-04-17,13262.94,15134.29,17053.72
1961-04-18,12784.14,14041.59,15206.8
1961-04-19,12708.72,13875.9,14937.64
1961-04-20,12711.26,13880.06,14945.11
1961-04-21,12701.09,13859.24,14910.73
1961-04-24,12436.91,13281.31,13978.81
1961-04-25,12611.03,13653.19,14564.53
1961-04-26,12658.95,13758.32,14732.02
1961-04-27,12641.22,13721.17,14671.62
1961-04-28,12612.15,13658.05,14570.38
1961-05-01,12685.45,13698.89,14576.49
1961-05-02,12776.79,13896.16,14891.34
1961-05-03,12881.56,14125.44,15259.16
1961-05-04,12931.8,14237.04,15439.22
1961-05-05,12947.32,14271.2,15494.8
1961-05-08,12925.31,14224.11,15417.32
1961-05-09,12936.94,14249.71,15458.95
1961-05-10,12925.29,14224.06,15417.21
1961-05-11,12921.42,14215.53,15403.34
1961-05-12,12943.38,14262.44,15480.35
1961-05-15,13008.1,14403.64,15711.01
1961-05-16,13056.23,14511.67,15886.97
1961-05-17,13116.29,14645.17,16107.8
1961-05-18,13038.9,14470.89,15821.08
1961-05-19,13093.67,14592.45,16018.85
1961-05-22,13012.49,14410.04,15719.3
1961-05-23,12979.95,14336.55,15599.83
1961-05-24,12898.18,14155.91,15304.99
1961-05-25,12849.17,14049.74,15132.05
1961-05-26,12931.4,14228.18,15421.07
1961-05-31,12957.26,14283.67,15512.05
1961-06-01,13057.26,14383.67,15612.05
1961-06-02,13091.21,14457.02,15732.26
1961-06-05,13159.29,14608.82,15979.26
1961-06-06,13122.44,14525.55,15843.44
1961-06-07,12877.05,13982.29,14954.62
1961-06-08,13079.22,14421.34,15658.98
1961-06-09,13077.91,14417.01,15652.72
1961-06-12,12977.21,14196.43,15292.71
1961-06-13,12908.44,14045.95,15049.55
1961-06-14,12943.29,14123.2,15172.96
1961-06-15,12886.34,13998.92,14972.68
1961-06-16,12785.82,13781.94,14623.81
1961-06-19,12668.19,13528.35,14220.2
1961-06-20,12779.67,13767.8,14597.03
1961-06-21,12777.12,13763.67,14589.73
1961-06-22,12729.84,13661.82,14427.79
1961-06-23,12780.76,13771.11,14600.92
1961-06-26,12645.29,13479.16,14136.61
1961-06-27,12645.29,13479.16,14136.61
1961-06-28,12669.31,13529.04,14215.78
1961-06-29,12655.38,13499.27,14168.86
1961-06-30,12679.42,13549.22,14248.21
1961-07-03,12891.88,13889.45,14728.44
1961-07-05,12974.39,14068.62,15012.7
1961-07-06,13009.42,14146.0,15135.8
1961-07-07,13001.61,14129.02,15108.56
1961-07-10,12989.91,14103.59,15067.76
1961-07-11,12986.02,14095.13,15054.2
1961-07-12,12913.29,13935.85,14799.79
1961-07-13,12822.9,13739.36,14487.51
1961-07-14,12906.25,13917.97,14768.57
1961-07-17,12809.45,13709.2,14436.27
1961-07-18,12733.88,13548.8,14182.2
1961-07-19,12791.18,13670.74,14373.66
1961-07-20,12793.74,13674.84,14380.84
1961-07-21,12823.16,13737.75,14481.51
1961-07-24,12825.73,13741.87,14488.75
1961-07-25,12896.27,13894.4,14729.26
1961-07-26,13017.49,14154.23,15143.15
1961-07-27,13169.8,14485.44,15674.68
1961-07-28,13189.55,14528.89,15745.22
1961-07-31,13198.79,14550.69,15779.86
1961-08-01,13419.81,14918.8,16314.96
1961-08-02,13333.92,14727.84,16003.35
1961-08-03,13403.25,14882.48,16254.6
1961-08-04,13480.99,15055.11,16537.43
1961-08-07,13479.65,15050.6,16530.82
1961-08-08,13509.3,15116.82,16641.57
1961-08-09,13493.09,15080.54,16583.33
1961-08-10,13534.92,15174.04,16737.55
1961-08-11,13556.57,15222.6,16819.57
1961-08-14,13488.79,15070.37,16567.27
1961-08-15,13455.07,14995.02,16443.02
1961-08-16,13491.4,15074.49,16574.56
1961-08-17,13566.95,15243.33,16853.01
1961-08-18,13602.22,15324.12,16986.15
1961-08-21,13630.79,15386.94,17091.47
1961-08-22,13632.15,15391.56,17098.3
1961-08-23,13540.82,15185.31,16752.92
1961-08-24,13463.63,15010.68,16464.77
1961-08-25,13479.79,15046.71,16524.04
1961-08-28,13485.18,15060.25,16545.52
1961-08-29,13455.51,14993.99,16436.32
1961-08-30,13506.65,15109.44,16625.34
1961-08-31,13557.97,15225.78,16816.53
1961-09-01,13682.55,15379.42,17006.19
1961-09-05,13636.03,15276.38,16834.43
1961-09-06,13736.94,15500.94,17206.47
1961-09-07,13714.96,15451.34,17123.88
1961-09-08,13620.33,15238.11,16771.12
1961-09-11,13500.47,14968.4,16326.69
1961-09-12,13636.82,15270.76,16821.39
1961-09-13,13646.37,15293.66,16858.39
1961-09-14,13549.48,15078.02,16501.0
1961-09-15,13573.87,15132.3,16588.45
1961-09-18,13485.64,14935.58,16264.98
1961-09-19,13259.08,14433.75,15445.22
1961-09-20,13435.43,14817.69,16063.03
1961-09-21,13440.8,14831.02,16083.91
1961-09-22,13387.04,14710.89,15889.3
1961-09-25,13196.94,14291.63,15210.82
1961-09-26,13199.58,14295.92,15218.43
1961-09-27,13338.18,14596.13,15697.81
1961-09-28,13360.85,14644.3,15776.3
1961-09-29,13391.58,14710.2,15883.58
1961-10-02,13499.68,14827.97,16012.35
1961-10-03,13491.58,14810.18,15983.53
1961-10-04,13581.97,15010.12,16306.39
1961-10-05,13701.49,15274.29,16735.25
1961-10-06,13539.81,14913.82,16142.82
1961-10-09,13736.14,15346.32,16845.04
1961-10-10,13770.48,15423.05,16971.37
1961-10-11,13782.88,15450.81,17015.5
1961-10-12,13781.5,15446.18,17008.69
1961-10-13,13756.69,15392.12,16918.55
1961-10-16,13718.17,15305.92,16776.43
1961-10-17,13722.29,15315.1,16791.53
1961-10-18,13790.9,15468.26,17043.4
1961-10-19,13839.17,15576.53,17224.06
1961-10-20,13747.83,15372.48,16884.75
1961-10-23,13760.2,15400.15,16928.65
1961-10-24,13743.69,15363.19,16869.4
1961-10-25,13816.53,15526.04,17137.62
1961-10-26,13841.4,15580.38,17228.45
1961-10-27,13816.49,15525.85,17137.14
1961-10-30,13833.07,15561.56,17197.12
1961-10-31,13873.18,15651.82,17348.46
1961-11-01,13995.54,15802.22,17532.21
1961-11-02,14072.51,15977.63,17823.24
