date,A,B,C
2000-01-03,990.5,980.9,971.4
2000-01-04,952.56,905.66,859.69
2000-01-05,954.37,909.11,864.68
2000-01-06,955.33,910.83,867.18
2000-01-07,981.22,960.2,937.68
2000-01-10,992.21,981.71,969.19
2000-01-11,979.21,956.09,931.2
2000-01-12,974.9,947.67,918.91
2000-01-13,986.79,970.7,952.45
2000-01-14,997.35,991.38,982.93
2000-01-18,990.57,977.8,962.78
2000-01-19,991.07,978.77,964.32
2000-01-20,984.03,964.88,943.78
2000-01-21,981.18,959.28,935.56
2000-01-24,954.1,906.23,858.01
2000-01-25,959.92,917.2,873.62
2000-01-26,955.88,909.49,862.61
2000-01-27,952.16,902.31,852.44
2000-01-28,925.97,852.77,782.2
2000-01-31,949.31,895.75,841.41
2000-02-01,1060.43,1016.96,971.44
2000-02-02,1060.32,1016.76,971.15
2000-02-03,1072.2,1039.63,1003.87
2000-02-04,1071.77,1038.8,1002.57
2000-02-07,1071.66,1038.59,1002.27
2000-02-08,1084.84,1064.04,1039.15
2000-02-09,1062.28,1019.77,974.31
2000-02-10,1066.1,1027.22,984.93
2000-02-11,1043.72,984.18,922.98
2000-02-14,1045.8,988.21,928.61
2000-02-15,1054.9,1005.41,952.84
2000-02-16,1044.04,984.8,923.5
2000-02-17,1044.45,985.68,924.7
2000-02-18,1012.7,925.75,840.46
2000-02-22,1017.26,934.09,851.89
2000-02-23,1023.67,945.86,867.99
2000-02-24,1018.24,935.74,854.1
2000-02-25,1003.17,907.94,816.09
2000-02-28,1014.21,927.92,843.11
2000-02-29,1028.0,953.25,877.59
2000-03-01,1138.49,1072.95,1004.96
2000-03-02,1140.65,1076.92,1010.59
2000-03-03,1163.24,1119.67,1070.72
2000-03-06,1148.47,1091.23,1029.92
2000-03-07,1119.07,1035.25,950.72
2000-03-08,1128.24,1052.12,974.02
2000-03-09,1157.12,1105.99,1048.82
2000-03-10,1151.69,1095.6,1033.93
2000-03-13,1142.24,1077.63,1008.49
2000-03-14,1122.02,1039.48,954.94
2000-03-15,1149.29,1089.9,1024.46
2000-03-16,1204.0,1193.76,1170.86
2000-03-17,1208.93,1203.55,1185.26
2000-03-20,1202.4,1190.67,1166.18
2000-03-21,1233.19,1251.52,1255.62
2000-03-22,1238.73,1262.91,1272.7
2000-03-23,1260.78,1307.87,1340.66
2000-03-24,1260.91,1308.0,1340.93
2000-03-27,1257.88,1301.85,1331.41
2000-03-28,1244.55,1274.25,1289.07
2000-03-29,1245.17,1275.52,1291.13
2000-03-30,1228.11,1240.7,1238.19
2000-03-31,1236.96,1258.44,1264.82
2000-04-03,1343.51,1371.89,1385.01
2000-04-04,1333.43,1351.45,1353.99
2000-04-05,1326.9,1338.21,1333.95
2000-04-06,1339.37,1363.37,1371.57
2000-04-07,1352.76,1390.63,1412.72
2000-04-10,1342.21,1368.8,1379.52
2000-04-11,1338.72,1361.82,1368.89
2000-04-12,1308.87,1301.22,1277.45
2000-04-13,1285.05,1253.98,1207.83
2000-04-14,1210.13,1107.77,996.7
2000-04-17,1250.18,1181.1,1095.68
2000-04-18,1286.07,1248.78,1189.9
2000-04-19,1273.46,1224.31,1154.92
2000-04-20,1279.83,1236.43,1172.13
2000-04-24,1275.61,1228.39,1160.64
2000-04-25,1318.08,1310.2,1276.47
2000-04-26,1303.45,1280.98,1233.84
2000-04-27,1306.97,1287.9,1243.83
2000-04-28,1295.86,1265.88,1211.99
2000-05-01,1411.08,1395.65,1354.89
2000-05-02,1389.91,1353.92,1294.06
2000-05-03,1359.89,1295.57,1210.33
2000-05-04,1354.59,1285.46,1196.17
2000-05-05,1376.8,1327.5,1254.9
2000-05-08,1368.68,1311.83,1232.69
2000-05-09,1357.18,1289.66,1201.51
2000-05-10,1329.22,1236.53,1127.25
2000-05-11,1353.02,1280.8,1187.79
2000-05-12,1365.6,1304.75,1221.04
2000-05-15,1395.78,1362.42,1302.0
2000-05-16,1408.9,1388.03,1338.85
2000-05-17,1391.43,1353.47,1288.91
2000-05-18,1381.27,1333.71,1260.68
2000-05-19,1352.13,1277.56,1181.0
2000-05-22,1346.18,1266.19,1165.3
2000-05-23,1320.33,1217.57,1098.29
2000-05-24,1344.49,1262.25,1158.7
2000-05-25,1327.69,1230.57,1115.13
2000-05-26,1324.37,1224.29,1106.66
2000-05-30,1367.01,1303.26,1213.67
2000-05-31,1365.23,1299.87,1208.94
2000-06-01,1494.39,1455.45,1386.95
2000-06-02,1523.68,1512.65,1468.64
2000-06-05,1513.78,1492.98,1439.86
2000-06-06,1503.64,1473.13,1411.06
2000-06-07,1517.62,1500.38,1450.29
2000-06-08,1507.6,1480.57,1421.57
2000-06-09,1502.78,1470.95,1407.78
