date,A,B,C
1963-01-02,29805.0,29610.0,29415.0
1963-01-03,30293.8,30584.17,30865.16
1963-01-04,30487.68,30978.7,31460.86
1963-01-07,30481.58,30969.41,31445.13
1963-01-08,30777.26,31567.12,32357.04
1963-01-09,30706.47,31421.91,32130.54
1963-01-10,30764.81,31538.17,32310.47
1963-01-11,30832.49,31673.79,32520.49
1963-01-14,30998.99,32015.86,33047.32
1963-01-15,30955.59,31926.22,32911.82
1963-01-16,30745.09,31495.22,32243.71
1963-01-17,30963.38,31942.45,32930.5
1963-01-18,30988.15,31990.36,33006.24
1963-01-21,31034.64,32089.53,33158.07
1963-01-22,31112.22,32246.77,33403.44
1963-01-23,31199.34,32424.13,33680.69
1963-01-24,31261.73,32553.82,33879.41
1963-01-25,31343.02,32723.1,34143.67
1963-01-28,31496.6,33040.52,34642.16
1963-01-29,31490.3,33030.61,34624.84
1963-01-30,31310.8,32650.75,34029.3
1963-01-31,31476.75,32996.85,34570.36
1963-02-01,31930.94,33507.06,35145.21
1963-02-04,31863.88,33366.33,34923.8
1963-02-05,31835.21,33306.27,34829.5
1963-02-06,31975.28,33599.37,35289.25
1963-02-07,31863.37,33367.53,34922.25
1963-02-08,31863.37,33367.53,34922.25
1963-02-11,31665.82,32953.77,34272.69
1963-02-12,31700.65,33022.98,34382.36
1963-02-13,31855.98,33343.3,34884.35
1963-02-14,31951.55,33543.36,35201.79
1963-02-15,31980.31,33603.74,35296.84
1963-02-18,32034.67,33714.63,35473.32
1963-02-19,31880.91,33390.97,34962.51
1963-02-20,31702.37,33016.99,34375.14
1963-02-21,31746.76,33106.14,34516.08
1963-02-25,31524.53,32642.65,33794.69
1963-02-26,31530.83,32652.44,33811.59
1963-02-27,31310.12,32192.04,33098.16
1963-02-28,30962.58,31477.38,31999.3
1963-03-01,31268.49,31689.3,32110.95
1963-03-04,31571.79,32300.91,33042.17
1963-03-05,31581.26,32320.29,33071.91
1963-03-06,31634.95,32430.18,33240.57
1963-03-07,31834.25,32838.8,33872.14
1963-03-08,31869.27,32907.76,33980.53
1963-03-11,31958.5,33088.75,34262.57
1963-03-12,32035.2,33250.89,34512.69
1963-03-13,32153.73,33493.62,34892.33
1963-03-14,32002.61,33178.78,34400.35
1963-03-15,32162.62,33513.88,34919.79
1963-03-18,32005.03,33188.8,34409.96
1963-03-19,31937.82,33046.09,34189.74
1963-03-20,32170.96,33531.87,34941.91
1963-03-21,32122.71,33431.27,34784.67
1963-03-22,32289.75,33775.61,35323.84
1963-03-25,32299.43,33795.88,35355.63
1963-03-26,32393.1,33988.51,35659.69
1963-03-27,32529.15,34274.02,36112.57
1963-03-28,32480.36,34171.19,35950.06
1963-03-29,32473.86,34160.94,35932.08
1963-04-01,33011.93,34851.26,36789.87
1963-04-02,33008.63,34840.8,36775.15
1963-04-03,33266.1,35384.32,37632.01
1963-04-04,33508.94,35897.39,38452.39
1963-04-05,33720.05,36353.29,39182.99
1963-04-08,33838.07,36607.76,39594.41
1963-04-09,33804.23,36534.54,39471.66
1963-04-10,33726.48,36362.83,39195.36
1963-04-11,33962.56,36875.55,40022.39
1963-04-15,34122.19,37218.49,40582.7
1963-04-16,34146.07,37270.6,40671.98
1963-04-17,34036.81,37032.06,40285.6
1963-04-18,34023.19,36998.73,40233.23
1963-04-19,34189.91,37365.02,40828.68
1963-04-22,34224.1,37439.75,40951.16
1963-04-23,34337.04,37686.85,41360.68
1963-04-24,34429.75,37894.13,41699.83
1963-04-25,34450.4,37935.82,41770.72
