date,A,B,C
1931-01-02,20664.0,21330.0,21994.0
1931-01-05,20767.32,21545.43,22326.11
1931-01-06,21028.99,22086.22,23167.8
1931-01-07,19672.62,19237.1,18687.15
1931-01-08,21157.9,22143.83,22921.66
1931-01-09,20948.44,21707.59,22243.18
1931-01-12,20648.88,21086.76,21288.95
1931-01-13,20401.09,20580.67,20522.54
1931-01-14,20635.7,21054.03,21230.57
1931-01-15,20152.83,20070.81,19742.31
1931-01-16,20400.71,20564.55,20470.8
1931-01-19,20153.86,20064.83,19725.66
1931-01-20,20571.04,20895.51,20950.63
1931-01-21,20571.04,20895.51,20950.63
1931-01-22,20949.55,21664.47,22105.01
1931-01-23,21406.25,22609.04,23548.46
1931-01-26,21380.56,22554.78,23461.33
1931-01-27,21275.8,22333.74,23118.8
1931-01-28,20884.32,21511.86,21844.95
1931-01-29,21080.64,21914.13,22458.79
1931-01-30,21105.93,21968.92,22541.89
1931-02-02,21564.88,22385.78,22912.86
1931-02-03,21672.7,22607.4,23254.26
1931-02-04,21791.9,22858.34,23640.28
1931-02-05,21645.9,22549.75,23162.75
1931-02-06,21713.0,22689.56,23375.84
1931-02-09,22633.63,24613.64,26349.25
1931-02-10,22993.51,25396.35,27608.75
1931-02-11,23060.19,25543.65,27848.94
1931-02-13,22926.44,25247.34,27364.37
1931-02-16,23139.66,25716.94,28127.84
1931-02-17,22753.22,24858.0,26715.82
1931-02-18,22953.45,25295.5,27421.12
1931-02-19,23261.03,25970.89,28520.7
1931-02-20,23635.53,26804.56,29895.4
1931-02-24,24250.05,28195.71,32224.25
1931-02-25,23983.3,27575.41,31160.85
1931-02-26,24249.52,28190.34,32201.62
1931-02-27,24062.8,27756.21,31457.77
1931-03-02,23867.67,26656.91,29244.55
1931-03-03,23841.42,26595.59,29145.12
1931-03-04,23624.46,26108.89,28346.54
1931-03-05,24101.67,27163.69,30064.35
1931-03-06,23597.95,26028.25,28179.31
1931-03-09,24197.34,27350.49,30326.57
1931-03-10,24141.68,27227.41,30120.35
1931-03-11,23868.88,26612.07,29099.27
1931-03-12,23706.57,26247.48,28502.74
1931-03-13,23597.52,26006.01,28109.4
1931-03-16,24211.06,27358.32,30299.12
1931-03-17,23952.0,26772.85,29326.52
1931-03-18,24265.77,27474.3,30476.12
1931-03-19,24537.55,28092.47,31503.17
1931-03-20,24606.25,28249.79,31764.64
1931-03-23,24197.79,27311.9,30182.76
1931-03-24,24362.33,27680.61,30795.47
1931-03-25,24225.9,27370.59,30278.11
1931-03-26,23898.85,26631.58,29051.85
1931-03-27,23449.56,25630.23,27413.32
1931-03-30,22699.17,23992.46,24784.38
1931-03-31,22740.03,24078.83,24918.22
1931-04-01,23002.98,24077.43,24640.42
1931-04-02,22906.37,23872.77,24327.49
1931-04-06,22975.09,24018.39,24548.87
1931-04-07,22669.52,23377.1,23566.91
1931-04-08,22975.56,24008.28,24521.37
1931-04-09,22849.19,23746.59,24119.22
1931-04-10,22917.74,23891.45,24338.71
1931-04-13,23279.84,24646.42,25492.36
1931-04-14,22986.51,24027.79,24531.3
1931-04-15,22526.78,23066.68,23059.42
1931-04-16,22247.45,22496.93,22203.92
1931-04-17,21900.39,21792.78,21162.55
1931-04-20,22220.14,22429.13,22091.59
1931-04-21,21635.75,21249.35,20348.56
1931-04-22,21190.05,20373.88,19091.02
1931-04-23,21287.52,20561.32,19354.48
1931-04-24,21287.52,20561.32,19354.48
1931-04-27,20548.85,19136.42,17341.61
1931-04-28,20423.5,18902.96,17024.26
1931-04-29,20006.86,18129.83,15980.67
1931-04-30,21009.2,19946.43,18382.57
1931-05-01,20881.13,19254.41,17230.35
1931-05-04,21465.81,20332.65,18677.69
1931-05-05,21294.08,20009.37,18231.3
1931-05-06,21394.16,20197.45,18488.36
1931-05-07,21308.59,20035.87,18266.5
1931-05-08,22007.51,21350.23,20062.1
1931-05-11,21650.99,20658.48,19087.08
1931-05-12,21436.64,20251.51,18522.1
1931-05-13,21365.9,20117.85,18336.88
1931-05-14,20895.85,19232.66,17126.64
1931-05-15,20582.41,18655.68,16355.95
1931-05-18,19726.18,17105.4,14316.36
1931-05-19,19712.38,17081.45,14284.86
1931-05-20,19598.04,16883.3,14036.31
1931-05-21,19797.94,17227.72,14464.41
1931-05-22,19869.22,17351.76,14620.63
1931-05-25,19100.28,16007.0,12921.71
1931-05-26,19113.65,16031.01,12950.14
1931-05-27,18899.58,15671.92,12515.02
1931-05-28,18971.39,15789.46,12656.44
1931-05-29,18557.82,15101.04,11828.7
1931-06-01,18150.67,14115.82,10566.93
1931-06-02,17858.44,13659.88,10055.49
1931-06-03,19204.97,15719.79,12330.05
1931-06-04,19834.89,16749.43,13542.09
1931-06-05,19614.72,16379.27,13092.49
1931-06-08,19848.14,16770.73,13561.2
1931-06-09,19526.6,16227.36,12900.77
1931-06-10,20053.82,17103.64,13945.73
1931-06-11,20097.93,17178.89,14037.78
1931-06-12,20128.08,17228.71,14099.54
1931-06-15,19952.97,16927.21,13730.13
1931-06-16,19996.86,17001.69,13820.75
1931-06-17,19776.9,16627.65,13366.05
1931-06-18,19424.87,16037.37,12653.64
1931-06-19,19351.05,15917.09,12510.65
1931-06-22,21384.85,19264.46,16456.51
1931-06-23,21091.88,18736.61,15780.15
1931-06-24,22087.41,20505.35,18014.62
1931-06-25,21941.64,20232.62,17656.13
