date,A,B,C
1977-01-03,995.7,991.4,987.2
1977-01-04,983.65,967.31,951.27
1977-01-05,974.9,950.09,925.87
1977-01-06,977.33,954.84,932.72
1977-01-07,977.24,954.65,932.44
1977-01-10,979.0,958.09,937.47
1977-01-11,968.91,938.45,908.6
1977-01-12,962.23,925.5,889.79
1977-01-13,969.64,939.84,910.43
1977-01-14,967.89,936.46,905.43
1977-01-17,965.28,931.4,898.09
1977-01-18,961.42,924.04,887.41
1977-01-19,966.32,933.56,901.07
1977-01-20,958.11,917.78,878.19
1977-01-21,961.36,924.02,887.14
1977-01-24,960.69,922.73,885.37
1977-01-25,959.54,920.61,882.27
1977-01-26,952.15,906.52,861.98
1977-01-27,947.01,896.82,848.1
1977-01-28,948.33,899.33,851.58
1977-01-31,949.28,901.13,854.05
1977-02-01,1054.53,1011.14,968.36
1977-02-02,1052.63,1007.61,963.22
1977-02-03,1047.37,997.53,948.87
1977-02-04,1047.68,998.13,949.73
1977-02-07,1047.79,998.33,950.01
1977-02-08,1044.85,992.64,941.94
1977-02-09,1035.87,975.66,917.73
1977-02-10,1036.8,977.42,920.21
1977-02-11,1030.58,965.79,903.73
1977-02-14,1035.94,975.83,917.83
1977-02-15,1039.04,981.69,926.0
1977-02-16,1043.82,990.62,938.69
1977-02-17,1037.87,979.33,922.64
1977-02-18,1033.41,971.0,910.83
1977-02-22,1033.41,971.0,910.83
1977-02-23,1030.31,965.18,902.63
1977-02-24,1024.23,953.79,886.65
1977-02-25,1023.0,951.5,883.46
1977-02-28,1026.48,957.97,892.56
1977-03-01,1135.94,1075.74,1017.57
1977-03-02,1132.88,1069.93,1009.43
1977-03-03,1138.43,1080.42,1024.17
1977-03-04,1142.07,1087.23,1033.9
1977-03-07,1142.64,1088.31,1035.45
1977-03-08,1138.3,1080.15,1023.75
1977-03-09,1129.65,1063.62,1000.31
1977-03-10,1136.09,1075.75,1017.41
1977-03-11,1135.86,1075.32,1016.8
1977-03-14,1144.61,1091.77,1040.19
1977-03-15,1150.9,1103.78,1057.45
1977-03-16,1153.09,1107.86,1063.38
1977-03-17,1152.05,1105.87,1060.61
1977-03-18,1149.52,1101.12,1053.72
1977-03-21,1143.31,1089.22,1036.65
1977-03-22,1139.76,1082.58,1027.11
1977-03-23,1130.76,1065.47,1002.66
1977-03-24,1125.11,1054.82,987.62
1977-03-25,1117.91,1041.32,968.56
1977-03-28,1117.24,1040.07,966.82
1977-03-29,1125.06,1054.53,987.03
1977-03-30,1112.12,1030.17,952.88
1977-03-31,1110.78,1027.69,949.35
1977-04-01,1220.47,1145.85,1074.64
1977-04-04,1208.39,1123.16,1042.83
1977-04-05,1205.73,1118.11,1035.84
1977-04-06,1204.52,1115.87,1032.63
1977-04-07,1209.94,1125.91,1046.57
1977-04-11,1216.48,1138.07,1063.53
1977-04-12,1232.05,1167.32,1104.47
1977-04-13,1232.17,1167.56,1104.8
1977-04-14,1242.52,1187.17,1132.65
