date,A,B,C
1932-01-04,18620.0,17242.0,15862.0
1932-01-05,18595.79,17197.17,15798.55
1932-01-06,19901.22,19611.65,19125.73
1932-01-07,20245.51,20292.18,20120.26
1932-01-08,21107.97,22021.07,22689.62
1932-01-11,20886.33,21558.63,21974.9
1932-01-12,20664.94,21101.59,21276.1
1932-01-13,21675.46,23163.21,24395.17
1932-01-14,21922.56,23689.02,25227.05
1932-01-15,21970.79,23795.62,25396.07
1932-01-18,20960.13,21608.8,21893.95
1932-01-19,20886.77,21455.38,21661.88
1932-01-20,21256.46,22214.9,22812.12
1932-01-21,21133.18,21957.2,22415.19
1932-01-22,20222.34,20064.49,19514.67
1932-01-25,20198.07,20016.34,19442.46
1932-01-26,20468.72,20552.78,20224.05
1932-01-27,20073.68,19761.49,19055.1
1932-01-28,19778.59,19180.51,18212.86
1932-01-29,19557.07,18750.86,17600.91
1932-02-01,20789.16,20656.18,20084.77
1932-02-02,20333.88,19753.5,18767.21
1932-02-03,20435.54,19949.06,19046.84
1932-02-04,20308.84,19701.69,18694.47
1932-02-05,19652.87,18426.99,16881.11
1932-02-08,19248.02,17669.64,15839.55
1932-02-09,19020.89,17252.64,15278.83
1932-02-10,18944.81,17114.62,15095.48
1932-02-11,20511.54,19943.67,18839.16
1932-02-15,21471.49,21810.39,21484.18
1932-02-16,22330.34,23555.22,24062.28
1932-02-17,21421.5,21637.83,21121.87
1932-02-18,22002.02,22810.6,22841.19
1932-02-19,22026.22,22863.06,22918.85
1932-02-23,20764.12,20240.67,18976.81
1932-02-24,21293.61,21274.97,20430.43
1932-02-25,21091.32,20870.74,19848.16
1932-02-26,21066.01,20820.65,19776.71
1932-02-29,20939.61,20570.81,19420.73
1932-03-01,21593.98,21376.33,20353.01
1932-03-02,22524.68,23218.97,22984.65
1932-03-03,22524.68,23218.97,22984.65
1932-03-04,22549.45,23272.38,23062.8
1932-03-07,22808.77,23805.31,23856.16
1932-03-08,23221.61,24669.45,25153.93
1932-03-09,22782.72,23734.47,23725.19
1932-03-10,22575.4,23302.51,23079.87
