date,A,B,C
2006-01-03,20328.0,20658.0,20986.0
2006-01-04,20403.21,20808.8,21216.85
2006-01-05,20403.21,20808.8,21216.85
2006-01-06,20595.0,21200.01,21815.16
2006-01-09,20671.21,21354.77,22055.13
2006-01-10,20662.94,21339.82,22030.87
2006-01-11,20735.26,21489.2,22259.99
2006-01-12,20604.62,21220.58,21841.5
2006-01-13,20629.35,21271.51,21920.13
2006-01-17,20555.08,21116.23,21681.2
2006-01-18,20474.92,20951.53,21427.53
2006-01-19,20589.58,21184.09,21785.37
2006-01-20,20212.79,20406.63,20587.17
2006-01-23,20249.17,20482.14,20700.4
2006-01-24,20297.77,20580.45,20849.45
2006-01-25,20263.27,20510.48,20741.03
2006-01-26,20409.16,20807.88,21191.11
2006-01-27,20568.35,21130.4,21684.86
2006-01-30,20590.98,21179.0,21758.59
2006-01-31,20508.61,21009.57,21499.66
2006-02-01,21048.53,21589.15,22122.86
2006-02-02,20856.99,21198.39,21521.12
2006-02-03,20744.36,20971.57,21174.63
2006-02-06,20760.96,21005.12,21223.33
2006-02-07,20592.79,20664.84,20707.61
2006-02-08,20771.95,21022.34,21246.0
2006-02-09,20740.79,20959.27,21152.52
2006-02-10,20792.64,21066.17,21313.28
2006-02-13,20724.03,20929.24,21104.41
2006-02-14,20931.27,21349.91,21739.65
2006-02-15,21004.53,21499.36,21967.92
2006-02-16,21157.86,21815.4,22451.21
2006-02-17,21121.89,21743.41,22338.96
2006-02-21,21052.19,21602.08,22120.04
2006-02-22,21210.08,21926.11,22617.74
2006-02-23,21129.48,21759.47,22362.16
2006-02-24,21156.95,21813.87,22447.13
2006-02-27,21233.12,21973.11,22691.81
2006-02-28,21012.29,21516.07,21983.82
2006-03-01,21690.84,22379.34,23041.42
2006-03-02,21656.14,22305.49,22928.52
2006-03-03,21623.65,22238.57,22827.63
2006-03-06,21472.29,21929.45,22350.53
2006-03-07,21431.49,21848.31,22225.37
2006-03-08,21474.35,21937.89,22360.95
2006-03-09,21369.13,21722.9,22034.48
2006-03-10,21522.99,22035.71,22512.62
2006-03-13,21568.19,22128.26,22654.45
2006-03-14,21792.5,22588.53,23361.27
2006-03-15,21886.2,22780.53,23660.3
2006-03-16,21925.6,22860.26,23785.7
2006-03-17,21958.49,22926.56,23890.35
2006-03-20,21921.16,22850.9,23770.9
2006-03-21,21789.63,22576.69,23343.03
2006-03-22,21920.37,22847.61,23765.53
2006-03-23,21863.38,22728.8,23582.54
2006-03-24,21885.24,22774.26,23650.93
2006-03-27,21863.35,22726.43,23577.61
2006-03-28,21723.43,22433.26,23122.56
2006-03-29,21886.35,22767.52,23640.51
2006-03-30,21842.58,22674.17,23496.3
2006-03-31,21753.03,22485.98,23204.95
2006-04-03,22304.21,23089.41,23866.14
2006-04-04,22444.72,23378.03,24314.82
2006-04-05,22541.24,23579.08,24628.49
2006-04-06,22498.41,23489.48,24485.64
2006-04-07,22266.67,23003.25,23726.59
2006-04-10,22286.71,23042.35,23788.27
2006-04-11,22112.88,22685.2,23234.01
