date,A,B,C
1943-01-04,30462.0,30921.0,31383.0
1943-01-05,30401.08,30797.32,31194.7
1943-01-06,30370.67,30735.72,31101.12
1943-01-07,30431.42,30858.66,31290.83
1943-01-08,30461.85,30920.38,31384.71
1943-01-11,30583.7,31170.84,31764.46
1943-01-12,30491.94,30983.81,31478.58
1943-01-13,30552.93,31107.75,31667.45
1943-01-14,30736.25,31484.15,32240.63
1943-01-15,30982.14,31987.9,33014.41
1943-01-18,31075.08,32176.63,33308.24
1943-01-19,30767.44,31539.53,32322.31
1943-01-20,30798.21,31602.61,32419.28
1943-01-21,31260.18,32547.53,33874.91
1943-01-22,31228.92,32482.43,33776.67
1943-01-25,31628.65,33313.98,35073.69
1943-01-26,31783.63,33637.13,35585.77
1943-01-27,31751.85,33573.22,35482.57
1943-01-28,31783.6,33637.0,35585.47
1943-01-29,32060.11,34222.29,36514.25
1943-02-01,32710.06,35152.01,37763.28
1943-02-02,32710.06,35152.01,37763.28
1943-02-03,32461.46,34617.7,36902.28
1943-02-04,32429.0,34551.93,36795.26
1943-02-05,32678.7,35080.57,37641.55
1943-02-08,32646.02,35013.92,37532.39
1943-02-09,32894.13,35546.13,38391.88
1943-02-10,33111.24,36015.34,39152.04
1943-02-11,33174.15,36152.2,39371.29
1943-02-15,33608.73,37099.38,40922.52
1943-02-16,33544.87,36962.12,40697.45
1943-02-17,33608.61,37098.88,40925.35
1943-02-18,33141.45,36067.53,39222.86
1943-02-19,33078.48,35930.47,39003.21
1943-02-23,33700.35,37281.46,41202.99
1943-02-24,33885.71,37695.28,41886.96
1943-02-25,34102.57,38177.78,42695.38
1943-02-26,34102.57,38177.78,42695.38
1943-03-01,34343.86,38226.72,42504.97
1943-03-02,34093.15,37664.79,41569.86
1943-03-03,34532.95,38636.54,43182.77
1943-03-04,34595.11,38775.63,43420.28
1943-03-05,34750.79,39128.49,44010.8
1943-03-08,34625.69,38846.76,43531.08
1943-03-09,34438.71,38423.34,42817.17
1943-03-10,34280.29,38073.68,42230.57
1943-03-11,34626.52,38842.77,43510.16
1943-03-12,34751.18,39126.32,43984.42
1943-03-15,34719.9,39055.9,43865.66
1943-03-16,34626.16,38844.99,43505.96
1943-03-17,34373.39,38281.74,42557.53
1943-03-18,34311.52,38140.1,42323.47
1943-03-19,34218.87,37930.33,41976.41
1943-03-22,34345.48,38211.01,42438.15
1943-03-23,34438.22,38421.17,42786.15
1943-03-24,34531.2,38632.49,43136.99
1943-03-25,35252.9,40251.19,45846.0
1943-03-26,35534.93,40899.24,46950.89
