date,A,B,C
1948-01-02,10026.0,10052.0,10078.0
1948-01-05,9934.76,9868.05,9801.86
1948-01-06,9901.98,9802.92,9704.82
1948-01-07,9954.46,9906.83,9858.16
1948-01-08,10007.22,10010.85,10013.92
1948-01-09,9955.18,9905.74,9856.7
1948-01-12,9916.36,9827.48,9740.39
1948-01-13,9772.57,9542.49,9316.68
1948-01-14,9772.57,9542.49,9316.68
1948-01-15,9726.64,9452.79,9185.32
1948-01-16,9719.83,9440.5,9166.95
1948-01-19,9609.02,9224.31,8852.52
1948-01-20,9615.75,9237.22,8870.23
1948-01-21,9504.21,9023.84,8562.43
1948-01-22,9425.32,8874.95,8350.08
1948-01-23,9379.14,8788.86,8228.17
1948-01-26,9359.44,8751.95,8176.33
1948-01-27,9372.54,8776.46,8210.67
1948-01-28,9470.96,8959.88,8468.49
1948-01-29,9575.14,9157.9,8748.8
1948-01-30,9594.29,9195.44,8802.16
1948-02-02,9713.67,9333.56,8956.47
1948-02-03,9654.42,9219.69,8791.67
1948-02-04,9245.07,8437.86,7673.37
1948-02-05,9377.28,8679.18,8001.79
1948-02-06,9370.71,8667.03,7984.98
1948-02-09,9450.37,8813.5,8187.8
1948-02-10,9172.52,8296.15,7466.46
1948-02-11,9166.1,8284.53,7450.03
1948-02-13,9145.94,8248.91,7401.61
1948-02-16,9271.24,8474.93,7706.55
1948-02-17,9271.24,8474.93,7706.55
1948-02-18,9277.73,8486.8,7722.74
1948-02-19,9258.24,8450.3,7673.31
1948-02-20,9218.43,8377.63,7575.09
1948-02-24,9245.17,8425.38,7640.24
1948-02-25,9291.39,8509.64,7754.84
1948-02-26,9231.93,8400.71,7605.95
1948-02-27,9198.69,8340.23,7524.57
1948-03-01,9392.61,8609.88,7854.06
1948-03-02,9452.72,8720.08,8004.86
1948-03-03,9459.34,8732.29,8021.67
1948-03-04,9398.8,8621.39,7869.26
1948-03-05,9418.54,8658.46,7919.62
1948-03-08,9371.45,8572.74,7801.62
1948-03-09,9311.47,8463.01,7651.83
1948-03-10,9351.51,8535.8,7750.54
1948-03-11,9338.41,8511.04,7717.21
1948-03-12,9338.41,8511.04,7717.21
1948-03-15,9385.11,8596.15,7832.97
1948-03-16,9238.7,8327.09,7465.6
1948-03-17,9311.69,8459.49,7643.29
1948-03-18,9364.76,8556.78,7774.75
1948-03-19,9558.61,8910.17,8256.78
1948-03-22,9811.92,9383.3,8914.02
1948-03-23,9811.92,9383.3,8914.02
1948-03-24,9805.05,9370.17,8896.2
1948-03-25,9845.25,9447.0,9005.62
1948-03-29,9811.77,9382.76,8913.76
1948-03-30,9925.59,9599.5,9223.07
1948-03-31,10065.54,9870.21,9614.13
1948-04-01,10192.99,10023.05,9791.84
1948-04-02,10213.37,10063.14,9849.61
1948-04-05,10233.8,10103.4,9907.73
1948-04-06,10301.34,10236.76,10103.9
1948-04-07,10267.35,10170.22,10004.88
1948-04-08,10294.04,10224.12,10083.92
1948-04-09,10307.43,10250.71,10123.25
1948-04-12,10300.21,10237.38,10103.0
1948-04-13,10313.6,10264.0,10142.4
1948-04-14,10300.19,10237.31,10102.85
1948-04-15,10367.15,10371.42,10300.86
1948-04-16,10401.36,10438.84,10400.78
1948-04-19,10428.4,10493.12,10481.91
1948-04-20,10422.14,10479.48,10461.99
1948-04-21,10476.34,10587.41,10624.15
1948-04-22,10570.63,10777.99,10911.0
1948-04-23,10638.28,10915.95,11119.4
1948-04-26,10476.58,10584.1,10612.36
1948-04-27,10482.86,10597.86,10632.52
1948-04-28,10496.49,10625.42,10673.99
1948-04-29,10462.9,10557.41,10571.52
1948-04-30,10435.7,10502.51,10490.12
1948-05-03,10617.88,10766.85,10836.87
1948-05-04,10611.51,10752.86,10816.28
1948-05-05,10549.96,10629.2,10629.16
1948-05-06,10638.58,10807.77,10897.01
1948-05-07,10700.28,10932.06,11085.53
