date,A,B,C
2001-01-02,9277.0,8554.0,7830.0
2001-01-03,10591.55,10979.06,11159.32
2001-01-04,10389.25,10560.76,10521.0
2001-01-05,9745.12,9251.22,8564.1
2001-01-08,9697.37,9161.49,8439.06
2001-01-09,9880.65,9508.71,8918.4
2001-01-10,10215.6,10154.35,9826.29
2001-01-11,10686.54,11090.58,11185.27
2001-01-12,10629.9,10971.91,11006.3
2001-01-16,10598.01,10904.98,10906.15
2001-01-17,10857.66,11440.42,11708.84
2001-01-18,11204.02,12171.46,12830.55
2001-01-19,11211.87,12188.5,12856.21
2001-01-22,11161.41,12078.8,12682.65
2001-01-23,11495.14,12801.11,13820.28
2001-01-24,11571.01,12970.09,14093.92
2001-01-25,11146.35,12018.08,12543.59
2001-01-26,11255.59,12253.64,12912.37
2001-01-29,11486.32,12756.04,13706.48
2001-01-30,11486.32,12756.04,13706.48
2001-01-31,11220.99,12166.71,12755.25
2001-02-01,11361.75,12356.26,12995.38
2001-02-02,10862.97,11270.14,11282.59
2001-02-05,10792.36,11123.63,11062.58
2001-02-06,10879.77,11302.72,11330.29
2001-02-07,10648.04,10822.35,10607.42
2001-02-08,10461.69,10442.49,10049.47
2001-02-09,10089.26,9700.03,8977.19
2001-02-12,10165.94,9846.5,9180.97
2001-02-13,9912.8,9356.14,8496.07
2001-02-14,10172.52,9847.34,9164.71
2001-02-15,10423.78,10333.8,9843.82
2001-02-16,9902.59,9301.45,8368.23
2001-02-20,9465.89,8480.13,7260.28
2001-02-21,9264.26,8118.88,6796.34
2001-02-22,9166.06,7947.57,6580.9
2001-02-23,9237.56,8071.55,6735.55
2001-02-26,9425.08,8400.07,7146.42
2001-02-27,9014.15,7667.58,6211.67
2001-02-28,8785.19,7278.83,5738.96
2001-03-01,9015.8,7595.03,6095.87
2001-03-02,8744.43,7137.81,5545.42
2001-03-05,8848.48,7308.41,5743.94
2001-03-06,9102.44,7727.91,6238.5
2001-03-07,9182.54,7864.69,6403.82
2001-03-08,8954.81,7474.6,5927.37
2001-03-09,8475.73,6675.57,4976.62
2001-03-12,7941.76,5833.78,4035.54
2001-03-13,8318.99,6387.99,4611.01
2001-03-14,8142.63,6117.14,4317.75
2001-03-15,8013.16,5922.61,4111.79
2001-03-16,7807.22,5618.78,3795.19
2001-03-19,8056.27,5976.7,4158.01
2001-03-20,7669.57,5402.34,3558.84
2001-03-21,7557.59,5244.05,3402.6
2001-03-22,7836.47,5630.54,3778.93
2001-03-23,7964.2,5814.66,3964.1
2001-03-26,7921.99,5753.02,3901.07
2001-03-27,8143.81,6075.76,4229.15
2001-03-28,7656.0,5347.89,3469.17
2001-03-29,7517.42,5154.29,3280.8
2001-03-30,7598.61,5265.63,3387.09
2001-04-02,7459.18,5031.35,3161.4
2001-04-03,6998.95,4410.48,2576.54
2001-04-04,6856.17,4230.09,2418.6
2001-04-05,7467.74,4984.74,3065.82
2001-04-06,7197.41,4623.84,2732.87
2001-04-09,7303.21,4760.25,2853.66
2001-04-10,7747.98,5340.05,3375.02
2001-04-11,7944.0,5610.79,3631.53
2001-04-12,8205.36,5979.98,3989.96
2001-04-16,7988.74,5663.64,3673.55
2001-04-17,8045.46,5744.63,3752.17
2001-04-18,8698.75,6678.13,4666.57
2001-04-19,9128.47,7337.93,5358.16
2001-04-20,9049.96,7211.71,5220.45
2001-04-23,8614.66,6517.95,4467.14
2001-04-24,8436.34,6247.45,4189.29
2001-04-25,8616.88,6514.84,4458.66
2001-04-26,8512.61,6357.18,4296.81
2001-04-27,8683.71,6612.11,4555.48
2001-04-30,8853.05,6870.64,4822.43
2001-05-01,9173.29,7312.9,5285.21
2001-05-02,9394.37,7666.11,5667.86
2001-05-03,9079.66,7152.48,5098.24
2001-05-04,9271.24,7454.32,5421.47
2001-05-07,9195.21,7332.07,5288.1
2001-05-08,9301.88,7502.17,5472.12
2001-05-09,9123.28,7214.84,5157.48
2001-05-10,9005.59,7028.69,4958.4
2001-05-11,8914.64,6887.42,4808.65
2001-05-14,8806.77,6720.74,4634.1
2001-05-15,8822.62,6744.26,4658.66
2001-05-16,9164.94,7266.95,5200.46
2001-05-17,9280.42,7449.35,5396.52
2001-05-18,9302.69,7484.36,5434.84
2001-05-21,9753.87,8211.09,6226.15
2001-05-22,9788.98,8270.21,6292.77
2001-05-23,9491.4,7767.38,5718.87
2001-05-24,9654.65,8034.58,6013.39
2001-05-25,9523.35,7816.04,5768.64
2001-05-29,9204.32,7291.58,5188.32
2001-05-30,8819.57,6681.28,4537.19
2001-05-31,8929.82,6847.64,4706.88
2001-06-01,9196.87,7204.01,5073.18
2001-06-04,9224.46,7247.23,5119.34
2001-06-05,9557.46,7769.76,5673.26
2001-06-06,9489.61,7658.65,5551.85
2001-06-07,9687.94,7978.02,5899.39
2001-06-08,9478.68,7633.36,5517.11
2001-06-11,9289.11,7328.03,5186.09
2001-06-12,9285.39,7322.17,5180.38
2001-06-13,9078.33,6996.33,4834.33
2001-06-14,8746.06,6484.9,4304.01
2001-06-15,8678.72,6385.68,4205.01
2001-06-18,8508.61,6135.36,3957.34
2001-06-19,8525.63,6160.52,3981.48
2001-06-20,8691.03,6398.93,4212.8
2001-06-21,8808.36,6572.34,4383.84
2001-06-22,8706.18,6419.86,4230.85
2001-06-25,8774.96,6521.3,4330.69
2001-06-26,8833.75,6608.68,4417.74
2001-06-27,8877.04,6673.45,4482.68
2001-06-28,9093.63,6999.78,4811.26
2001-06-29,9243.68,7230.77,5049.42
2001-07-02,9292.29,7250.86,5064.97
2001-07-03,9257.91,7197.21,5008.75
2001-07-05,8995.91,6789.13,4583.0
2001-07-06,8667.56,6293.52,4081.17
2001-07-09,8765.5,6435.12,4219.11
2001-07-10,8489.39,6029.07,3819.98
2001-07-11,8529.29,6085.74,3873.84
2001-07-12,8977.93,6725.96,4485.13
2001-07-13,9017.43,6784.48,4543.89
2001-07-16,8776.67,6422.19,4179.92
2001-07-17,8941.67,6664.3,4416.09
2001-07-18,8720.81,6334.42,4088.42
2001-07-19,8852.49,6525.72,4273.62
2001-07-20,8778.13,6416.09,4165.93
2001-07-23,8601.69,6158.16,3914.72
2001-07-24,8475.25,5976.49,3741.69
2001-07-25,8583.73,6129.49,3885.37
2001-07-26,8751.11,6367.93,4112.28
2001-07-27,8777.37,6406.14,4149.7
2001-07-30,8729.09,6335.03,4080.81
2001-07-31,8769.24,6393.31,4137.13
2001-08-01,9049.29,6757.59,4495.59
2001-08-02,9132.54,6881.93,4619.67
2001-08-03,9040.3,6742.91,4479.7
