date,A,B,C
1934-01-02,10140.0,10281.0,10421.0
1934-01-03,10000.07,9996.22,9988.53
1934-01-04,9970.07,9936.24,9898.63
1934-01-05,9839.46,9675.91,9510.61
1934-01-08,9789.28,9577.22,9365.09
1934-01-09,9899.9,9792.7,9681.63
1934-01-10,10171.15,10328.36,10476.5
1934-01-11,10220.99,10430.61,10631.55
1934-01-12,10100.39,10184.45,10256.25
1934-01-15,10672.07,11337.33,11997.77
1934-01-16,10722.23,11443.9,12166.93
1934-01-17,10692.2,11379.82,12064.73
1934-01-18,10662.27,11316.09,11963.39
1934-01-19,10962.94,11954.32,12976.69
1934-01-22,10943.21,11910.09,12905.32
1934-01-23,11083.28,12216.18,13402.17
1934-01-24,11153.11,12371.32,13656.81
1934-01-25,11153.11,12371.32,13656.81
1934-01-26,11052.73,12148.64,13288.08
1934-01-29,11222.94,12524.03,13903.32
1934-01-30,11363.23,12837.13,14424.69
1934-01-31,11203.01,12475.12,13813.08
1934-02-01,11596.88,13227.77,14996.91
1934-02-02,11586.45,13205.29,14957.92
1934-02-05,11950.26,14035.9,16368.45
1934-02-06,11959.82,14059.76,16409.37
1934-02-07,11585.48,13179.62,14868.53
1934-02-08,11636.45,13294.28,15063.31
1934-02-09,11312.96,12553.79,13805.52
1934-02-13,11353.69,12644.18,13953.24
1934-02-14,11424.08,12802.23,14214.17
1934-02-15,11646.85,13301.52,15045.7
1934-02-16,11677.13,13370.68,15163.05
1934-02-19,11494.97,12953.52,14453.42
1934-02-20,11535.2,13044.19,14606.63
1934-02-21,11565.19,13113.33,14722.02
1934-02-23,11262.18,12424.88,13563.4
1934-02-26,10817.33,11442.07,11954.78
1934-02-27,10938.48,11699.52,12357.66
1934-02-28,10888.17,11590.71,12185.88
1934-03-01,10947.51,11604.2,12148.28
1934-03-02,11304.4,12361.95,13337.6
1934-03-05,11243.35,12228.44,13120.2
1934-03-06,11110.68,11939.85,12655.74
1934-03-07,10825.14,11324.95,11678.72
1934-03-08,11029.73,11751.9,12339.73
1934-03-09,10958.04,11599.13,12100.34
1934-03-12,11192.54,12096.73,12878.4
1934-03-13,11192.54,12096.73,12878.4
1934-03-14,11202.62,12118.5,12913.17
1934-03-15,11018.89,11721.02,12277.84
1934-03-16,11049.75,11786.65,12379.74
1934-03-19,10671.84,10980.45,11109.58
1934-03-20,10886.35,11421.86,11779.49
1934-03-21,10671.89,10971.84,11083.32
1934-03-22,10866.12,11371.21,11687.36
1934-03-23,10754.19,11135.83,11325.06
1934-03-26,10938.09,11516.68,11906.03
1934-03-27,10641.67,10892.47,10939.26
1934-03-28,10672.53,10955.65,11033.34
1934-03-29,10846.49,11311.71,11571.77
1934-04-02,11090.99,11712.98,12132.8
1934-04-03,11173.06,11887.5,12403.36
1934-04-04,11204.34,11952.88,12506.31
1934-04-05,11235.72,12018.62,12610.11
1934-04-06,11287.4,12129.19,12784.13
1934-04-09,11205.0,11952.11,12504.16
1934-04-10,11369.72,12303.5,13056.84
1934-04-11,11359.48,12281.35,13021.59
1934-04-12,11328.81,12215.03,12914.81
1934-04-13,11288.03,12125.86,12774.04
1934-04-16,11113.06,11748.75,12178.77
1934-04-17,11226.42,11988.42,12551.44
1934-04-18,11371.24,12296.53,13035.93
1934-04-19,11391.71,12340.79,13106.32
1934-04-20,11505.62,12586.37,13498.2
1934-04-23,11433.14,12429.05,13244.43
1934-04-24,11340.53,12227.69,12922.59
1934-04-25,11278.16,12094.41,12710.66
1934-04-26,11123.65,11763.03,12188.26
1934-04-27,11133.66,11785.38,12222.38
1934-04-30,10782.95,11042.9,11068.59
1934-05-01,10882.95,11142.9,11168.59
1934-05-02,10664.2,10694.95,10496.24
1934-05-03,10705.79,10778.37,10619.05
1934-05-04,10736.84,10840.89,10711.43
1934-05-07,10206.44,9769.81,9122.93
1934-05-08,10456.49,10247.55,9792.55
1934-05-09,10279.78,9901.18,9296.07
1934-05-10,10040.26,9439.79,8647.2
1934-05-11,9935.84,9244.39,8378.27
1934-05-14,9831.52,9051.18,8115.2
1934-05-15,10018.31,9396.03,8578.57
1934-05-16,9945.18,9259.79,8391.56
1934-05-17,9976.01,9318.12,8470.44
1934-05-18,10246.36,9823.16,9159.09
1934-05-21,10266.85,9863.44,9214.96
1934-05-22,10037.9,9423.53,8598.48
1934-05-23,9944.55,9247.31,8357.72
1934-05-24,9975.38,9305.57,8436.28
1934-05-25,10090.1,9518.67,8726.49
1934-05-28,10225.3,9773.77,9077.3
1934-05-29,10183.38,9694.6,8966.55
1934-05-31,9996.0,9337.84,8471.6
1934-06-01,9854.71,8985.76,7956.16
1934-06-04,9970.01,9196.93,8236.22
1934-06-05,10211.28,9642.98,8834.99
1934-06-06,10232.73,9682.52,8889.77
1934-06-07,10201.01,9622.49,8807.98
1934-06-08,10684.53,10533.74,10059.59
1934-06-11,10600.13,10368.36,9822.19
1934-06-12,10715.67,10594.39,10143.37
1934-06-13,10715.67,10594.39,10143.37
1934-06-14,10558.15,10282.91,9696.05
1934-06-15,10747.14,10651.04,10216.73
1934-06-18,10894.37,10942.88,10636.64
1934-06-19,10704.81,10563.16,10082.47
1934-06-20,10589.2,10335.0,9755.79
1934-06-21,10484.37,10130.36,9465.07
1934-06-22,10253.71,9683.61,8839.43
1934-06-25,10221.92,9624.54,8758.11
1934-06-26,10463.16,10079.78,9379.06
1934-06-27,10431.77,10019.31,9294.65
1934-06-28,10483.93,10120.5,9435.0
1934-06-29,10305.7,9775.39,8952.87
1934-07-02,10278.76,9633.44,8720.63
1934-07-03,10246.89,9573.72,8639.53
1934-07-05,10416.99,9890.61,9068.91
1934-07-06,10512.83,10071.61,9318.3
1934-07-09,10481.29,10010.17,9233.51
1934-07-10,10545.22,10131.29,9401.56
1934-07-11,10597.95,10233.62,9543.52
1934-07-12,10513.17,10069.88,9314.48
1934-07-13,10534.19,10110.16,9371.3
1934-07-16,10311.92,9682.5,8777.16
1934-07-17,10269.64,9603.1,8669.2
1934-07-18,10439.09,9920.97,9099.19
1934-07-19,10332.61,9719.57,8821.66
1934-07-20,10046.4,9181.11,8087.7
1934-07-23,9643.54,8443.86,7113.94
1934-07-24,9537.46,8258.1,6879.18
1934-07-25,9622.34,8405.09,7062.86
1934-07-26,8868.91,7088.85,5404.5
1934-07-27,9123.45,7495.75,5869.82
1934-07-30,9197.35,7617.94,6013.05
1934-07-31,9208.39,7635.46,6034.09
1934-08-01,9597.88,8216.6,6706.4
1934-08-02,9662.18,8326.7,6841.2
1934-08-03,9544.31,8123.53,6590.82
1934-08-06,9341.01,7776.66,6169.0
1934-08-07,9319.53,7740.89,6126.44
1934-08-08,9469.57,7990.14,6422.34
1934-08-09,9791.54,8533.47,7076.78
1934-08-10,9577.1,8159.71,6611.84
1934-08-13,9834.73,8598.7,7144.75
1934-08-14,9759.98,8467.14,6981.14
1934-08-15,9695.57,8355.37,6842.91
1934-08-16,9770.22,8484.88,7001.66
